,题目
0,
1,一、 单选题（题数：50，共 50.）
2,1根据《吕氏春秋·仲夏·古乐篇》记载，被称为黄钟之宫，律吕之本的黄钟调创作于（）。
3,A、黄帝时期
4,B、春秋时期
5,C、西周时期
6,D、秦始皇时期
7,正确答案： A 
8,2周武王接起了五帝时期被殷商斩断的老传统，即上天崇拜，同时赋予了上天新的含义，新的含义指的是（）。
9,A、权力
10,B、教化
11,C、德行
12,D、审判
13,正确答案： C
14,3五帝时期崇拜上天的观念到殷商时期被（）取代了。
15,A、自然神崇拜
16,B、祖先崇拜
17,C、鬼神崇拜
18,D、生殖崇拜
19,正确答案： B 
20,4始作俑者，其无后乎。孔夫子的这句话是批判（）。
21,A、祭祀活动
22,B、占筮活动
23,C、暴虐统治
24,D、人殉现象
25,正确答案： D 
26,5媵嫁制度兴起于（）。
27,A、夏
28,B、商
29,C、西周
30,D、汉
31,正确答案： C 
32,6中国历史上最发达的法律体系是（）。
33,A、民法
34,B、诉讼法
35,C、刑法
36,D、宪法
37,正确答案： C 
38,7诸夏意识诞生于（）。
39,A、夏
40,B、商
41,C、西周
42,D、汉
43,正确答案： C 
44,8古代的三军指的是（）。
45,A、海、陆、空
46,B、上、中、下
47,C、前、中、后
48,D、骑、步、炮
49,正确答案： B
50,9孟子提出了一个四端学说，四端指的是（）。
51,A、恻隐之心、羞恶之心、是非之心、慈悲之心
52,B、恻隐之心、善恶之心、是非之心、上进之心
53,C、恻隐之心、羞恶之心、是非之心、礼让之心
54,D、恻隐之心、是非之心、礼让之心、大同之心
55,正确答案： C 
56,10（），仁之端也。
57,A、恻隐之心
58,B、羞恶之心
59,C、辞让之心
60,D、是非之心
61,正确答案： A 
62,11根据《尧典》记载，古人用（）测定时节。（）
63,A、鸟的迁徙
64,B、花开花落
65,C、天体运行
66,D、河水流向
67,正确答案： C
68,12封建制在周代取得了良好的社会成效，其原因是（）。
69,A、周代是礼乐文明兴盛的时期
70,B、周代的诸国纷争的社会现实
71,C、周代异族林立的社会现状
72,D、周代是中华民族的形成时期
73,正确答案： D 
74,13大蒐礼是什么礼？（）
75,A、宾礼
76,B、祭礼
77,C、家礼
78,D、军礼
79,正确答案： D 
80,14黄老政治在汉初实行的原因是（）。
81,A、国富民强，与民休息
82,B、社会安定，贤臣居多
83,C、社会穷困，大臣没有文化
84,D、异族林立，乱世之秋
85,正确答案： C 
86,15下列对大同理想的描述，错误的是（）。
87,A、人不独亲其亲，不独子其子
88,B、老有所终，壮有所用，幼有所长，鳏寡孤独废疾者，皆有所养
