,题目
0,1 
1,太阳是第几代恒：（）
2,1.0 分 
3,窗体顶端
4,A、 
5,第一代 
6,B、 
7,第二代 
8,C、 
9,第三代 
10,D、 
11,第四代 
12,窗体底端
13,我的答案：B 
14,2 
15,WTO是（）的英文缩写。
16,1.0 分 
17,窗体顶端
18,A、 
19,国际货币基金组织 
20,B、 
21,世界旅游组织 
22,C、 
23,世界卫生组织 
24,D、 
25,世界贸易组织 
26,窗体底端
27,我的答案：D 
28,3 
29,否认（）会导致还原论、机械论等。
30,1.0 分 
31,窗体顶端
32,A、 
33,左向因果关系 
34,B、 
35,右向因果关系 
36,C、 
37,上向因果关系 
38,D、 
39,下向因果关系 
40,窗体底端
41,我的答案：D 
42,4 
43,现代科学是后现代科学的组成部分和必由之路，且（）。
44,1.0 分 
45,窗体顶端
46,A、 
47,现代科学和后现代科学没有必然联系 
48,B、 
49,后现代科学是基础 
50,C、 
51,科学一定会由现代科学走向后现代科学 
52,D、 
53,科学一定会由后现代科学走向现代科学 
54,窗体底端
55,我的答案：C 
56,5 
57,科学发展的两个动力是好奇和（）。
58,1.0 分 
59,窗体顶端
60,A、 
61,兴趣 
62,B、 
63,爱好 
64,C、 
65,恐惧 
66,D、 
67,求知欲 
68,窗体底端
69,我的答案：C 
70,6 
71,科技双刃剑之所以存在，之所以还会继续前进，其根源就在于（）。
72,1.0 分 
73,窗体顶端
74,A、 
75,科学是基础 
76,B、 
77,技术能改变生活 
78,C、 
79,人自身双刃剑的不对称 
80,D、 
81,科学技术的可持续发展 
82,窗体底端
83,我的答案：C 
84,7 
85,技术从三个方面推动社会发展，它们分别是器物、体制和（）。
86,1.0 分 
87,窗体顶端
88,A、 
89,经济 
90,B、 
91,活动 
92,C、 
93,政治 
94,D、 
95,文化 
96,窗体底端
97,我的答案：B 
98,8 
99,农业与工业中间有一个重要的环节是（）。
100,1.0 分 
101,窗体顶端
102,A、 
103,商业 
104,B、 
105,轻工业 
106,C、 
107,手工业 
108,D、 
109,重工业 
110,窗体底端
111,我的答案：C 
112,9 
113,“囚徒困境”说的是哪种博弈：（）
114,1.0 分 
115,窗体顶端
116,A、 
117,重复博弈 
118,B、 
119,无限次博弈 
120,C、 
121,一次性博弈 
122,D、 
123,有限博弈 
124,窗体底端
125,我的答案：C 
126,10 
127,“离每个人最远的，就是他自己。”出自：（）
128,1.0 分 
129,窗体顶端
130,A、 
131,培根 
132,B、 
133,李约瑟 
134,C、 
135,但丁 
136,D、 
137,尼采 
138,窗体底端
139,我的答案：D 
140,11 
141,天然的存在着的自然界称为（）。
142,1.0 分 
143,窗体顶端
144,A、 
145,世界IV 
146,B、 
147,世界III 
148,C、 
149,世界II 
150,D、 
151,世界I 
152,窗体底端
153,我的答案：D 
154,12 
155,（）由具有特定属性的要素组成，且各要素间具有一定结构。
156,1.0 分 
157,窗体顶端
158,A、 
159,地域 
160,B、 
161,空间 
162,C、 
163,系统 
164,D、 
165,环境 
166,窗体底端
167,我的答案：C 
168,13 
169,WTO的三大基本原则是非歧视性原则、市场开放原则和（）。
170,1.0 分 
171,窗体顶端
172,A、 
173,最惠国待遇原则 
174,B、 
175,诚实性原则 
176,C、 
177,公平竞争原则 
178,D、 
179,普遍性原则 
180,窗体底端
181,我的答案：C 
182,14 
183,（）既是人类社会的由来，也是人类社会的基础。
184,1.0 分 
185,窗体顶端
186,A、 
187,宗教 
188,B、 
189,法律 
190,C、 
191,民俗 
192,D、 
193,自然界 
194,窗体底端
195,我的答案：D 
196,15 
197,不起眼的小事可能都能改变人的命运，这说明生活中处处充满了（）。
198,1.0 分 
199,窗体顶端
200,A、 
201,成功 
202,B、 
203,失败 
204,C、 
205,必然 
206,D、 
207,偶然 
208,窗体底端
209,我的答案：D 
210,16 
211,卢梭的认为，（）的宗旨是在不丧失个人自由的前提下，寻找一种能以全部共同的力量保护个别人安全和财产的社会结合方式。
212,1.0 分 
213,窗体顶端
214,A、 
215,法律 
216,B、 
217,分配方式 
218,C、 
219,社会契约 
220,D、 
221,国会 
222,窗体底端
223,我的答案：C 
224,17 
225,三大博弈中，中国以何种博弈为主：（）
226,1.0 分 
227,窗体顶端
228,A、 
229,以人与自然博弈为主 
230,B、 
231,以人际博弈为主 
232,C、 
233,以人己博弈为主 
234,D、 
235,以人与社会博弈为主 
236,窗体底端
237,我的答案：B 
238,18 
239,科学与自然界博弈的策略有两个，一是剥夺对方的无限策略，二是（）。
240,1.0 分 
241,窗体顶端
242,A、 
243,剥夺对方的有限策略 
244,B、 
245,权重分析 
246,C、 
247,类比 
248,D、 
249,实验 
250,窗体底端
251,我的答案：D 
252,19 
253,文艺复兴运动的核心是（）。
254,1.0 分 
255,窗体顶端
256,A、 
257,打破宗教神秘主义一统天下的局面 
258,B、 
259,否定封建特权 
260,C、 
261,人与自然的解放 
262,D、 
263,破除迷信 
264,窗体底端
265,我的答案：C 
266,20 
267,量子阶梯不仅是空间上的存在，而且还是（）。
268,1.0 分 
269,窗体顶端
270,A、 
271,过去的总结 
272,B、 
273,未来的展望 
274,C、 
275,时间上的演化 
276,D、 
277,时间上的退化 
278,窗体底端
279,我的答案：C 
280,21 
281,同一个系统在不同的环境中表现出（）的功能。
282,1.0 分 
283,窗体顶端
284,A、 
285,相同 
286,B、 
287,相似 
288,C、 
289,不同 
290,D、 
291,相反 
292,窗体底端
293,我的答案：C 
294,22 
295,德国重新提出自然哲学的原因有浪漫主义和（）。
296,1.0 分 
297,窗体顶端
298,A、 
299,宗教的影响 
300,B、 
301,有神论的影响 
302,C、 
303,机械论 
304,D、 
305,德国素有思辨传统 
306,窗体底端
307,我的答案：D 
308,23 
309,生产过程是人工自然的（）。
310,1.0 分 
311,窗体顶端
312,A、 
313,存在依据 
314,B、 
315,存在方式 
316,C、 
317,降生过程 
318,D、 
319,起源 
320,窗体底端
321,我的答案：C 
322,24 
323,高层次物质（）低层次物质，出现低层次物质所没有的功能。
324,1.0 分 
325,窗体顶端
326,A、 
327,不包含 
328,B、 
329,相似于 
330,C、 
331,不同于 
332,D、 
333,包含 
334,窗体底端
335,我的答案：D 
336,25 
337,关于量变到质变，不正确的是：（）
338,1.0 分 
339,窗体顶端
340,A、 
341,要素的量不同 
342,B、 
343,要素在时空中的配置不同 
344,C、 
345,相互作用的强度不同 
346,D、 
347,是一种非结构变化 
348,窗体底端
349,我的答案：D 
350,26 
351,由农业和畜牧业形成了（）的观念。
352,0.0 分 
353,窗体顶端
354,A、 
355,创新 
356,B、 
357,理性 
358,C、 
359,天人合一 
360,D、 
361,天人分离 
362,窗体底端
363,我的答案：D 
364,27 
365,远离平衡态的涨落叫（）。
366,1.0 分 
367,窗体顶端
368,A、 
369,微涨落 
370,B、 
371,一般涨落 
372,C、 
373,巨涨落 
374,D、 
375,非涨落 
376,窗体底端
377,我的答案：C 
378,28 
379,西方文化只是以人与（）的关系为主，并非全然不顾相对独立的人际和人己关系。
380,1.0 分 
381,窗体顶端
382,A、 
383,人 
384,B、 
385,自己 
386,C、 
387,自然 
388,D、 
389,动物 
390,窗体底端
391,我的答案：C 
392,29 
393,层次越高，系统更主动、开放，环境的作用更（）。
394,1.0 分 
395,窗体顶端
396,A、 
397,弱 
398,B、 
399,低 
400,C、 
401,小 
402,D、 
403,大 
404,窗体底端
405,我的答案：D 
406,30 
407,在自然界的发展循环中，周期越来越（）。
408,1.0 分 
409,窗体顶端
410,A、 
411,不确定 
412,B、 
413,变化多端 
414,C、 
415,长 
416,D、 
417,短 
418,窗体底端
419,我的答案：D 
