,题目
0,一、单选题（题数：50，共 50.0 分）
1,1
2,"“道不行,乘桴浮于海”出自（）之口。"
3,1.0 分
4,窗体顶端
5,· A、
6,老子
7,· B、
8,庄子
9,· C、
10,孔子
11,· D、
12,孟子
13,窗体底端
14,正确答案： C 我的答案：C
15,2
16,阳历的创始者是（）。
17,1.0 分
18,窗体顶端
19,· A、
20,罗马
21,· B、
22,中国
23,· C、
24,印度
25,· D、
26,埃及
27,窗体底端
28,正确答案： D 我的答案：D
29,3
30,考古发现年代最早的剑是（）。
31,1.0 分
32,窗体顶端
33,· A、
34,蚩尤的剑
35,· B、
36,越王勾践的剑
37,· C、
38,轩辕剑
39,· D、
40,邳县剑
41,窗体底端
42,正确答案： D 我的答案：D
43,4
44,曾侯乙墓箱子上刻得字是（）。
45,1.0 分
46,窗体顶端
47,· A、
48,曾
49,· B、
50,然
51,· C、
52,匫
53,· D、
54,候
55,窗体底端
56,正确答案： C 我的答案：C
57,5
58,吴越地区的剑的剑柄与剑身中间的部分称为（）。
59,1.0 分
60,窗体顶端
61,· A、
62,箍
63,· B、
64,脊
65,· C、
66,格
67,· D、
68,首
69,窗体底端
70,正确答案： C 我的答案：C
71,6
72,故宫三大殿被围成了（）形状。
73,1.0 分
74,窗体顶端
75,· A、
76,品
77,· B、
78,干
79,· C、
80,工
81,· D、
82,土
83,窗体底端
84,正确答案： D 我的答案：D
85,7
86,最古老的的骨笛有（）个孔。
87,1.0 分
88,窗体顶端
89,· A、
90,5
91,· B、
92,4
93,· C、
94,7
95,· D、
96,6
97,窗体底端
98,正确答案： D 我的答案：D
99,8
100,不属于马家窑文化的是（）。
101,1.0 分
102,窗体顶端
103,· A、
104,石岭下类型
105,· B、
106,马家窑类型
107,· C、
108,半山类型
109,· D、
110,半坡类型
111,窗体底端
112,正确答案： D 我的答案：D
113,9
114,瑶山出土的玉镯使用的是（）手法。
115,1.0 分
116,窗体顶端
117,· A、
118,浮雕
119,· B、
120,浅浮雕
121,· C、
122,阳刻
123,· D、
124,阴线
125,窗体底端
126,正确答案： D 我的答案：D
127,10
128,商王武丁在位（）。
129,1.0 分
130,窗体顶端
131,· A、
132,50年
