,题目
0,一、 单选题（题数：55，共 55 分）
1,1投资理财需具备三个基本条件不包括以下哪一项：（）
2,A、固定的投资
3,B、追求高报酬
4,C、积极的投资观念
5,D、长期等待
6,正确答案： C 我的答案 ：C
7,2以下说法不正确的是：（）
8,A、市盈率是衡量股票价值的一个重要指标
9,B、市盈率是用股价除以每股的收益
10,C、市盈率越高，相对来说股价也越高，风险就大；而市盈率低，风险就相对小
11,D、市盈率是投资时唯一需要考虑的指标
12,正确答案： D 我的答案 ：D
13,3发明并很好使用对冲基金的是：（）
14,A、索罗斯
15,B、纳什
16,C、鲁比尼
17,D、萨缪尔森
18,正确答案： A 我的答案 ：A
19,4以下哪一项不属于张老师总结的千万富豪们致富的原因：（）
20,A、心态决定习惯
21,B、习惯决定性格
22,C、态度决定一切
23,D、性格决定一生
24,正确答案： C 我的答案 ：C
25,5一般信用卡以多少张为宜：（）
26,A、1张
27,B、3-5张
28,C、2-3张
29,D、越多越好
30,正确答案： C 我的答案 ：C
31,6具有哪种投资心理的投资人，在买卖某种货币前，原本制定了计划，考虑好了投资策略，但当受到他人的”羊群心理“的影响，步入某种货币市场时，往往不能形成很好的证券组合，一有风吹草动，就不能实施自己的投资方案：（）
32,A、盲目跟风
33,B、欲望无止
34,C、举棋不定
35,D、把汇市当赌场
36,正确答案： C 我的答案 ：A
37,7自动转存体现的储蓄的什么优点：（）
38,A、实惠性
39,B、稳定性
40,C、方便性
41,D、灵活性
42,正确答案： C 我的答案 ：C
43,8一般要以什么为基准，作出决策：（）
44,A、风险性
45,B、市盈率
46,C、灵活性
47,D、稳定性
48,正确答案： B 我的答案 ：B
49,9以下哪一项不属于理财在追求投资收益的同时更多注重的内容：（）
50,A、人生规划、风险管理规划
51,B、投资规划
52,C、养老规划、遗产规划
53,D、财产增值、财务整合
54,正确答案： D 我的答案 ：D
55,10以下哪一项不属于宏观环境的指标：（）
56,A、GDP
57,B、CPI
58,C、利率、汇率
59,D、工资政策
60,正确答案： D 我的答案 ：D
61,11股票的三种具体融资方式不包括：（）
62,A、法人股
63,B、国有股
64,C、社会公众股
65,D、企业股
66,正确答案： D 我的答案 ：A
