,题目
0,1
1,“知者不博，博者不知”中“知”的意思是：（）
2,窗体顶端
3,A、
4,心智
5,B、
6,知道
7,C、
8,智慧
9,D、
10,知识
11,窗体底端
12,我的答案：C
13,2
14,孔子云“可妻也，虽在缧绁之中，非其罪也。”并且“以其子妻之”。此人是：（）
15,窗体顶端
16,A、
17,子贱
18,B、
19,子路
20,C、
21,公冶长
22,D、
23,子贡
24,窗体底端
25,我的答案：C
26,3
27,子曰：“子无乐乎为君，唯其言而莫予违也。”中“为”是指（）。
28,窗体顶端
29,A、
30,行为
31,B、
32,无为
33,C、
34,作为
35,D、
36,为了
37,窗体底端
38,我的答案：C
39,4
40,孔子提出判断一个人的方法是：（）
41,窗体顶端
42,A、
43,君子哉若人
44,B、
45,听其言观其行
46,C、
47,善与人交
48,D、
49,三思而后行
50,窗体底端
51,我的答案：B
52,5
53,颜渊曰：“请问其目？”子曰：“非礼勿视，非礼勿听，非礼勿言，非礼勿动”这句话中“目”的意思是：（）
54,窗体顶端
55,A、
56,目标
57,B、
58,目的
59,C、
60,表现
61,D、
62,目的地
63,窗体底端
64,我的答案：C
65,6
66,下列哪项不是西周的封建制度：（）
67,窗体顶端
68,A、
69,分封制
70,B、
71,禅让制
72,C、
73,宗法制
74,D、
75,礼乐制
76,窗体底端
77,我的答案：B
78,7
79,“玄德，深矣，远矣，与物反矣，然后乃至大顺。”这句话中“反”的意思是：（）
80,窗体顶端
81,A、
82,相反
83,B、
84,反而
85,C、
86,返朴归真
87,D、
88,反对
89,窗体底端
90,我的答案：C
91,8
92,“论语”二字中“论”商务意思是：（）
93,窗体顶端
94,A、
95,谈论
96,B、
97,讨论
98,C、
99,论述
100,D、
101,编撰
102,窗体底端
103,我的答案：D
104,9
105,“士志于道，而耻恶衣恶食者，未足与议也。”这句话中“士”的意思是：（）
106,窗体顶端
107,A、
108,士兵
109,B、
110,将士
111,C、
112,读书人
113,D、
114,士大夫
115,窗体底端
116,我的答案：C
117,10
118,在我国传统文化发展的过程中，下列哪个阶段被称为“中华文化的基因库”：（）
119,窗体顶端
120,A、
121,先秦子学
122,B、
123,两汉经学
124,C、
125,隋唐佛学
126,D、
127,宋明理学
128,窗体底端
129,我的答案：A
130,11
131,“若使民常畏死，而为奇者，吾得执而杀之，孰敢？”这句话中“孰敢”的意思是：（）
132,窗体顶端
133,A、
134,谁敢
135,B、
136,怎么敢
137,C、
138,我怎么敢
139,D、
140,我敢
141,窗体底端
142,我的答案：C
143,12
144,“祸兮福之所倚，福兮祸之所伏”是下列哪位的观点：（）
145,窗体顶端
146,A、
147,曾子
148,B、
149,荀子
150,C、
151,庄子
152,D、
153,老子
154,窗体底端
155,我的答案：D
156,13
157,“不迁怒，不贰过”中“贰”的意思是：（）
158,窗体顶端
159,A、
160,2
161,B、
162,两个
163,C、
164,第二次，再次
165,D、
166,第二个
167,窗体底端
168,我的答案：C
169,14
170,孔子在《论语》里有云：“吾道一以贯之。”这句话中“一”指的是：（）
171,窗体顶端
172,A、
173,信
174,B、
175,忠
176,C、
177,仁
178,D、
179,礼
180,窗体底端
181,我的答案：C
182,15
183,“言必信，行必果，硁硁然小人哉”是（）针对信而言。
184,窗体顶端
185,A、
186,老子
187,B、
188,孟子
189,C、
190,孔子
191,D、
192,曾子
193,窗体底端
194,我的答案：C
195,16
196,冉有曰：“既庶矣，又何加焉？”子曰（）
197,窗体顶端
198,A、
199,教之
200,B、
201,富之
202,C、
203,养之
204,D、
205,治之
206,窗体底端
207,我的答案：B
208,17
209,“子四绝---毋意、毋必、毋固、毋我。”这句话中“意”的意思是：（）
210,窗体顶端
211,A、
212,大意
213,B、
214,表意
215,C、
216,意思
217,D、
218,猜测
219,窗体底端
220,我的答案：D
221,18
222,“举一反三”这个成语出自《论语》中的（）
223,窗体顶端
224,A、
225,《述而》篇
226,B、
227,《为政》篇
228,C、
229,《八佾》篇
230,D、
231,《学而》篇
232,窗体底端
233,我的答案：A
234,19
235,“夫子时然后言，人不厌其言”中“时”的意思是：（）
236,窗体顶端
237,A、
238,等待时间
239,B、
240,任何时间
241,C、
242,合适时间
243,D、
244,随意的时间
245,窗体底端
246,我的答案：C
247,20
248,老子治国的理想目标是：（）
249,窗体顶端
250,A、
251,小国寡民
252,B、
253,天下之至柔，驰骋天下之至坚
254,C、
255,圣人在天下
256,D、
257,财货有余
258,窗体底端
259,我的答案：A
260,21
261,俗话说“上有政策，下有对策”这句话与老子的下列那个观点相一致：（）
262,窗体顶端
263,A、
264,将欲取天下而为之，吾见其不得已
265,B、
266,绝圣弃智，民利百倍
267,C、
268,其政察察，其民缺缺
269,D、
270,欲将弱之，必固强之
271,窗体底端
272,我的答案：C
273,22
274,“大德不官，大道不器，大信不约，大时不齐。”这句话出自：（）
