,题目
0,
1, 
2,一、 单选题（题数：50，共 50.0 分）
3,1
4,“夫美不自美，因人而彰”是谁的观点？（）
5,1.0 分
6,窗体顶端
7,A、
8,白居易
9,B、
10,韩愈
11,C、
12,柳宗元
13,D、
14,王安石
15,窗体底端
16,正确答案： C 我的答案：C
17,2
18,在地理环境对生物的活动有何影响方面，作出研究最好的是（）。
19,1.0 分
20,窗体顶端
21,A、
22,泰纳
23,B、
24,温克尔曼
25,C、
26,杜博斯
27,D、
28,孟德斯鸠
29,窗体底端
30,正确答案： A 我的答案：A
31,3
32,以下说法中正确的是（）。
33,1.0 分
34,窗体顶端
35,A、
36,感性冲动的对象是最广义的生活。
37,B、
38,游戏冲动的对象是活的对象。
39,C、
40,只有游戏冲动才能实现人格的完美，使人成为自由的人。
41,D、
42,以上说法都正确
43,窗体底端
44,正确答案： D 我的答案：D
45,4
46,《人间词话》的作者是（）。
47,1.0 分
48,窗体顶端
49,A、
50,王国维
51,B、
52,朱光潜
53,C、
54,冯友兰
55,D、
56,张岱年
57,窗体底端
58,正确答案： A 我的答案：A
59,5
60,“乐”可以使人心气平和，这是（）的观点。
61,1.0 分
62,窗体顶端
63,A、
64,荀子
65,B、
66,老子
67,C、
68,庄子
69,D、
70,孟子
71,窗体底端
72,正确答案： A 我的答案：A
73,6
74,下列说法中错误的是（）。
75,1.0 分
76,窗体顶端
77,A、
78,时代风貌是一个社会在较长时期所显示的相对比较稳定的审美风貌。
79,B、
80,社会中个人的审美趣味和生活方式必然会受到社会文化环境和历史传统的影响。
81,C、
82,生活环境的改变对个人的格调不会产生影响。
83,D、
84,时代风貌是那个时期意象世界所显示的时代特色。
85,窗体底端
86,正确答案： C 我的答案：C
87,7
88,以下说法正确的是（）。
89,1.0 分
90,窗体顶端
91,A、
92,悲剧最积极的审美效果是使人正视人生的负面。
93,B、
94,只有由个人不能支配的力量所引起的灾难却要由某个个人来承担责任，这才构成真正的悲剧。
95,C、
96,古希腊悲剧中知道预言是预言实现的条件。
97,D、
98,以上说法都正确
99,窗体底端
100,正确答案： D 我的答案：D
101,8
102,以下说法错误的是（）。
103,1.0 分
104,窗体顶端
105,A、
106,审美趣味是一个人的审美偏爱、审美标准、审美理想的总和。
107,B、
108,审美偏爱影响审美能力。
109,C、
110,审美偏爱和审美选择是审美能力的体现。
111,D、
112,审美趣味是个人文化的产物，是个人所处的社会文化的产物。
113,窗体底端
114,正确答案： C 我的答案：C
115,9
116,谁提出“自下而上”的美学，并引发了将美学看作时心理科学的思潮？（）
117,1.0 分
118,窗体顶端
119,A、
120,海德格尔
121,B、
122,费希纳
123,C、
124,萨特
125,D、
126,杜夫海纳
127,窗体底端
128,正确答案： B 我的答案：B
129,10
130,诗歌不同于史的原因在于（）。
131,1.0 分
132,窗体顶端
133,A、
134,诗是审美的
135,B、
136,史是审美的
137,C、
