,题目
0,一、 单选题（题数：50，共 50.0 分）
1,1审美标准是存在于主体心中的理想模式和内在标准，一般来讲美学家研究的是（）的标准。1.0 分
2,A、
3,具体个人
4,B、
5,具体民族
6,C、
7,具体群体
8,D、
9,人类群体
10,我的答案：D
11,2生活世界是谁最先提出的？（）1.0 分
12,A、
13,列维纳斯
14,B、
15,海德格尔
16,C、
17,胡塞尔
18,D、
19,萨特
20,我的答案：C
21,3被誉为“现代新儒家”的是（）。1.0 分
22,A、
23,胡适
24,B、
25,冯友兰
26,C、
27,牟宗三
28,D、
29,成中英
30,我的答案：B
31,4曹雪芹美学思想的核心是（）。1.0 分
32,A、
33,美
34,B、
35,理
36,C、
37,法
38,D、
39,情
40,我的答案：D
41,5广义的自然人化是指整个社会发展到一定的阶段（）发生了根本的改变。1.0 分
42,A、
43,自然的面貌
44,B、
45,人对自然的改造程度
46,C、
47,人对自然的心理状态
48,D、
49,人和自然的关系
50,我的答案：D
51,6不属于《红楼梦》的诗词是（）。1.0 分
52,A、
53,《红豆曲》
54,B、
55,《枉凝眉》
56,C、
57,《怅诗》
58,D、
59,《葬花词》
60,我的答案：C
61,7青少年的美育需要注意（）。1.0 分
62,A、
63,要使青少年自由、活泼地成长，充满快乐，蓬勃向上。
64,B、
65,要注重对青少年进行审美趣味、审美格调、审美理想的教育。
66,C、
67,要对青少年加强艺术经典的教育。
68,D、
69,以上说法都正确
70,我的答案：D
71,8王夫之从哪里引入“现量”的概念？（）1.0 分
72,A、
73,道家学说
74,B、
75,逻辑学
76,C、
77,唯识论
78,D、
79,因明学
80,我的答案：D
81,9“乐”可以使人心气平和，这是（）的观点。1.0 分
82,A、
83,荀子
84,B、
85,老子
86,C、
87,庄子
88,D、
89,孟子
90,我的答案：A
91,10以下说法中不正确的是（）。1.0 分
92,A、
93,自然美的性质实质上是“美是什么”的问题。
94,B、
95,自然美是情景交融，物我同一而产生的审美意象，是人与世界的沟通和契合。
96,C、
97,存在着纯审美的眼光。
98,D、
99,自然物的审美价值不能脱离人的生活世界及人的审美意识。
100,我的答案：C
101,11被苏联美学家卢那察尔斯基称为“俄国的春天”的是（）。1.0 分
102,A、
103,托尔斯泰
104,B、
105,屠格涅夫
106,C、
107,普希金
108,D、
109,契诃夫
110,我的答案：C
111,12主张自然美高于艺术美的是（）。1.0 分
112,A、
113,宗白华
114,B、
115,黑格尔
116,C、
117,车尔尼雪夫斯基
118,D、
119,郑板桥
120,我的答案：C
121,13把一切强壮有力的东西、力量认为是丑陋的是（）。1.0 分
122,A、
123,文艺复兴时期
124,B、
125,启蒙运动时期
126,C、
127,中世纪
128,D、
129,君主专制时代
130,我的答案：D
131,14杜夫海纳的灿烂的感性是指（）。1.0 分
132,A、
133,物理的实在
134,B、
135,抽象的理念概念
136,C、
137,情景交融
138,D、
139,主客分离
140,我的答案：C
141,15冯友兰先生认为（）是中国传统哲学中最有价值的内容。1.0 分
142,A、
143,阴阳五行
144,B、
145,人生境界
146,C、
147,天人合一
148,D、
149,中庸
150,我的答案：B
151,16对休闲描述不恰当的是（）。1.0 分
152,A、
153,是一种生命状态
154,B、
155,以文化创造和文化享受为内容
156,C、
157,是一种行为方式
158,D、
159,侧重于人们精神生活的方面
160,我的答案：D
161,17“大”与“崇高”的差异有提到（）个。1.0 分
162,A、
163,二
164,B、
165,三
166,C、
167,五
168,D、
169,六
170,我的答案：D
171,18以下对波普艺术的说法错误的是（）。1.0 分
172,A、
173,它20世纪50年代萌发于英国。
174,B、
175,杜尚是观念艺术的发起者。
176,C、
177,它指的是流行艺术、通俗艺术。
178,D、
179,它否定了艺术和非艺术的界限。
180,我的答案：B
181,19写意是中国绘画美学的概念，它与哪一家的美学有密切联系？（）1.0 分
182,A、
183,儒家
184,B、
185,道家
186,C、
187,佛家
188,D、
189,阴阳家
190,我的答案：B
191,20《奇特的一生》作者是（）。1.0 分
192,A、
193,柳比歇夫
194,B、
195,朱光潜
196,C、
197,汤因比
198,D、
199,格拉宁
200,我的答案：D
201,21“观念比通过观念制造出来的东西要有意思的多”是谁说的？（）1.0 分
202,A、
203,安迪·沃霍尔
204,B、
205,杜尚
206,C、
207,福南多斯·阿尔曼
208,D、
209,欧登伯格
210,我的答案：B
211,22以下说法中正确的是（）。1.0 分
212,A、
213,感性冲动的对象是最广义的生活。
214,B、
215,游戏冲动的对象是活的对象。
216,C、
217,只有游戏冲动才能实现人格的完美，使人成为自由的人。
218,D、
219,以上说法都正确
220,我的答案：D
221,2320世纪50年代到60年代，中国美学大讨论的思维模式是（）。1.0 分
222,A、
223,主客二分
224,B、
225,天人合一
226,C、
227,主客统一
228,D、
229,天人分离
230,我的答案：A
231,24“自我实现的人”是由（）提出的。1.0 分
