,题目
0,
1,一、 单选题（题数：50，共 50.0 分）
2,1阿拉伯数字是哪个民族发明的：（）1.0 分
3,A、阿拉伯人
4,B、印度人
5,C、希腊人
6,D、罗马人
7,我的答案：B
8,2日本近代教育之父是1.0 分
9,A、近藤真琴
10,B、大木乔任
11,C、福泽谕吉
12,D、中村正直
13,我的答案：C
14,3按照柏拉图的观点，下列四个选项中层次最低的是：（）1.0 分
15,A、Objects of sense experience
16,"B、Images,Shadows of sensible objects"
17,C、Objects of mathematics
18,"D、Forms,Ideas, Purely intelligibles"
19,我的答案：B
20,4“洞穴喻”是哪位哲学家提出的：（）1.0 分
21,A、巴门尼德
22,B、康德
23,C、叔本华
24,D、柏拉图
25,我的答案：D
26,5发现了杠杆原理的科学家是1.0 分
27,A、牛顿
28,B、开普勒
29,C、伽利略
30,D、阿基米德
31,我的答案：D
32,6爱因斯坦真正掌握逻辑推理的方法是因为学习了下列哪本著作：（）1.0 分
33,A、《工具论》
34,B、《大逻辑》
35,C、《纯粹理性的批判》
36,D、《几何原本》
37,我的答案：D
38,7笛卡尔的代表作是：（）1.0 分
39,A、《方法谈》
40,B、《新工具》
41,C、《两个世界的对话》
42,D、《大逻辑》
43,我的答案：A
44,8“中学为体，西学为用”是由哪位先辈提出的：（）1.0 分
45,A、胡适
46,B、杨度
47,C、张之洞
48,D、曾国藩
49,我的答案：C
50,9《神谱》提出了神的什么理论：1.0 分
51,A、同一理论
52,B、大兼容理论
53,C、大统一理论
54,D、大爆炸理论
55,我的答案：C
56,10开创量子场论和量子点动力学的科学家是：（）1.0 分
57,A、费曼
58,B、外尔
59,C、海森堡
60,D、狄拉克
61,我的答案：D
62,11时间的进制是由哪个文明首先创立的：（）1.0 分
63,A、古巴比伦文明
64,B、古埃及文明
65,C、古印度文明
66,D、古罗马文明
67,我的答案：A
68,12下列声称“实验和经验事实需要体统的数学的概念进行解释”的科学家是：（）1.0 分
69,A、牛顿
70,B、伽利略
71,C、惠更斯
72,D、胡克
73,我的答案：B
74,13提出光的波动理论的科学家是：1.0 分
75,A、莱布尼茨
76,B、胡克
77,C、牛顿
78,D、爱因斯坦
79,我的答案：B
80,14把笛卡尔坐标系拓展到任意维度的科学家是：（）1.0 分
81,A、拉格朗日
82,B、哈密顿
83,C、勒让德
84,D、拉普拉斯
85,我的答案：B
86,15提出世界由五个元素构成的文明是哪个文明：1.0 分
87,A、古埃及
88,B、中华文明
89,C、古印度
90,D、古希腊
91,我的答案：B
92,16DNA双螺旋结构是哪种学家发现的：1.0 分
93,A、天文学家
94,B、物理学家
95,C、生物学家
96,D、化学家
97,我的答案：D
98,17罗素认为柏拉图的哲学的基础是：（）1.0 分
99,A、意识与物质的区别
100,B、可知与不可知的区别
101,C、神学与哲学的区别
102,D、实在与现象的区别
103,我的答案：D
104,18第一个成功建立科学体系的人是1.0 分
105,A、牛顿
106,B、泰勒
107,C、法拉第
108,D、爱迪生
109,我的答案：A
110,19文艺复兴的发源地是1.0 分
111,A、埃及
112,B、希腊
113,C、阿拉伯
114,D、意大利
115,我的答案：D
116,20科学的起源1.0 分
117,A、古罗马
118,B、古埃及
119,C、古巴比伦
120,D、古希腊
121,我的答案：D
122,21被黑格尔称为“近代哲学之父”的人是1.0 分
123,A、约翰·洛克
124,B、罗吉尔·培根
125,C、勒内·笛卡尔
126,D、弗朗西斯·培根
127,我的答案：C
128,22开普勒认为行星运动的焦点应该落在哪儿：1.0 分
129,A、银河系的中心
130,B、地球的中心
131,C、太阳的中心
132,D、太阳系的中心
133,我的答案：C
134,23古希腊人所承认的逻辑体系是：（）1.0 分
135,A、归纳逻辑体系
136,B、数理逻辑体系
137,C、辩证逻辑体系
138,D、演绎逻辑体系
139,我的答案：D
140,24真理掌握在谁的手里：1.0 分
141,A、哲学家
142,B、少数人
143,C、多数人
144,D、科学家
145,我的答案：B
146,25逻辑推理起源于1.0 分
147,A、古罗马
148,B、古希腊
149,C、古埃及
150,D、古巴比伦
151,我的答案：B
152,26教育就是当你把在学校所学全部忘光之后剩下的东西，是谁说的：1.0 分
153,A、霍金
154,B、牛顿
155,C、费米
156,D、爱因斯坦
