,题目
0,姓名： 班级：默认班级   成绩： 99.0分
1, 
2,一、 单选题（题数：50，共 50.0 分）
3,1
4,“德不孤必有邻”是谁说的?
5,1.0 分
6,窗体顶端
7,A、
8,老子
9,B、
10,孟子
11,C、
12,孔子
13,D、
14,荀子
15,窗体底端
16,我的答案：C
17,2
18,“仁 智 信 勇 严”出自？
19,1.0 分
20,窗体顶端
21,A、
22,《论语》
23,B、
24,《吴子》
25,C、
26,《六韬》
27,D、
28,《孙子兵法》
29,窗体底端
30,我的答案：D
31,3
32,下列说法不正确的是（）。
33,0.0 分
34,窗体顶端
35,A、
36,内圣指的是把仁心用于社会中
37,B、
38,外王指的是要把仁心用到社会中
39,C、
40,内圣指的是内部修养仁心
41,D、
42,要内圣就要做到存心
43,窗体底端
44,我的答案：D
45,4
46,《仪礼》的功能和《周礼》的特点？
47,1.0 分
48,窗体顶端
49,A、
50,“礼”的一个概念
51,B、
52,礼的做法
53,C、
54,礼的形成
55,D、
56,礼的发展
57,窗体底端
58,我的答案：A
59,5
60,《周易》这本书里边所体会出来的一种精神叫？
61,1.0 分
62,窗体顶端
63,A、
64,道德意思
65,B、
66,秩序意识
67,C、
68,佛家意识
69,D、
70,鬼神意识
71,窗体底端
72,我的答案：B
73,6
74,“心斋”讲的是（）。
75,1.0 分
76,窗体顶端
77,A、
78,内心的虚空
79,B、
80,心性无烦忧
81,C、
82,没有想法
83,D、
84,回到你的本性
85,窗体底端
86,我的答案：D
87,7
88,中国文化中的两个用人策略：一是用人之长；二是用人（）。
89,1.0 分
90,窗体顶端
91,A、
92,之能
93,B、
94,之技
95,C、
96,之短
97,D、
98,之功
99,窗体底端
100,我的答案：C
101,8
102,“礼制“就是把天下系于一个人身上，“法制”是把天下系于一套制度。
103,1.0 分
104,窗体顶端
105,A、
106,正确
107,B、
108,错误
109,窗体底端
110,我的答案：A
111,9
112,下列说法错误的是：（）
113,1.0 分
114,窗体顶端
115,A、
116,孔子是生于老子之后的
117,B、
118,孔子出生在公元前551年
119,C、
120,孔子死于公元前479年
121,D、
122,孔子把商朝最重要的典籍做了整理
123,窗体底端
124,我的答案：D
125,10
126,古代的史官主要是服务谁的？
127,1.0 分
128,窗体顶端
129,A、
130,庶民
131,B、
132,王室
133,C、
134,士大夫
135,D、
136,商人
137,窗体底端
138,我的答案：B
139,11
140,《周易》的最后一个卦？
141,1.0 分
142,窗体顶端
143,A、
144,乾卦
145,B、
146,坤卦
147,C、
148,即济 未济
149,D、
150,未济
151,窗体底端
152,我的答案：C
153,12
154,不属于商鞅治国的三套理念的是（）。
155,1.0 分
156,窗体顶端
157,A、
158,帝道
159,B、
160,王道
161,C、
162,霸道
163,D、
164,人道
165,窗体底端
166,我的答案：D
167,13
168,“广博易良”的“易良”的意思是（）。
169,1.0 分
170,窗体顶端
171,A、
172,能够进行改良
173,B、
174,能够把道理讲清楚
175,C、
176,能够从复杂中把握简易
177,D、
178,通俗易懂
179,窗体底端
180,我的答案：B
181,14
182,儒墨学说起点（），都是想让国家变得更好，老百姓过上好日子。
183,1.0 分
184,窗体顶端
185,A、
186,相同
187,B、
188,相似
189,C、
190,相合
191,D、
192,相异
193,窗体底端
194,我的答案：A
195,15
196,不属于孟子学说的是（）。
197,1.0 分
198,窗体顶端
199,A、
200,性善论
201,B、
202,从仁到义
203,C、
204,从民主到民本
205,D、
206,从内圣到外王
207,窗体底端
208,我的答案：C
209,16
210,不属于孟子对仁义的观点的是（）。
211,1.0 分
212,窗体顶端
213,A、
214,内心守仁，做事讲义
215,B、
216,仁，从心也，义，人路也
217,C、
218,仁是处理社会关系的，义是处理血缘关系
219,D、
220,仁是处理血缘关系的，义是处理社会关系的
221,窗体底端
222,我的答案：C
223,17
224,《中庸》中“率性而谓道”的“率”的意思是（）。
225,1.0 分
226,窗体顶端
227,A、
228,遵循
229,B、
230,领先占领
231,C、
232,随心随欲
233,D、
234,心想事成
235,窗体底端
236,我的答案：A
237,18
