,题目
0,一、 单选题（题数：50，共 50.0 分）
1,1
2,中世纪后期的城市与庄园的关系是（）。
3,1.0 分
4,窗体顶端
5,A、
6,一样的生产方式
7, 
8,B、
9,一样的人际关系
10, 
11,C、
12,一样的文化
13, 
14,D、
15,以上都不是
16, 
17,窗体底端
18,我的答案：D
19,2
20,第一次工业革命在科学领域的意义是（）。
21,1.0 分
22,窗体顶端
23,A、
24,美化近代科学革命
25, 
26,B、
27,丑化近代科学革命
28, 
29,C、
30,物化近代科学革命
31, 
32,D、
33,抽象化近代科学革命
34, 
35,窗体底端
36,我的答案：C
37,3
38,进化的观念起源于以下哪一个时期：（）
39,1.0 分
40,窗体顶端
41,A、
42,启蒙运动
43, 
44,B、
45,两希文明
46, 
47,C、
48,宗教改革
49, 
50,D、
51,文艺复兴运动
52, 
53,窗体底端
54,我的答案：A
55,4
56,与西方相比，中世纪同时期的中国经济是（）。
57,1.0 分
58,窗体顶端
59,A、
60,高度发达的大型市场经济
61, 
62,B、
63,高度发达的大型自然经济
64, 
65,C、
66,小农地主并存的自然经济
67, 
68,D、
69,小农地主并存的市场经济
70, 
71,窗体底端
72,我的答案：C
73,5
74,近代科学从文化中脱离出来，使用的方法是（）。
75,1.0 分
76,窗体顶端
77,A、
78,机械论
79, 
80,B、
81,渐变论
82, 
83,C、
84,灾变论
85, 
86,D、
87,进化论
88, 
89,窗体底端
90,我的答案：A
91,6
92,在近代，以下哪一项不属于非嵌入编码知识的范畴：（）
93,1.0 分
94,窗体顶端
95,A、
96,唯科学主义
97, 
98,B、
99,经济学
100, 
101,C、
102,反精英文化
103, 
104,D、
105,启蒙运动理念
106, 
107,窗体底端
108,我的答案：C
109,7
110,与欧洲近代科学革命相比，18世纪美国科学发展的优势是（）。
111,1.0 分
112,窗体顶端
113,A、
114,在哲学宗教上优于欧洲
115, 
116,B、
117,在科学技术上优于欧洲
118, 
119,C、
120,不需要承受历史负担
121, 
122,D、
123,不受印第安文化的影响
124, 
125,窗体底端
126,我的答案：C
127,8
128,在近现代科学发展的背景下，大科学的特征是（）。
129,1.0 分
130,窗体顶端
131,A、
132,社会化和抽象化
133, 
134,B、
