,题目
0,一、 单选题（题数：50，共 50.0 分）
1,1
2,清朝，（）王朝时期禁止西洋人在中国传教。
3,1.0 分
4,窗体顶端
5,A、
6,康熙
7,B、
8,乾隆
9,C、
10,雍正
11,D、
12,道光
13,窗体底端
14,正确答案： A 我的答案：A
15,2
16,古巴比伦文明使用（）作为文字。
17,1.0 分
18,窗体顶端
19,A、
20,锲形文字
21,B、
22,楔形文字
23,C、
24,象形文字
25,D、
26,甲骨文
27,窗体底端
28,正确答案： B 我的答案：B
29,3
30,（）最早提出了割圆术。
31,1.0 分
32,窗体顶端
33,A、
34,郭守敬
35,B、
36,祖冲之
37,C、
38,张衡
39,D、
40,刘徽
41,窗体底端
42,正确答案： D 我的答案：D
43,4
44,（）不属于农业社会所出现的技术创新。
45,1.0 分
46,窗体顶端
47,A、
48,铁器的出现
49,B、
50,纺织的出现
51,C、
52,农业工具的发展
53,D、
54,陶器的出现
55,窗体底端
56,正确答案： A 我的答案：A
57,5
58,近代科学中，实验传统的来源是（）。
59,1.0 分
60,窗体顶端
61,A、
62,数理传统
63,B、
64,炼金术传统
65,C、
66,培根传统
67,D、
68,以上都对
69,窗体底端
70,正确答案： D 我的答案：D
71,6
72,古希腊数学著作《几何原本》的作者是（）。
73,1.0 分
74,窗体顶端
75,A、
76,泰勒斯
77,B、
78,巴门尼德
79,C、
80,柏拉图
81,D、
82,欧几里得
83,窗体底端
84,正确答案： D 我的答案：D
85,7
86,（）是中国元朝时期的天文学家、数学家、水利专家和仪器制造专家。
87,1.0 分
88,窗体顶端
89,A、
90,郭守敬
91,B、
92,祖冲之
93,C、
94,张衡
95,D、
96,刘徽
97,窗体底端
98,正确答案： A 我的答案：A
99,8
100,（）是自然哲学最基本的方法。
101,0.0 分
102,窗体顶端
103,A、
104,建立原理
105,B、
106,提出假设
107,C、
108,比较论证
109,D、
110,检验假设
111,窗体底端
112,正确答案： A 我的答案：B
113,9
114,关于开普勒定律，下列说法中正确的是（）。
115,1.0 分
116,窗体顶端
117,A、
118,也叫行星运动定律
119,B、
120,是指行星在宇宙空间绕太阳公转所遵循的定律
121,C、
122,也称调和定律
123,D、
124,以上都对
125,窗体底端
