,题目
0,一、 单选题（题数：50，共 50.0 分）
1,1
2,以下哪个国家的核电占总发电比是最高的？（）
3,1.0 分
4,窗体顶端
5,A、
6,美国
7,B、
8,俄罗斯
9,C、
10,法国
11,D、
12,英国
13,窗体底端
14,我的答案：C
15,2
16,我国淡水资源总水量在世界排名为多少？（）
17,1.0 分
18,窗体顶端
19,A、
20,10
21,B、
22,8
23,C、
24,6
25,D、
26,4
27,窗体底端
28,我的答案：C
29,3
30,水俣病是因为什么中毒引起的？（）
31,1.0 分
32,窗体顶端
33,A、
34,汞中毒
35,B、
36,镉中毒
37,C、
38,锌中毒
39,D、
40,铜中毒
41,窗体底端
42,我的答案：A
43,4
44,醇跟羧酸或含氧无机盐生成酯和水的反应称为什么？（）
45,1.0 分
46,窗体顶端
47,A、
48,氧化反应
49,B、
50,催化反应
51,C、
52,酯化反应
53,D、
54,碳化反应
55,窗体底端
56,我的答案：C
57,5
58,洗衣粉中的荧光增白粉是什么颜色的材料？（）
59,1.0 分
60,窗体顶端
61,A、
62,白色
63,B、
64,黄色
65,C、
66,蓝色
67,D、
68,红色
69,窗体底端
70,我的答案：C
71,6
72,以下哪一项不属于强氧化剂？（）
73,1.0 分
74,窗体顶端
75,A、
76,硝酸
77,B、
78,三氧化铬
79,C、
80,高锰酸钾
81,D、
82,醋酸
83,窗体底端
84,我的答案：D
85,7
86,以下哪种不是南非的富有资源？（）
87,1.0 分
88,窗体顶端
89,A、
90,黄金
91,B、
92,钻石
93,C、
94,铀矿
95,D、
96,石油
97,窗体底端
98,我的答案：D
99,8
100,铬镍电池的负极是什么元素？（）
101,1.0 分
102,窗体顶端
103,A、
104,铜
105,B、
106,锰
107,C、
108,镍
109,D、
110,镉
111,窗体底端
112,我的答案：D
113,9
114,以下哪一项不属于化学武器？（）
115,1.0 分
116,窗体顶端
117,A、
118,氯气
119,B、
120,光气
121,C、
122,芥子气
123,D、
124,氢气
125,窗体底端
126,我的答案：D
127,10
128,印度博帕尔毒气泄漏事件发生于（）年。
129,1.0 分
130,窗体顶端
131,A、
132,1964
133,B、
134,1974
135,C、
136,1984
137,D、
138,1994
139,窗体底端
140,我的答案：C
141,11
