,题目
0,一、 单选题（题数：25，共 50.0 分）
1,1
2,“知爱人而后知保天下”是谁说的
3,2.0 分
4,A、
5,苏辙
6,B、
7,苏轼
8,C、
9,苏洵
10,D、
11,孟子
12,正确答案： A 我的答案：A
13,2
14,计算机的发明来自于（   ）。
15,2.0 分
16,A、
17,高等数学
18,B、
19,二进制
20,C、
21,周易八卦
22,正确答案： C 我的答案：C
23,3
24,“圣人之道，为而不争”出自（ ）。
25,2.0 分
26,A、
27,《论语》
28,B、
29,《道德经》
30,C、
31,《孟子》
32,D、
33,《孙子兵法》
34,正确答案： B 我的答案：B
35,4
36,创业需要（ ）。
37,2.0 分
38,A、
39,思想合作，行动独立
40,B、
41,思想独立，行动合作
42,C、
43,思想合作
44,D、
45,行动独立
46,正确答案： B 我的答案：B
47,5
48,保护品牌的关键点是（    ）。
49,2.0 分
50,A、
51,建立品牌名称
52,B、
53,打广告
54,C、
55,注册商标
56,D、
57,做好品牌宣传
58,正确答案： C 我的答案：C
59,6
60,下列属于五行的是（        ）
61,2.0 分
62,A、
63,人
64,B、
65,天
66,C、
67,雨
68,D、
69,金
70,正确答案： D 我的答案：D
71,7
72,计算机的发明来自于（   ）。
73,2.0 分
74,A、
75,高等数学
76,B、
77,二进制
78,C、
79,周易八卦
80,正确答案： C 我的答案：C
81,8
82,下列不是打造创业模式的重点
83,2.0 分
84,A、
85,让客户愿意接受
86,B、
87,让市场愿意接受
88,C、
89,顺应社会发展
90,D、
91,顺应时代进步
92,正确答案： D 我的答案：D
93,9
94,名佛法称为（　　）。
95,2.0 分
96,A、
97,是观
98,B、
99,非观
100,C、
101,中观
102,D、
103,是非观
104,正确答案： C 我的答案：C
105,10
106,国学之信与品牌打造之间的关系是（   ）。
107,2.0 分
108,A、
109,解决名称问题
110,B、
111,解决老板问题
112,C、
113,解决信息不对称问题
114,正确答案： C 我的答案：C
115,11
116,“不想当元帅的士兵不是好士兵”是（ ）说的。
117,2.0 分
118,A、
119,岳飞
120,B、
121,拿破仑
122,C、
123,大仲马
124,D、
125,林肯
126,正确答案： B 我的答案：B
127,12
128,下列说法不正确的是（ ）
129,2.0 分
130,A、
131,火克水
132,B、
133,木克土
134,C、
135,水克火
136,D、
137,火克金
138,正确答案： A 我的答案：A
139,13
140,《了凡四训》出自（ ）教派
141,2.0 分
142,A、
143,道教
144,B、
145,佛教
146,C、
147,伊斯兰教
148,D、
149,基督教
150,正确答案： B 我的答案：B
151,14
152,王国维治学有（ ）个境界？
153,2.0 分
154,A、
155,1
156,B、
157,2
158,C、
159,3
160,D、
161,4
162,正确答案： C 我的答案：C
163,15
164,“知道”的含义是（  ）。
165,2.0 分
166,A、
167,明白了解
168,B、
169,明白原理
170,C、
171,明白工作
172,正确答案： B 我的答案：B
173,16
174,2014年中国电子商务市场规模达到（ ）亿。
175,2.0 分
176,A、
177,11.3
178,B、
179,12
180,C、
181,12.3
182,D、
183,13
184,正确答案： C 我的答案：C
185,17
186,学习的“习”的本意是（  ）。
187,2.0 分
188,A、
189,学
190,B、
191,温习
192,C、
193,学以致用
194,正确答案： C 我的答案：C
195,18
196,创业思维的第一要点是（   ）。
197,2.0 分
198,A、
199,社会价值
200,B、
201,逐利思想
202,C、
203,独立精神
204,正确答案： B 我的答案：B
205,19
206,“反者道之动，弱者道之用”出自（　）
207,2.0 分
208,A、
209,《孔子》
210,B、
211,《庄子》
212,C、
213,《老子》
214,D、
215,《孟子》
216,正确答案： C 我的答案：C
217,20
218,“知爱人而后知保天下”是谁说的
219,2.0 分
220,A、
221,苏辙
222,B、
223,苏轼
224,C、
225,苏洵
226,D、
227,孟子
228,正确答案： A 我的答案：A
229,21
230,“信”字在中国传统文化中的核心是（   ）的意思。
231,2.0 分
232,A、
233,信息
234,B、
235,信用
236,C、
237,诚信
238,正确答案： C 我的答案：C
239,22
240,国学思维和创业思维，国学思维是（ ），创业思维是用。
241,2.0 分
242,A、
243,本
244,B、
245,末
246,C、
247,体
248,D、
249,用
250,正确答案： A 我的答案：A
251,23
252,创业之初的重任是什么？
253,2.0 分
254,A、
255,打造好的品牌
256,B、
257,制定企业发展规划
258,C、
259,打造快乐满意的员工
260,D、
261,营造好的企业环境
262,正确答案： C 我的答案：C
263,24
264,有竞争的市场我们称为（　）
265,2.0 分
266,A、
267,黑海
268,B、
269,蓝海
270,C、
271,红海
272,D、
273,白海
274,正确答案： C 我的答案：C
275,25
276,肯德基卖油条豆浆体现了（   ）。
277,2.0 分
278,A、
279,企业品牌
280,B、
281,团队建设
282,C、
283,企业创新
284,D、
285,文化融合
286,正确答案： D 我的答案：D
287,二、 判断题（题数：25，共 50.0 分）
288,1
289,“运”指的是机遇，对吗？
290,2.0 分
291,正确答案： √ 我的答案： √
292,2
293,我命在我不在天，对吗？
294,2.0 分
295,正确答案： √ 我的答案： √
296,3
297,“知道”中的“道”是道家思想，对吗？
298,2.0 分
299,正确答案： × 我的答案： ×
300,4
301,宣传是品牌的护身符，对吗？
302,2.0 分
303,正确答案： × 我的答案： ×
304,5
305,中医一定比西医治疗效果好。
306,2.0 分
307,正确答案： × 我的答案： ×
308,6
309,国学能指导经济的发展，对吗？
310,2.0 分
311,正确答案： √ 我的答案： √
312,7
313,“学”的意思是学习是你自己的事情，对吗？
314,2.0 分
315,正确答案： √ 我的答案： √
316,8
317,万物都由阴阳组成，对吗？
318,2.0 分
319,正确答案： √ 我的答案： √
320,9
321,外脑是品牌的奠基石，对吗？
322,2.0 分
