,题目
0,一、单选题
1, 
2,1
3, 
4,马丁·赛利格曼认为构成快乐的要素是（）。
5,A、
6,愉悦
7,
8,B、
9,参与和投入
10,
11,C、
12,意义感
13,
14,D、
15,以上都对
16,
17,我的答案：D
18,2
19, 
20,了解自我，开发自我潜能的办法是（）。
21,A、
22,培养自主性
23,
24,B、
25,控制注意力
26,
27,C、
28,尝试
29,
30,D、
31,改变
32,
33,我的答案：C
34,3
35, 
36,下列哪一种人的生活基本上没有挑战？（）
37,A、
38,享乐主义者
39,
40,B、
41,完美主义者
42,
43,C、
44,最优主义者
45,
46,D、
47,虚无主义者
48,
49,我的答案：A
50,4
51, 
52,下列哪一种方法不可以提升积极情绪？（）
53,A、
54,为自己设计快乐的一天
55,
56,B、
57,感恩的拜访
58,
59,C、
60,辛勤地劳动
61,
62,D、
63,优势约会
64,
65,我的答案：C
66,5
67, 
68,宾州大学心理学系关于积极心理学的研究主题是（）。
69,A、
70,真实的幸福
71,
72,B、
73,快乐的人生
74,
75,C、
76,有意义的人生
77,
78,D、
79,开怀大笑的幸福
80,
81,我的答案：A
82,6
83, 
84,参加菲利普·津巴多监狱实验的人群主要是（）。
85,A、
86,商人
87,
88,B、
89,市民
90,
91,C、
92,流氓
93,
94,D、
95,大学生
96,
97,我的答案：D
98,7
99, 
100,在降低焦虑水平上，短时间干预能立即产生长期效果的是（）。
101,A、
102,写日记
103,
104,B、
105,诉说
106,
107,C、
108,压抑
109,
110,D、
111,看电视
112,
113,我的答案：A
114,8
115, 
116,下列职业中，哪一项工作性质不具备心流体验的特征？
117,A、
118,歌唱家
119,
120,B、
121,售票员
122,
123,C、
124,舞蹈家
125,
126,D、
127,魔术表演者
128,
129,我的答案：B
130,9
131, 
132,主动式娱乐的两个特点是（）。
133,A、
134,娱乐性与挑战性
135,
136,B、
137,趣味性与技能性
138,
139,C、
140,技能性与挑战性
141,
142,D、
143,娱乐性与技能性
144,
145,我的答案：C
146,10
147, 
148,电影《土拨鼠节》中男主人公菲尔的经历过程依次是（）。
149,A、
150,奔波忙碌型、虚无主义型、幸福型、享乐主义性
151,
152,B、
153,虚无主义型、忙碌奔波型、享乐主义型、幸福型
154,
155,C、
156,享乐主义型、虚无主义型、忙碌奔波型、幸福型
157,
158,D、
159,忙碌奔波型、享乐主义型、虚无主义型、幸福型
160,
161,我的答案：D
162,11
163, 
