,题目
0,1
1,通常认为，公司财务中的第二原则是（）。
2,1.0 分
3,窗体顶端
4,A、
5,时间价值
6,B、
7,风险价值
8,C、
9,成本价值
10,D、
11,机会价值
12,窗体底端
13,正确答案： B 我的答案：B
14,2
15,目前，普遍使用的股票发行方式是（）。
16,1.0 分
17,窗体顶端
18,A、
19,发认购证
20,B、
21,现场发行
22,C、
23,网上发行
24,D、
25,虚拟发行
26,窗体底端
27,正确答案： C 我的答案：C
28,3
29,股票发行注册制的核心是（）。
30,1.0 分
31,窗体顶端
32,A、
33,审核公司上市条件
34,B、
35,审核股票发行面额
36,C、
37,审核公开说明书的内容
38,D、
39,审核股票发行程序
40,窗体底端
41,正确答案： C 我的答案：C
42,4
43,（）创造了骨架突破100美元的第一个中国概念股。
44,1.0 分
45,窗体顶端
46,A、
47,中国工商银行
48,B、
49,中海油
50,C、
51,百度公司
52,D、
53,长城汽车股份
54,窗体底端
55,正确答案： C 我的答案：C
56,5
57,通常情况下，市净率的高低与股票投资价值的关系是（）。
58,1.0 分
59,窗体顶端
60,A、
61,正比例关系
62,B、
63,反比例关系
64,C、
65,不相关
66,D、
67,因果关系
68,窗体底端
69,正确答案： B 我的答案：B
70,6
71,当单项资产的期望收益率不同，但收益变量的标准差相同时，投资倾向于（）。
72,1.0 分
73,窗体顶端
74,A、
75,在风险相同的情况下，选择收益率低的
76,B、
77,在风险不同的情况下，选择收益率低的
78,C、
79,在风险相同的情况下，选择收益率高的
80,D、
81,在风险不同情况下，选择收益率高的
82,窗体底端
83,正确答案： C 我的答案：C
84,7
85,定向增发收益的构成不包括（）。
86,1.0 分
87,窗体顶端
88,A、
89,相对收益
90,B、
91,绝对收益
92,C、
93,折价
94,D、
95,溢价
96,窗体底端
97,正确答案： D 我的答案：D
98,8
99,下列不属于传统意义上公司传播品牌和形象的途径的是（）。
100,1.0 分
101,窗体顶端
102,A、
103,口碑
104,B、
105,广告
106,C、
107,营销
108,D、
109,上市
110,窗体底端
111,正确答案： D 我的答案：D
112,9
113,下列理论中，属于股票技术分析流派中最具综合性的经典理论的是（）。
114,1.0 分
115,窗体顶端
116,A、
117,K线理论
118,B、
119,切线理论
120,C、
121,形态理论
122,D、
123,波浪理论
124,窗体底端
125,正确答案： D 我的答案：D
126,10
127,下列融资方式中，属于公开发行股票的是（）。
128,1.0 分
129,窗体顶端
130,A、
131,新股发行
132,B、
133,定向增发
134,C、
135,配股
136,D、
137,再融资
138,窗体底端
139,正确答案： C 我的答案：C
140,11
141,下列国家和地区中，以累计订单询价机制作为主要定价机制的是（）。
142,1.0 分
143,窗体顶端
144,A、
145,印度
146,B、
147,新加坡
148,C、
149,中东
150,D、
151,美国
152,窗体底端
153,正确答案： D 我的答案：D
154,12
155,黄金交叉是（）的表现。
156,1.0 分
157,窗体顶端
158,A、
159,空头
160,B、
161,股票下跌
162,C、
163,多头
164,D、
165,股票出场
166,窗体底端
167,正确答案： C 我的答案：C
168,13
169,全国社保基金正式入市是在（）。
170,1.0 分
171,窗体顶端
172,A、
173,2001年
174,B、
175,2002年
176,C、
177,2003年
178,D、
179,2004年
180,窗体底端
181,正确答案： C 我的答案：C
182,14
183,创业板公司股票的信息披露重点在于（）。
184,1.0 分
185,窗体顶端
186,A、
187,公司行业
188,B、
189,股票市值
190,C、
191,审计委员会的人员构成、议事规则
192,D、
193,公司成立年限
194,窗体底端
195,正确答案： C 我的答案：C
196,15
197,认股权证的本质是（）。
198,1.0 分
199,窗体顶端
200,A、
201,价值
202,B、
203,期货
204,C、
205,交易
206,D、
207,期权
208,窗体底端
209,正确答案： D 我的答案：D
210,16
211,股票交易公开原则的核心要求是（）。
212,1.0 分
213,窗体顶端
214,A、
215,监管机构公开监管
216,B、
217,股票价值公开
218,C、
219,市场信息实现公开化
220,D、
221,交易双方身份公开
222,窗体底端
223,正确答案： C 我的答案：C
224,17
225,下列关于股份有限公司股票发行的表述中，符合《公司法》规定的是（）。
226,1.0 分
227,窗体顶端
228,A、
229,公司股票的发行价格不得低于票面金额
230,B、
231,公司历次发行股票的价格必须相同
232,C、
233,公司发行的股票面额必须为每股1元
234,D、
235,公司发行的股票必须为无记名股票
236,窗体底端
237,正确答案： A 我的答案：A
238,18
239,下列不属于RSI最佳购买点形态的是（）。
240,1.0 分
241,窗体顶端
242,A、
243,头肩底
244,B、
245,W形
246,C、
247,三角形
248,D、
249,M形
