,题目
0,1
1,「先生」的正确读音是（）。
2,窗体顶端
3,A、
4,さんせい
5, 
6,B、
7,ぜんせい
8, 
9,C、
10,かんせい
11, 
12,D、
13,せんせい
14, 
15,窗体底端
16,我的答案：A
17,2
18,以下哪一项是“は”的片假名？（）
19,窗体顶端
20,A、
21,タ
22, 
23,B、
24,サ
25, 
26,C、
27,ハ
28, 
29,D、
30,ナ
31, 
32,窗体底端
33,我的答案：C
34,3
35,以下哪一项是“よる”的读音？（）
36,窗体顶端
37,A、
38,yuru
39, 
40,B、
41,yoru
42, 
43,C、
44,yori
45, 
46,D、
47,yuri
48, 
49,窗体底端
50,我的答案：B
51,4
52,以下哪一项是“ざ”的读音？（）
53,窗体顶端
54,A、
55,sa
56, 
57,B、
58,ka
59, 
60,C、
61,za
62, 
63,D、
64,ga
65, 
66,窗体底端
67,我的答案：C
68,5
69,「約束」的正确读音是（）。
70,窗体顶端
71,A、
72,やくそく
73, 
74,B、
75,ようやく
76, 
77,C、
78,さんやく
79, 
80,D、
81,やくてい
82, 
83,窗体底端
84,我的答案：A
85,6
86,「飲み方。」的意思是（）。
87,窗体顶端
88,A、
89,喝的一方
90, 
91,B、
92,双方
93, 
94,C、
95,喝的方法
96, 
97,D、
98,饮食规律
99, 
100,窗体底端
101,我的答案：C
102,7
103,「駅」的正确读音是（）。
104,窗体顶端
105,A、
106,あき
107, 
108,B、
109,いき
110, 
111,C、
112,えき
113, 
114,D、
115,たき
116, 
117,窗体底端
118,我的答案：C
119,8
120,以下哪一项是“じ”的读音？（）
121,窗体顶端
122,A、
123,ji
124, 
125,B、
126,si
127, 
128,C、
129,jia
130, 
131,D、
132,ka
133, 
134,窗体底端
135,我的答案：A
136,9
137,「まま」的意思是（）。
138,窗体顶端
139,A、
140,母亲
141, 
142,B、
143,照旧
144, 
145,C、
146,或许
147, 
148,D、
149,偶尔
150, 
151,窗体底端
152,我的答案：B
153,10
154,以下哪一项是“えらい”的读音？（）
155,窗体顶端
156,A、
157,erayi
158, 
159,B、
160,arau
161, 
162,C、
163,ayiru
164, 
165,D、
166,eriyi
167, 
168,窗体底端
169,我的答案：A
170,11
171,「野菜」的正确意思是（）。
172,窗体顶端
173,A、
174,野菜
175, 
176,B、
177,野草
178, 
179,C、
180,蔬菜
181, 
182,D、
183,花朵
184, 
185,窗体底端
186,我的答案：C
187,12
188,「忙しい」的正确读音是（）。
189,窗体顶端
190,A、
191,たのいし
192, 
193,B、
194,いそがしい
195, 
196,C、
197,むずかいしい
198, 
199,D、
200,よろいし
201, 
202,窗体底端
203,我的答案：B
204,13
205,以下哪一项是“ごご”的读音？（）
206,窗体顶端
207,A、
208,koko
209, 
210,B、
211,gogo
212, 
213,C、
214,kaka
215, 
216,D、
217,kiki
218, 
219,窗体底端
220,我的答案：B
221,14
222,「ピアノ」的意思是（）。
223,窗体顶端
224,A、
225,手风琴
226, 
227,B、
228,电子琴
229, 
230,C、
231,口琴
232, 
233,D、
234,钢琴
235, 
236,窗体底端
237,我的答案：D
238,15
239,「頭」的正确读音是（）。
240,窗体顶端
241,A、
