,题目
0, 
1, 
2,重要：选择题都对，判断题有5个错误的，一分是对的，0分是错的
3, 
4,一、 单选题（题数：50，共 50.0 分） 
5, 
6,1 “昭君和番”是怎样的一种象征（）
7,1.0 分 
8,A、 追求爱情 B、 忠义 C、 民族屈辱 D、 有勇有谋 
9,我的答案：C 
10,2 
11,中国古代成就最高的历史剧是
12,1.0 分 
13,A、 《长恨歌》 
14,B、 《琵琶记》 
15,C、 《红楼梦》 
16,D、 《桃花扇》 
17,我的答案：D 
18,3 
19,下面关于庄姬夫人的表达错误的一项是：（）
20,1.0 分 
21, 
22,A、 是赵朔的夫人 
23,B、 是国王的姐姐 
24,C、 是赵武的母亲 
25,D、 是赵盾的夫人 
26,我的答案：D 
27,4 
28,《史记·赵世家》中，程婴带着赵氏孤儿在深山中多了多少年
29,1.0 分 
30, 
31, 
32,我的答案：B 
33,5 
34,“曲终人不见，江上数峰青”的作者是：（）
35,1.0 分 
36, 
37,A、 钱起 B、 杜甫 
38,C、 杜牧 D、 李商隐 
39,我的答案：A 
40,6 
41,侯方域是下面哪一个时期的复社文人领袖：（）
42,1.0 分 
43, 
44,A、 元末 B、 明末 
45,C、 明初 D、 清末 
46,我的答案：B 
47,7 
48,新乐府运动的哪位发起者创作了《莺莺传》：
49,1.0 分 
50, 
51,A、 张籍 B、 白居易 
52,C、 元稹 D、 李白 
53,我的答案：C 
54,8 
55,元曲《赵氏孤儿》中被程婴告密后自杀的是：（）
56,1.0 分 
57,A、 公孙杵 
58,B、 韩厥 
59,C、 屠岸贾 
60,D、 赵朔 
61,我的答案：A 
62,9 
63,下列不属于徐渭的书画作品是：（）
64,1.0 分 
65, 
66,A、 《咏月词轴》 
67,B、 《草书白燕书卷》 
68,C、 《兰花图》 
69,D、 《竹石画》 
70,我的答案：D 
71,10 
72,在《莺莺记》中作者描写张生第一次见到崔莺莺时，崔莺莺“若不胜其体者”，这与《红楼梦》中的哪个人物具有相似的病态美
73,1.0 分 
74, 
75,A、 薛宝钗 B、 贾宝玉 
76,C、 王熙凤 D、 林黛玉 
77,窗体底端
78,我的答案：D 
79,11 
80,“君看今日树头花，不是去年枝上朵”选自（）的《玉楼春》。
81,1.0 分 
82, 
83,A、 韦庄 B、 王国维 
84,C、 李煜 D、 温庭筠 
85,窗体底端
86,我的答案：B 
87,12 元杂剧《窦娥冤》是哪位元曲作家的作品
88,1.0 分 
89, 
90,A、 郑光祖 
91,B、 白朴 
92,C、 王实甫 
93,D、 关汉卿 
94,我的答案：D 
95,13 京剧《击鼓骂曹》主要展现给观众的是
96,1.0 分 
97,A、 服饰 B、 鼓功 
98,C、 舞蹈 D、 唱功 
99,窗体底端
100,我的答案：B 
101,14 《东京梦华录》的作者是
102,1.0 分 
103,A、 崔令钦 
104,B、 孟元老 
105,C、 周密 
106,D、 白朴 
107,我的答案：B 
