,题目
0,
1,答案全对
2,一、 单选题（题数：50，共 50.0 分）
3,1
4,如下国家中，不是2013年、2014年中国对外商品贸易前三大贸易伙伴的是（）。
5,窗体顶端
6,A、
7,东盟
8,B、
9,美国
10,C、
11,欧盟
12,D、
13,日本
14,窗体底端
15,我的答案：D
16,2
17,以下说法正确的是（）。
18,窗体顶端
19,A、
20,现在中国已经不需要引进外资企业的技术了
21,B、
22,现在中国企业发展迅速，已经完全解决了劳动力就业问题
23,C、
24,中国的产业结构已经以生产高技术产品为主
25,D、
26,中国引进外资的资本形成效应有利于中国产业的升级
27,窗体底端
28,我的答案：D
29,3
30,（）年亚洲金融危机中，索罗斯先后冲击了泰国、马来西亚、菲律宾等多国的货币。
31,窗体顶端
32,A、
33,1997
34,B、
35,1998
36,C、
37,1999
38,D、
39,2000
40,窗体底端
41,我的答案：A
42,4
43,（），我国取消了进出口贸易的指令性计划，实行许可证、配额等行政管理手段。
44,窗体顶端
45,A、
46,1990年
47,B、
48,1993年
49,C、
50,1994年
51,D、
52,2001年
53,窗体底端
54,我的答案：C
55,5
56,1986年国务院发布（），明确给予产品主要用于出口、投资者提供先进技术的企业特别优惠。
57,窗体顶端
58,A、
59,《关于鼓励外商直接投资的规定》
60,B、
61,《中华人民共和国企业所得税法》
62,C、
63,《外商投资产业指导目录》
64,D、
65,《中华人民共和国中外合资经营企业法》
66,窗体底端
67,我的答案：A
68,6
69,中国古代人的等级划分从高到低依次是（）。
70,窗体顶端
71,A、
72,士工农商
73,B、
74,士农工商
75,C、
76,士商工农
77,D、
78,农士工商
79,窗体底端
80,我的答案：B
81,7
82,以下不属于耐用消费品的是（）。
83,窗体顶端
84,A、
85,手机
86,B、
87,电视机
88,C、
89,床
90,D、
91,衣服
92,窗体底端
93,我的答案：D
94,8
95,以下不属于非洲三大区域经济组织的是（）。
96,窗体顶端
97,A、
98,非洲联盟
99,B、
100,东南非共同市场
101,C、
102,东非共同体
103,D、
104,南部非洲发展共同体
105,窗体底端
106,我的答案：A
107,9
108,2003年中国对外直接投资流量的行业分布中，占比例最大的是（）。
109,窗体顶端
110,A、
111,制造业
112,B、
113,批发和零售业
114,C、
115,采矿业
116,D、
117,租赁和商务服务业
118,窗体底端
119,我的答案：C
120,10
121,外汇市场的参加者不包括（）。
122,窗体顶端
123,A、
124,商业银行
125,B、
126,非银行金融机构
127,C、
128,中央银行
129,D、
130,国际货币基金组织
131,窗体底端
132,我的答案：D
133,11
134,2005年时一个美元能兑换（）个人民币。
135,窗体顶端
136,A、
137,6.2个
138,B、
139,6.7个
140,C、
141,8.2个
142,D、
143,8.6个
144,窗体底端
145,我的答案：C
146,12
147,中国加入WTO以后，对外贸易依存度最高达到（）以上。
148,窗体顶端
149,A、
150,.6
151,B、
152,.7
153,C、
154,.8
155,D、
156,.9
157,窗体底端
158,我的答案：B
159,13
160,有的人在外资企业中工作，学到外资企业中的相关技术之后，自己成立企业并取得成功，这是（）。
161,窗体顶端
162,A、
163,技术外溢
164,B、
165,产业结构优化
166,C、
167,就业效应
168,D、
169,资本形成效应
170,窗体底端
171,我的答案：A
172,14
173,下面不属于对外直接投资外部风险的是（）。
174,窗体顶端
175,A、
176,企业决策风险
177,B、
178,外汇风险
179,C、
180,政治风险
181,D、
182,法律风险
183,窗体底端
184,我的答案：A
185,15
186,以下说法不正确的是（）。
187,窗体顶端
188,A、
189,农产品、原材料出口太多是出口结构低端的表现
190,B、
191,工业制成品都是高端的，所以工业制成品的出口是一国经济高端的表现
192,C、
193,中国加入WTO后，工业制成品的出口不断增加
194,D、
195,中国经济快速发展，已经成为世界重要的高新技术产品出口国之一
196,窗体底端
197,我的答案：B
198,16
199,以下政策中，不是欧盟（欧元区）共同政策的是（）。
200,窗体顶端
201,A、
202,财政政策
203,B、
204,货币政策
205,C、
206,外交政策
207,D、
208,外汇政策
209,窗体底端
210,我的答案：A
211,17
212,以下不是非关税壁垒措施的是（）。
213,窗体顶端
214,A、
215,滥用反倾销措施
216,B、
217,滥用关税措施
218,C、
219,滥用的技术标准
220,D、
221,滥用的动植物检验检疫
222,窗体底端
223,我的答案：B
224,18
225,GATT第一轮多边贸易谈判使占当时资本主义国家进口总值（）的商品平均降低关税35%。
226,窗体顶端
227,A、
228,24%
229,B、
230,34%
231,C、
232,44%
233,D、
234,54%
235,窗体底端
236,我的答案：D
237,19
238,中国在加入WTO时承诺，在加入WTO的（）年内取消外贸经营权的审批制，实施登记制。
239,窗体顶端
240,A、
241,2.0
242,B、
243,3.0
244,C、
245,4.0
246,D、
247,5.0
248,窗体底端
249,我的答案：B
250,20
251,以下不属于区域经济一体化的是（）。
252,窗体顶端
253,A、
254,自由贸易区
255,B、
256,共同市场
257,C、
258,保税区
259,D、
260,关税同盟
261,窗体底端
262,我的答案：C
263,21
264,刚刚改革开放时候，货物贸易的盈余和逆差是（）。
265,窗体顶端
266,A、
267,一直盈余
268,B、
269,一直逆差
270,C、
271,交替出现
272,D、
273,都正确
274,窗体底端
275,我的答案：C
276,22
277,关于完全的区域经济一体化的说法不正确的是（）。
278,窗体顶端
279,A、
280,组织有共同的经济政策
281,B、
282,组织有共同的政治制度
283,C、
284,组织有共同的宗教
285,D、
286,组织有共同的社会政策
287,窗体底端
288,我的答案：C
289,23
290,以下不属于《乌拉圭回合最后文件》的是（）。
291,窗体顶端
292,A、
293,信息技术产品协议
294,B、
295,建立WTO的协议
296,C、
297,服务贸易总协定
298,D、
299,贸易政策审议机制
300,窗体底端
301,我的答案：A
302,24
303,一般认为，一个国家的贸易差额占本国GDP的比值在（）以内，这个国家的贸易就是基本平衡的。
304,窗体顶端
305,A、
306,3%
307,B、
308,4%
309,C、
310,5%
311,D、
312,6%
313,窗体底端
314,我的答案：A
315,25
316,1997-2012年，（）在绝大部分年份里是中国的第一大服务贸易进口项目。
317,窗体顶端
318,A、
319,旅游服务
320,B、
321,运输服务
322,C、
323,专有权利使用费
324,D、
325,特许费
326,窗体底端
327,我的答案：B
328,26
329,截至2015年，参加RCEP谈判的经济体一共有（）个。
330,窗体顶端
331,A、
332,13.0
333,B、
334,14.0
335,C、
336,15.0
337,D、
338,16.0
339,窗体底端
340,我的答案：D
341,27
342,21世纪之前，以下哪个国家或者地区不是中国的主要出口市场？（）
343,窗体顶端
344,A、
345,美国
346,B、
347,日本
348,C、
349,欧盟
350,D、
351,韩国
352,窗体底端
353,我的答案：D
354,28
355,在以下国家和地区中，中国大陆在2013-2014年对其贸易不是逆差的是（）。
356,窗体顶端
357,A、
358,中国台湾省
359,B、
360,日本
361,C、
362,韩国
363,D、
364,中国台湾省和日本
365,窗体底端
366,我的答案：B
367,29
368,中国政府加强对稀土出口的管制，除了中国稀土出口企业的无序竞争这个原因之外，还有一个重要原因是（）。
369,窗体顶端
370,A、
371,企业的逃税行为
372,B、
373,对环境的严重破坏
374,C、
375,国家必须掌握稀土的开发权
376,D、
377,利用稀土出口限制欧美等国高技术产业
378,窗体底端
379,我的答案：B
380,30
381,商务部主要的外贸管理部门分为多少个？（）
382,窗体顶端
383,A、
384,14个
385,B、
386,15个
387,C、
388,16个
389,D、
390,17个
391,窗体底端
392,我的答案：C
393,31
394,以下对对外贸易的作用说法不正确的是（）。
395,窗体顶端
396,A、
397,促进我国国民经济能够综合、平衡、协调的发展
398,B、
399,提高中国的科学技术水平
400,C、
401,促进经济增长
402,D、
403,使年轻人失业率变高
404,窗体底端
405,我的答案：D
406,32
407,WTO（世界贸易组织）的成立是在哪一年？（）
408,窗体顶端
409,A、
410,1994.0
411,B、
412,1995.0
413,C、
414,1996.0
415,D、
416,1997.0
417,窗体底端
418,我的答案：B
419,33
420,目前，国际储备体系中最重要的储备资产是（）。
421,窗体顶端
422,A、
423,黄金
424,B、
425,外汇储备
426,C、
427,普通提款权
428,D、
429,特别提款权
430,窗体底端
431,我的答案：B
432,34
433,韩国跟很多国家或者地区都签了自由贸易区协议，除了（）。
434,窗体顶端
435,A、
436,美国
437,B、
438,日本
439,C、
440,中国
441,D、
442,欧盟
443,窗体底端
444,我的答案：B
445,35
446,我国从哪年开始试行配额招标制度，从根本上改变了传统的配额管理体制？（）
447,窗体顶端
448,A、
449,1992年
450,B、
451,1993年
452,C、
453,1994年
454,D、
455,1996年
456,窗体底端
457,我的答案：C
458,36
459,以下省市中，2013年对外商品贸易额最少的是（）。
460,窗体顶端
461,A、
462,天津
463,B、
464,上海
465,C、
466,山西
467,D、
468,宁夏
469,窗体底端
470,我的答案：D
471,37
472,中国利用外资的提高阶段是( )。
473,窗体顶端
474,A、
475,1979年至1985年
476,B、
477,1986年至1991年
478,C、
479,1992年至2001年
480,D、
481,2002年开始
482,窗体底端
483,我的答案：C
484,38
485,以下哪个不是减少货币供应的方法？（）
486,窗体顶端
487,A、
488,提高存款准备金率
489,B、
490,发行央行票据
491,C、
492,在公开市场上卖出国债
493,D、
494,降低贴现率
495,窗体底端
496,我的答案：D
497,39
498,GATS所确定的国际服务贸易提供方式共有几种？（）
499,窗体顶端
500,A、
501,2种
502,B、
503,3种
504,C、
505,4种
506,D、
507,5种
508,窗体底端
509,我的答案：C
510,40
511,（）是WTO协议中唯一规定了自行废止内容的协议。
512,窗体顶端
513,A、
514,《反倾销协议》
515,B、
516,《纺织品与服装协议》
517,C、
518,《动植物卫生检疫措施协议》
519,D、
520,《反补贴协议》
521,窗体底端
522,我的答案：B
523,41
524,以下对于中国香港的描述，说法不正确的是（）。
525,窗体顶端
526,A、
527,香港的贸易最主要的是转口贸易
528,B、
529,香港经济主要靠发展服务业
530,C、
531,香港地区企业所得税是零，所以香港也是一个国际避税地
532,D、
533,香港几乎没有大的制造业
534,窗体底端
535,我的答案：C
536,42
537,下列不符合GATS定义的服务贸易形式的是（）。
538,窗体顶端
539,A、
540,跨境交付
541,B、
542,商业存在
543,C、
544,移民某国后在该国的消费
545,D、
546,境外消费
547,窗体底端
548,我的答案：C
549,43
550,以下不是中国扩大进口带来的有益影响的是（）。
551,窗体顶端
552,A、
553,转变经济发展方式
554,B、
555,调整经济结构
556,C、
557,实现对外贸易的可持续发展
558,D、
559,减少中国国内就业机会
560,窗体底端
561,我的答案：D
562,44
563,1991到2014年，中国政府对稀土资源的管制措施主要涉及三个方面，其中，不包括（）。
564,窗体顶端
565,A、
566,工人福利管制
567,B、
568,经营权管制
569,C、
570,行业准入标准管制
571,D、
572,贸易管制
573,窗体底端
574,我的答案：A
575,45
576,2013年，中国对日本出口的商品中，占比例最大的是（）。
577,窗体顶端
578,A、
579,纺织品及原料
580,B、
581,家具玩具
582,C、
583,机电产品
584,D、
585,木材及其制品
586,窗体底端
587,我的答案：C
588,46
589,以下不属于内需的是（）。
590,窗体顶端
591,A、
592,消费
593,B、
594,投资
595,C、
596,出口
597,D、
598,政府支出
599,窗体底端
600,我的答案：C
601,47
602,中国服务贸易的主要顺差项目不包括（）。
603,窗体顶端
604,A、
605,建筑服务
606,B、
607,运输服务
608,C、
609,其他商业服务
610,D、
611,计算机和信息服务
612,窗体底端
613,我的答案：B
614,48
615,2014年实行出口许可证管理的货物共有多少种？（）
616,窗体顶端
617,A、
618,6种
619,B、
620,20种
621,C、
622,22种
623,D、
624,48种
625,窗体底端
626,我的答案：D
627,49
628,GATT第二轮谈判达成了关税减让协议多少项？（）
629,窗体顶端
630,A、
631,147项
632,B、
633,148项
634,C、
635,149项
636,D、
637,150项
638,窗体底端
639,我的答案：A
640,50
641,中国加入WTO以后，对外贸易依存度最高达到（）以上。
642,窗体顶端
643,A、
644,60%
645,B、
646,70%
647,C、
648,80%
649,D、
650,90%
651,窗体底端
652,我的答案：B
653,二、 判断题（题数：50，共 50.0 分）
654,1
655,欧盟中所有成员国对农业的补贴都是一样的，因为他们有共同的经济政策。（）
656,窗体顶端
657,我的答案： ×
658,窗体底端
659,2
660,中国是全球外国直接投资中最具吸引力的经济体之一。（）
661,窗体顶端
662,我的答案： √
663,窗体底端
664,3
665,2009年对外贸易对经济增长的贡献率是一个负值，说明当年对外贸易对经济没有贡献。（）
666,窗体顶端
667,我的答案： ×
668,窗体底端
669,4
670,总理事会由世界贸易组织部分成员代表组成。（）
671,窗体顶端
672,我的答案： ×
673,窗体底端
674,5
675,从境外进入保税区的商品或者转口货物都不需要交关税。（）
676,窗体顶端
677,我的答案： √
678,窗体底端
679,6
680,中国大陆出口到中国香港的商品，绝大多数是香港居民消费的。（）
681,窗体顶端
682,我的答案： ×
683,窗体底端
684,7
685,总理事会是世界贸易组织的最高决策机构。（）
686,窗体顶端
687,我的答案： ×
688,窗体底端
689,8
690,文化差异、道德评价差异等这些因素也会造成企业进行对外投资的风险。（）
691,窗体顶端
692,我的答案： √
693,窗体底端
694,9
695,中国出口结构的变化显示了中国对外贸易竞争力的提升。（）
696,窗体顶端
697,我的答案： √
698,窗体底端
699,10
700,间接投资和直接投资的一个重要的区别是，间接投资是不获得经营权的，而直接投资是要获得经营权的。（）
701,窗体顶端
702,我的答案： √
703,窗体底端
704,11
705,国际投资是对外开放的很重要的支撑点。（）
706,窗体顶端
707,我的答案： √
708,窗体底端
709,12
710,计划经济时代对外贸易的作用不太重要。（）
711,窗体顶端
712,我的答案： √
713,窗体底端
714,13
715,在1997年、1998年，亚洲金融危机的时候，泰铢贬值了20%。（）
716,窗体顶端
717,我的答案： ×
718,窗体底端
719,14
720,在储备资产里，黄金和特别提款权都是比较少的，主要是以美元标价的美国国债。（）
721,窗体顶端
722,我的答案： √
723,窗体底端
724,15
725,进口多于出口带来的问题是外汇储备要流失。（）
726,窗体顶端
727,我的答案： √
728,窗体底端
729,16
730,关税是国家建设资金来源之一。（）
731,窗体顶端
732,我的答案： √
733,窗体底端
734,17
735,出口比重占GDP的比重在上升是符合世界经济发展的基本趋势的。（）
736,窗体顶端
737,我的答案： √
738,窗体底端
739,18
740,中国应该采取措施扩大进口、缓解贸易摩擦。（）
741,窗体顶端
742,我的答案： √
743,窗体底端
744,19
745,我国商品贸易的巨大顺差有很大一部分来自于加工贸易。（）
746,窗体顶端
747,我的答案： √
748,窗体底端
749,20
750,所有的自由贸易区协议都有原产地规则。（）
751,窗体顶端
752,我的答案： √
753,窗体底端
754,21
755,中国目前的经济一体化战略也叫自由贸易区战略，因为中国还未与其他国家或者地区签过比自由贸易区级别更高的一体化组织协议。（）
756,窗体顶端
757,我的答案： √
758,窗体底端
759,22
760,关税同盟也必须有原产地规则。（）
761,窗体顶端
762,我的答案： ×
763,窗体底端
764,23
765,自由贸易区不允许成员经济体自主地制定和实施对非成员经济体的贸易政策。（）
766,窗体顶端
767,我的答案： ×
768,窗体底端
769,24
770,欧盟是迄今为止一体化程度最高、最成功的区域经济一体化组织。（）
771,窗体顶端
772,我的答案： √
773,窗体底端
774,25
775,完全经济一体化组织要求参与的国家放弃相当多的主权，所以成立的难度非常大。（）
776,窗体顶端
777,我的答案： √
778,窗体底端
779,26
780,中国银行业服务贸易的进口形式以外资银行的商业存在为主。（）
781,窗体顶端
782,我的答案： √
783,窗体底端
784,27
785,中国2012年比2011年吸引外商直接投资下降了，表明中国对外资企业的吸引力小了。（）
786,窗体顶端
787,我的答案： ×
788,窗体底端
789,28
790,跳过贸易壁垒的对外直接投资在中国对外投资的企业中还没有出现。（）
791,窗体顶端
792,我的答案： ×
793,窗体底端
794,29
795,改革开放前，由于产业竞争力较弱，加上长期受到计划经济的影响，我国进口关税平均水平明显低于世界平均水平。（）
796,窗体顶端
797,我的答案： ×
798,窗体底端
799,30
800,根据《建立WTO的协议》，世界贸易组织是当今最大的政府间国际贸易组织。（）
801,窗体顶端
802,我的答案： √
803,窗体底端
804,31
805,《信息技术产品协议》是WTO成立后第一个新签的协议。（）
806,窗体顶端
807,我的答案： √
808,窗体底端
809,32
810,对外贸易是连接生产和消费的桥梁和纽带。（）
811,窗体顶端
812,我的答案： √
813,窗体底端
814,33
815,发达国家一般对农业的补贴是很少的。（）
816,窗体顶端
817,我的答案： ×
818,窗体底端
819,34
820,中国进口商品结构中，工业制成品明显要多于初级产品。（）
821,窗体顶端
822,我的答案： √
823,窗体底端
824,35
825,克鲁格曼支持强迫人民币升值的法案，但这个法案并没有被美国国会通过。（）
826,窗体顶端
827,我的答案： √
828,窗体底端
829,36
830,美国是整个世界金融的中心，美国拥有世界货币——美元。（）
831,窗体顶端
832,我的答案： √
833,窗体底端
834,37
835,为维护正常的经营秩序，对全部出口货物实行指定发证机构发证或指定口岸报关出口。（）
836,窗体顶端
837,我的答案： ×
838,窗体底端
839,38
840,外资银行进入中国的初期阶段，国家允许其进入国内任何城市。（）
841,窗体顶端
842,我的答案： ×
843,窗体底端
844,39
845,货物贸易和商品贸易的意思是一样的。（）
846,窗体顶端
847,我的答案： √
848,窗体底端
849,40
850,改变中国贸易顺差过大的情况，有两种方法，即减少出口和增加进口。（）
851,窗体顶端
852,我的答案： √
853,窗体底端
854,41
855,目前为止，中国的保险业已全面对世界开放。（）
856,窗体顶端
857,我的答案： √
858,窗体底端
859,42
860,部长级会议是世界贸易组织的最高决策机构。（）
861,窗体顶端
862,我的答案： √
863,窗体底端
864,43
865,高额的外汇储备不存在引发中国通货膨胀的风险。（）
866,窗体顶端
