,题目
0, 
1,超星网课-创业是一种生活方式的选择期末考试试题及答案
2,题量：50   满分：100.0   截止日期：2016-08-31 23:59
3,一、单选题  
4,1 以下哪一点不是郭广昌创业成功的要素（  ）  
5,A、 事业的选择 B、 团队的选择 C、 创业环境的选择 D、 专业方向的选择 
6,我的答案：C 
7,2 以下哪一点是儒竞公司的核心价值(   )  
8,A、 技术 B、 渠道 C、 资金 D、 公关能力 
9,我的答案：A 
10,3 选择创业与选择其他职业最大的区别在于（  ）  
11,A、 创业意味需要自己安排自己 B、 创业能为自己创造更高的收益 C、 选择创业不如选择其他职业稳定 D、 政府鼓励创业 
12,我的答案：A 
13,4 科技型企业的成功离不开以下哪一个要素（  ）  
14,A、 决策能力 B、 不断创新的理念 C、 对于市场的判断 D、 政府的扶持 
15,我的答案：B 
16,5 以下哪个要素不是“一个精彩的过程”的必备要素(  ) 
17,A、 创造 B、 改变 C、 征服 D、 艰难 我的答案：D 
18,6 精彩的过程是为了什么？（  ） 
19,A、 美好的社会关系 B、 追求快乐 C、 自我价值的实现 D、 实现他人对于自己的期望 
20,我的答案：A 
21,7 以下哪一点不是互联网企业的收入形式（  ）  
22,A、 流量费用 B、 点击量 C、 新产品的开发 D、 数据信息 
23,我的答案：C 
24,8 在80年代初，社会崇尚的主流是（  ） 
25,A、 国有企业 B、 私营企业 C、 外资企业 D、 个体户 
26,我的答案：A 
27,9 张元刚选择创业的理由是（  ）  
28,A、 实现自己的梦想 B、 实现更高的经济收益 C、 受大学创业氛围感染 D、 创业成功率与日俱增 
29,我的答案：A 
30,10 在匹配成本与支出的关系时，以下哪一点不是创业者需要考虑的（  ）  
31,A、 股东的利益 B、 企业的收入来源 C、 维护客户关系的成本 D、 核心价值的投入 
32,我的答案：B 
33,11 如今创新创业的条件不包括以下哪一点（  ）  
34,A、 政府的政策引导 B、 科技创业带来的巨大机会 C、 全国经济一体化的时代优势 D、 失业率与日俱增 
35,我的答案：D 
36,12 创业的成功秘笈在于（  ）  
37,A、 扎实的知识 B、 对于市场及行业的分析 C、 勇于改变自己 D、 政府鼓励创业 
38,我的答案：C 
39,13 史玉柱十年之后再次东山再起依靠的是什么（ ）  
40,A、 贵人的相助 B、 坚忍不拔的精神 C、 创新的理念 D、 新兴行业的优势 
41,我的答案：B 
42,14 在把握了企业的核心价值之后，创业者接下来应该做什么（  ）  
43,A、 寻找合作伙伴 B、 寻找新的客户 C、 开发新的产品 D、 引进战略投资 
44,我的答案：A 
45,15 以下哪一点是如今“大众创业，万众创新”所营造的创业环境的核心（  ） 
46,A、 创业带动区域经济增长 B、 降低创业失败的成本 C、 创业带动就业 D、 创业成功率与日俱增 
47,我的答案：B 
48,16 以下哪一点对创业者而言最为重要（  ）  
49,A、 主宰自己的勇气 B、 扎实的知识 C、 对于商业环境的认识 D、 对于市场及行业的分析 
50,我的答案：A 
51,17 为什么说创业前的心理准备非常重要（  ）  
52,A、 创业失败的概率大 B、 创业者越来越多 C、 创业对决策能力的要求极高 D、 创业者容易自满 
53,我的答案：A 
54,18 在拥有了客户之后，下一步创业者应该做什么（  ）  
55,A、 明确和客户之间的关系 B、 开发新的产品 C、 寻找新的客户群体 D、 引进战略投资 我的答案：A 
56,19 以下哪一个要素不是华平股份合作伙伴与日俱增的原因（  ）  
57,A、 雄厚的资金保障 B、 公司的发展平台 C、 公司的主营业务 D、 公司的公众形象 
58,我的答案：C 
59,20 在入驻创业苗圃期间，创业技能的训练不包括以下哪一点（  ）  
60,A、 基本的财务知识 B、 对于商业环境的认识 C、 对于市场及行业的分析 D、 决策能力 我的答案：D 
61,21 以下哪一条不是一个成功创业者所必须的（  ）  
62,A、 良好的情商 B、 不断创新的理念 C、 对于市场的判断 D、 政府的扶持 
63,我的答案：D 
64,22 以下哪一点不是企业的间接成本（  ）  
65,A、 折旧 B、 税收 C、 房租 D、 时间精力 
66,我的答案：C 
67,23 以下哪一个要素不是一家企业的生存要素（  ）  
68,A、 创业者的决策能力 B、 不断创新的理念 C、 渠道的更新 D、 明确的收入 
69,我的答案：C 
70,24 为什么说良好的社会责任感能为创业者创造更多的机遇（  ）  
71,A、 可以令自己具备把握机会的能力 B、 政府会为企业买单 C、 有助于提升企业的创新能力 D、 有助于提高创业者的决策能力 
72,我的答案：A 
73,25 为什么说这是一个创业的好时代（  ）  
74,A、 创业就不会失业 B、 创业能为自己创造更高的收益 C、 政府鼓励创业 D、 创业成功率与日俱增 
75,我的答案：C 
76,26 企业在不同阶段都应当明确以下哪一点（  ）  
77,A、 企业的价值核心 B、 企业的团队稳定 C、 企业的收入来源 D、 对于政府引导政策的研究 
78,我的答案：A 
79,27 以下哪一点不是上海创业环境的特点（  ）  
80,A、 国际化 B、 规范化 C、 扎实 D、 市场化 
81,我的答案：D 
82,28 以下哪一点不是一家企业的成功要素（  ）  
83,A、 企业创新能力 B、 企业明确的客户群体 C、 政府的扶持 D、 创业者的决策能力 
84,我的答案：C 
85,29 雷淮刚的哪一点特质打动了艾默生公司，并促成了双方的签约，成立了新的合资公司（  ）  A、 坚持 B、 创新 C、 自信 D、 踏实 
86,我的答案：A 
87,30 什么样的工作才是适合自己的（  ）  
88,A、 自己想要的 B、 收入高的 C、 家人喜欢的 D、 稳定的 
89,我的答案：A 
90,31 从哪个阶段开始，我国的创业者从一个个体逐渐转变成了一个群体（  ） 
91,A、 20世纪80年代初 B、 20世纪80年代末 C、 20世纪90年代初 D、 20世纪90年代末 
92,我的答案：B 
93,32 张元刚做不赚钱的浦东联洋社区项目的原因是（  ）  
94,A、 追求快乐 B、 实现自我价值 C、 积累经验 D、 得到社会的认可 
95,我的答案：C 
96,33 创业成功的收获不包括以下哪一点（  ）  
97,A、 事业的成功 B、 家庭生活的美满 C、 生活圈的改变 D、 稳定的收入 
98,我的答案：B 
99,34 以下哪一条不是一个成功创业者所必须的（  ）  
100,A、 良好的情商 B、 不断创新的理念 C、 对于市场的判断 D、 政府的扶持 
101,我的答案：D 
102,35 以下哪一点不是因价值不明确而给企业带来的弊端（  ）  
103,A、 客户不明确 B、 渠道模糊 C、 收入产生偏差 D、 团队不稳定 
104,我的答案：D  
105,二、判断题  
106,1 一个良好的硬件环境并不是创业环境所必需的（  ）  
107,我的答案： × 
108,2 创业意味着选择主动的生活（  ）  
109,我的答案： √ 
110,3 郭广昌能够有今天的成功，最重要的原因他能够主宰自己（  ）  
111,我的答案： √ 
112,4 中外创业文化的差异在于选择创业的时间（ √ ）  
113,我的答案： √ 
114,5 创业者在创业前应当首先思考企业的价值核心究竟是什么（  ）  
115,我的答案： √ 
116,6 创业需要用自己的激情去把握机会（  ）  
117,我的答案： √ 
118,7 在明确了细分客户后，创业者必须继续建立与客户之间的关系（  ）  
119,我的答案： √ 
120,8 民营企业家在一定程度上推动了社会的进步（  ）  
121,我的答案： √ 
122,9 拥有精彩的过程是我们可以帮助那些社会弱势群体的基础（  ）  
123,我的答案： √ 
124,10 情商的高低并非创业成功的决定性因素（  ）  
125,我的答案： × 
126,11 企业的合作伙伴必须坚守商业规则（  ）  
127,我的答案： √ 
128,12 选择创业意味着需要不断在崎岖的山路上向前走（  ）  
129,我的答案： √ 
130,13 创业会改变一个人的生活（  ）  
131,我的答案： √ 
132,14 互联网巨头如今的成功源自于创新（ ）  
133,我的答案： √ 
134,15 滴滴打车成功地抓住了上端及下端两端的客户（  ）  
135,我的答案： √
136,           微信公众号：琢磨俗僧
137,      Copyright  © 2016~2020 超星尔雅题库 版权所有　
138,本站所有资源均来自互联网，本站只负责收集和整理，均不承担任何法律责任，如有侵权等其它行为
139,请发邮件至：cxeytk@foxmail.com
140,
