,题目
0,一、 单选题（题数：50，共 50.0 分）
1,1
2,企业创办初期应该以（）为主要融资方式。
3,1.0 分
4,窗体顶端
5,A、
6,股权融资
7,B、
8,银行贷款
9,C、
10,债务融资
11,D、
12,风险投资
13,窗体底端
14,正确答案： A 我的答案：A
15,2
16,资金流出的渠道有销售费用、管理费用、生产采购费用、财务费用、投资和（）。
17,1.0 分
18,窗体顶端
19,A、
20,损耗
21,B、
22,税收
23,C、
24,亏损
25,D、
26,固定资产
27,窗体底端
28,正确答案： D 我的答案：D
29,3
30,一名员工最好的生存法则就是在公司中找到（）并将它做大。
31,1.0 分
32,窗体顶端
33,A、
34,自己专长领域
35,B、
36,公司资源优势领域
37,C、
38,空白缝隙
39,D、
40,兴趣领域
41,窗体底端
42,正确答案： C 我的答案：C
43,4
44,人们认可的两种创业成功均是从（）开始创建自己的企业，或者走向企业的高层。
45,1.0 分
46,窗体顶端
47,A、
48,基础
49,B、
50,小事
51,C、
52,打工
53,D、
54,最低级
55,窗体底端
56,正确答案： C 我的答案：C
57,5
58,（）是创业精神的精髓。
59,1.0 分
60,窗体顶端
61,A、
62,冒险
63,B、
64,创新
65,C、
66,合作
67,D、
68,科技
69,窗体底端
70,正确答案： C 我的答案：C
71,6
72,企业的管理机制要体现出（）。
73,1.0 分
74,窗体顶端
75,A、
76,协作
77,B、
78,权责分明
79,C、
80,政企分开
81,D、
82,权责利统一
83,窗体底端
84,正确答案： D 我的答案：D
85,7
86,一项新发明诞生的时候应该先（）。
87,1.0 分
88,窗体顶端
89,A、
90,发表文章
91,B、
92,向市场推广
93,C、
94,可行性验证
95,D、
96,申请专利
97,窗体底端
98,正确答案： D 我的答案：D
99,8
100,创新人才的品质包括创新品质、创新意志、创新发现、（）和创新实践。
101,1.0 分
102,窗体顶端
103,A、
104,创新机遇
105,B、
106,创新团队
107,C、
108,创新知识
109,D、
110,创新意识
111,窗体底端
112,正确答案： C 我的答案：C
113,9
114,阳光学生游项目的目标市场是：（）
115,1.0 分
116,窗体顶端
117,A、
118,全国高校在校生
119,B、
120,"全国高校毕业1,2年的毕业生"
121,C、
122,东北地区高校在校生
123,D、
