,题目
0,1
1,下列不属于管理有效性思想的是（）。
2,1.0 分
3,窗体顶端
4,A、
5,以人为本思想
6,B、
7,对环境因素的观察
8,C、
9,不惜成本管理思想
10,D、
11,科学管理思想
12,窗体底端
13,我的答案：C
14,2
15,管理系统应该用（）取代要素论。
16,1.0 分
17,窗体顶端
18,A、
19,应用论
20,B、
21,主体论
22,C、
23,关联论
24,D、
25,本体论
26,窗体底端
27,我的答案：C
28,3
29,决策的基础是（）。
30,1.0 分
31,窗体顶端
32,A、
33,利润
34,B、
35,团结
36,C、
37,信息
38,D、
39,领导
40,窗体底端
41,我的答案：C
42,4
43,“创新是对资源给予一种新的创造财富的能力的行动”是出自哪一位大家的著作？（）
44,1.0 分
45,窗体顶端
46,A、
47,熊彼特
48,B、
49,缪尔塞
50,C、
51,彼得·德鲁克
52,D、
53,拉姆·查兰
54,窗体底端
55,我的答案：D
56,5
57,企业管理者的作用不包括（）。
58,1.0 分
59,窗体顶端
60,A、
61,定位
62,B、
63,规范
64,C、
65,激励
66,D、
67,引导
68,窗体底端
69,我的答案：D
70,6
71,管理者从事管理工作的基础是（）。
72,1.0 分
73,窗体顶端
74,A、
75,决策
76,B、
77,判断
78,C、
79,理解
80,D、
81,沟通
82,窗体底端
83,我的答案：A
84,7
85,管理创新与其他管理职能的区别在于管理创新更重视（）。
86,1.0 分
87,窗体顶端
88,A、
89,资源的运用效用
90,B、
91,指导
92,C、
93,控制
94,D、
95,计划
96,窗体底端
97,我的答案：A
98,8
99,下列哪一项不是影响个体创新能力的原因？（）
100,1.0 分
101,窗体顶端
102,A、
103,不想
104,B、
105,不敢
106,C、
107,不愿
108,D、
109,不会
110,窗体底端
111,我的答案：D
112,9
113,下列不属于管理者能力的是（）。
114,1.0 分
115,窗体顶端
116,A、
117,人际技能
118,B、
119,访谈技能
120,C、
121,关系技能
122,D、
123,概念技能
124,窗体底端
125,我的答案：B
126,10
127,在培训流程中，最容易出现问题的环节是（）。
128,1.0 分
129,窗体顶端
130,A、
131,对培训评估
132,B、
133,实施培训
134,C、
135,分析培训需求
136,D、
137,制订培训课题与培训方案
138,窗体底端
139,我的答案：C
140,11
141,管理者根据职责分工决定（）。
142,1.0 分
143,窗体顶端
144,A、
145,做不做
146,B、
147,怎么做
148,C、
149,由谁做
150,D、
151,什么时候做
152,窗体底端
153,我的答案：C
154,12
155,管理学所要培养的四个能力不包括（）。
156,1.0 分
157,窗体顶端
