,题目
0,1
1,礼仪讲究的是（）。
2,1.0 分
3,A、
4,礼貌
5,B、
6,从众
7,C、
8,个性
9,D、
10,整洁
11,我的答案：B
12,2
13,关于恋爱方式中拒绝法不妥当的是（）。
14,1.0 分
15,A、
16,必须及时
17,B、
18,必须友善
19,C、
20,必须直截了当
21,D、
22,必须巧妙
23,我的答案：C
24,3
25,下列哪项不属于主动式调整方式？（）
26,0.0 分
27,A、
28,演说时间的把握
29,B、
30,方向偏离
31,C、
32,语言有出入
33,D、
34,在讲说中讲有趣的实例
35,我的答案：B
36,4
37,不属于双向说话的表达方式的是（）。
38,1.0 分
39,A、
40,聊天
41,B、
42,谈心
43,C、
44,朗诵
45,D、
46,讨论
47,我的答案：C
48,5
49,演讲的评价标准错误的是（）。
50,0.0 分
51,A、
52,主题高
53,B、
54,不参杂个人情感
55,C、
56,过程和技巧要全和美
57,D、
58,没有大的失误
59,我的答案：A
60,6
61,说有目的的话要（）。
62,1.0 分
63,A、
64,有思想
65,B、
66,有道德
67,C、
68,有准备
69,D、
70,有文化
71,我的答案：C
72,7
73,下列哪项原因不属于被动式调整？（）
74,1.0 分
75,A、
76,说错词
77,B、
78,突然停电
79,C、
80,有人恶意挑衅
81,D、
82,讲说的东西与事实有出入
83,我的答案：D
84,8
85,对于辩论赛评判标准说法错误的是（）。
86,1.0 分
87,A、
88,看对方反驳是否犀利
89,B、
90,看辩手的配合
91,C、
92,不在乎辩风
93,D、
94,失误是否突出
95,我的答案：C
96,9
97,做人的第一个层次是（）。
98,1.0 分
99,A、
100,己所不欲，勿施于人
101,B、
102,人是有羞耻心的
103,C、
104,做一个好人、大人、能人、伟人
105,D、
106,礼仪无处不在，无时不有
107,我的答案：B
108,10
109,在宿舍没有礼仪风度的一项是（）。
110,1.0 分
111,A、
112,遵守作息时间
113,B、
114,和睦相处
115,C、
116,爱护宿舍公共财物
117,D、
118,只注意自己卫生，不顾宿舍卫生
119,我的答案：D
120,11
121,合适得体的“体”指的是（）。
122,1.0 分
123,A、
124,规则
125,B、
126,身份
127,C、
128,规则和身份
129,D、
130,身体
131,我的答案：C
132,12
133,下列哪项不是现在口才艺术存在的误区？（）
134,1.0 分
135,A、
136,会朗诵就是有口才
137,B、
138,演讲能脱稿就有口才
139,C、
140,讲的东西别人不懂是有口才
141,D、
142,把复杂问题简单化
143,我的答案：D
144,13
145,下列有关男女同学相处说法错误的是（）。
146,1.0 分
147,A、
148,要尊重、大方、健康、向上、负责
149,B、
150,谈话举止有分寸
151,C、
152,男生照顾女生天经地义
153,D、
154,男生主动谦让，女生举止得体
155,我的答案：C
156,14
157,在上课时，不尊重老师的表现是（）。
158,1.0 分
159,A、
160,着装整齐
161,B、
162,关闭手机
163,C、
164,有问题举手
165,D、
166,对该下课却不下课的老师表示烦躁
167,我的答案：D
168,15
169,不属于辩论的一般逻辑法则的是（）。
170,1.0 分
171,A、
172,巩固己方的阵地
173,B、
174,使群众确认己方观点
175,C、
176,犀利反驳对方
177,D、
178,赞同对方观点
179,我的答案：D
180,16
181,注意声浪的技巧指的是要注意（）。
182,1.0 分
183,A、
184,听众的反应
185,B、
186,调谐
187,C、
188,听众的反应和调谐
189,D、
190,听众的心理感受
191,我的答案：C
192,17
193,演讲中注重修辞的要求不包括（）。
194,1.0 分
195,A、
196,通俗易懂
197,B、
198,贴切恰当
199,C、
200,简洁凝练
201,D、
202,语言复杂
203,我的答案：D
204,18
205,不属于主体意识范畴的是（）。
206,1.0 分
207,A、
208,无目的
209,B、
210,导向
211,C、
212,创造性
213,D、
214,现场感
215,我的答案：A
216,19
217,不属于演讲主题具体要求的是（）。
218,1.0 分
219,A、
220,有时代性
221,B、
222,有针对性
223,C、
224,有鲜明特色
225,D、
226,尽量浅显
227,我的答案：D
228,20
229,在公共场所，哪项不是君子风度？（）
230,1.0 分
231,A、
232,大声喧哗
233,B、
234,整洁
235,C、
236,爱护公物
237,D、
238,注意安全
239,我的答案：A
240,21
241,关于主流观点叙述正确的是（）。
242,1.0 分
243,A、
244,非官方倡导的
245,B、
246,不被大众认可的
247,C、
248,被大众认可但非官方倡导的
249,D、
250,官方倡导的且大众认可的
251,我的答案：D
252,22
253,对于表述阶段易出现的问题表述错误的是（）。
254,1.0 分
255,A、
256,啰里啰嗦
257,B、
258,有价值升华
259,C、
260,虎头蛇尾
261,D、
262,讲完后慌里慌张溜走
263,我的答案：B
264,23
265,对双向说话的特点说法错误的是（）。
266,1.0 分
267,A、
268,听比说重要
269,B、
270,明确交往，交流，交友
271,C、
272,说比听重要
273,D、
274,注意“兴”字
275,我的答案：C
276,24
277,想要尊严，首先（）。
278,1.0 分
279,A、
280,自律
281,B、
282,自尊
283,C、
284,自控
285,D、
286,自制
287,我的答案：B
288,25
289,不属于辩论要求的是（）。
290,1.0 分
291,A、
292,旗帜鲜明
293,B、
294,强词夺理
295,C、
296,辨清辩题
297,D、
298,理据充分
299,我的答案：B
300,26
301,关于礼仪的内涵说法错误的是（）。
302,1.0 分
303,A、
304,礼仪的敬人是发自肺腑的
305,B、
306,礼仪是对他人的约束和管制
307,C、
308,礼仪是无形的纪律
309,D、
310,礼仪是强调做人的
311,我的答案：B
312,27
313,关于核心价值理念说法正确的是（）。
314,1.0 分
315,A、
316,以西方民俗为主
317,B、
318,以中国民俗为主
319,C、
320,具有西方特色体系
321,D、
322,仅以现代国际交往的惯例为载体
323,我的答案：B
324,28
325,不属于演讲要高的标准是（）。
326,0.0 分
327,A、
328,弘扬主旋律
329,B、
330,弘扬正气
331,C、
332,体现个人观点
333,D、
334,反映出高尚的品格
335,我的答案：D
336,29
337,关于热恋阶段行为不当的是（）。
338,1.0 分
339,A、
340,保持理智
341,B、
342,不必注意对方缺点
343,C、
344,尊重对方
345,D、
346,尊重他人
347,我的答案：B
348,30
349,不属于“党内演说四大家”的是（）。
350,1.0 分
351,A、
352,毛泽东
353,B、
354,周恩来
355,C、
356,彭德怀
357,D、
358,王若飞
359,我的答案：C
360,31
361,在谈恋爱时说法错误的是（）。
362,1.0 分
363,A、
364,要有共同志趣
365,B、
366,遵守法律
367,C、
368,符合道德
369,D、
370,应快速确定关系
371,我的答案：D
372,32
373,下列关于讲说对象构成要素说法错误的是（）。
374,1.0 分
375,A、
376,听众心理
377,B、
378,听众年龄
379,C、
380,听众性别
381,D、
382,听众职业
383,我的答案：D
384,33
385,辩论是（）。
386,1.0 分
387,A、
388,吵架
389,B、
390,斗嘴
391,C、
392,抬杠
393,D、
394,思想利用语言的交锋
395,我的答案：D
396,34
397,对抒情表达方式要求错误的是（）。
398,1.0 分
399,A、
400,真挚自然
401,B、
402,丰富多样
403,C、
404,引经据典
405,D、
406,激发共鸣
