,题目
0,
1,窗体顶端
2,1
3,与致辞的要求不符的一项是（）。
4,1.0 分
5,窗体顶端
6,A、
7,窗体底端
8, 
9,感情色彩浓
10, 
11,B、
12,针对性强
13, 
14,C、
15,篇幅越长越好
16, 
17,D、
18,不要求太长
19, 
20,窗体底端
21,我的答案：C
22,2
23,在公共场所，学生不讲礼仪的一项是（）。
24,1.0 分
25,窗体顶端
26,A、
27,在教室不吃零食
28, 
29,B、
30,在餐厅排队打饭
31, 
32,C、
33,在教室占座位
34, 
35,D、
36,不随地吐痰，不随地抽烟
37, 
38,窗体底端
39,我的答案：C
40,3
41,下列不属于友爱同学的一项是（）。
42,1.0 分
43,窗体顶端
44,A、
45,诚心诚意，彬彬有礼
46, 
47,B、
48,不与学习差的同学来往
49, 
50,C、
51,不伤害同学自尊心
52, 
53,D、
54,心胸开阔
55, 
56,窗体底端
57,我的答案：B
58,4
59,不属于“党内演说四大家”的是（）。
60,1.0 分
61,窗体顶端
62,A、
63,毛泽东
64, 
65,B、
66,周恩来
67, 
68,C、
69,彭德怀
70, 
71,D、
72,王若飞
73, 
74,窗体底端
75,我的答案：C
76,5
77,不属于辩论的一般逻辑法则的是（）。
78,1.0 分
79,窗体顶端
80,A、
81,巩固己方的阵地
82, 
83,B、
84,使群众确认己方观点
85, 
86,C、
87,犀利反驳对方
88, 
89,D、
90,赞同对方观点
91, 
92,窗体底端
93,我的答案：D
94,6
95,对于展开阶段的口语表达说法错误的是（）。
96,1.0 分
97,窗体顶端
98,A、
99,入境
100, 
101,B、
102,明确主线，充实内容
103, 
104,C、
105,埋头讲话
106, 
107,D、
108,运用气势吸引听众
109, 
110,窗体底端
111,我的答案：C
112,7
113,做人的第一个层次是（）。
114,1.0 分
115,窗体顶端
116,A、
117,己所不欲，勿施于人
118, 
119,B、
120,人是有羞耻心的
121, 
122,C、
123,做一个好人、大人、能人、伟人
124, 
125,D、
126,礼仪无处不在，无时不有
127, 
128,窗体底端
129,我的答案：B
130,8
131,学生是多重身份的人，下列哪项最可能不是学生的身份？（）
132,1.0 分
133,窗体顶端
134,A、
135,公民
136, 
137,B、
138,学子
139, 
140,C、
141,人子
142, 
143,D、
144,配偶
145, 
146,窗体底端
147,我的答案：D
148,9
149,在修辞技巧中，给听众最有冲击力的是（）。
150,1.0 分
151,窗体顶端
152,A、
153,陈述句
154, 
155,B、
156,疑问句
157, 
158,C、
159,排比句
160, 
161,D、
162,反问句
163, 
164,窗体底端
165,我的答案：C
166,10
167,不属于演讲的特征的是（）。
168,1.0 分
169,窗体顶端
170,A、
171,情感的感染性
172, 
173,B、
174,表现方法的综合性
175, 
176,C、
177,即兴吐玉
178, 
179,D、
180,理性思维的抽象化
181, 
182,窗体底端
183,我的答案：D
184,11
185,修身齐家治国平天下，体现了我们传统文化中家国文化的（）。
186,1.0 分
187,窗体顶端
188,A、
189,重修身
190, 
191,B、
192,由小到大
193, 
194,C、
195,胸怀天下
196, 
197,D、
198,家国兼顾
199, 
200,窗体底端
201,我的答案：B
202,12
203,哪项不属于单向说话需要处理的关系？（）
204,1.0 分
205,窗体顶端
206,A、
207,角色与入境
208, 
209,B、
210,情与理的关系
211, 
212,C、
213,角色与身份
214, 
215,D、
216,有声与无声
217, 
218,窗体底端
219,我的答案：C
220,13
221,下列哪项不是开场白存在的问题？（）
222,1.0 分
223,窗体顶端
224,A、
225,腿抖
226, 
227,B、
228,开场白过长
229, 
230,C、
231,说过多的套话
232, 
233,D、
234,不过分谦虚
235, 
236,窗体底端
237,我的答案：D
238,14
239,对于辩论赛评判标准说法错误的是（）。
240,1.0 分
241,窗体顶端
242,A、
243,看对方反驳是否犀利
244, 
245,B、
246,看辩手的配合
247, 
248,C、
249,不在乎辩风
250, 
251,D、
252,失误是否突出
253, 
254,窗体底端
255,我的答案：C
256,15
257,一视同仁，一视敬人，人有（）不同，没有高低贵贱之别。
258,1.0 分
259,窗体顶端
260,A、
261,地域
262, 
263,B、
264,长幼
265, 
266,C、
267,胖瘦
268, 
269,D、
270,分工
271, 
272,窗体底端
273,我的答案：D
274,16
275,个性风格要大不包括（）。
276,1.0 分
277,窗体顶端
278,A、
279,大气
280, 
281,B、
282,大度
283, 
284,C、
285,有气势
286, 
287,D、
288,大胆
289, 
290,窗体底端
291,我的答案：D
292,17
293,吃的礼仪在整个礼仪中所占的比例是（）。
294,1.0 分
295,窗体顶端
296,A、
297,五分之一
298, 
299,B、
300,四分之一
301, 
302,C、
303,三分之一
304, 
305,D、
306,二分之一
307, 
308,窗体底端
309,我的答案：C
310,18
311,关于政治演讲说法错误的是（）。
312,1.0 分
313,窗体顶端
314,A、
315,不具有时代性
316, 
317,B、
318,具有鼓动性
319, 
320,C、
321,有感染力
322, 
323,D、
324,要阐述演讲者的政治观点
325, 
326,窗体底端
327,我的答案：A
328,19
329,体贴父母不包括下列哪项？（）
330,1.0 分
331,窗体顶端
332,A、
333,认真听从父母的教诲
334, 
335,B、
336,己所不欲，勿施于人
337, 
338,C、
339,主动承担家务
340, 
341,D、
342,对父母不讲礼仪
343, 
344,窗体底端
345,我的答案：D
346,20
347,哪项不是公民应该做的？（）
348,1.0 分
349,窗体顶端
350,A、
351,爱国守法
352, 
353,B、
354,明礼诚信
355, 
356,C、
357,不用敬业奉献
358, 
359,D、
360,勤俭自强
361, 
362,窗体底端
363,我的答案：C
364,21
365,下列关于礼仪说法错误的是（）。
366,1.0 分
367,窗体顶端
368,A、
369,是礼节与礼仪的统称
370, 
371,B、
372,是由一系列的礼节组成的
373, 
374,C、
375,是自始至终的敬人行为
376, 
377,D、
378,是不完整不全面的敬人行为
379, 
380,窗体底端
381,我的答案：D
382,22
383,对抒情表达方式要求错误的是（）。
384,1.0 分
385,窗体顶端
386,A、
387,真挚自然
388, 
389,B、
390,丰富多样
391, 
392,C、
393,引经据典
394, 
395,D、
396,激发共鸣
397, 
398,窗体底端
399,我的答案：C
400,23
401,礼仪的艰苦和痛苦在于（）。
402,1.0 分
403,窗体顶端
404,A、
405,磨练
406, 
407,B、
408,历练
409, 
410,C、
411,包容
412, 
413,D、
414,忍耐
415, 
416,窗体底端
417,我的答案：D
418,24
419,辩论是（）。
420,1.0 分
421,窗体顶端
422,A、
423,吵架
424, 
425,B、
426,斗嘴
427, 
428,C、
429,抬杠
430, 
431,D、
432,思想利用语言的交锋
433, 
434,窗体底端
435,我的答案：D
436,25
437,演讲的表达方式讲述的要求不包括（）。
438,1.0 分
439,窗体顶端
440,A、
441,准确清楚
442, 
443,B、
444,按部就班
445, 
446,C、
447,启迪听众思维
448, 
449,D、
450,新颖独特
451, 
452,窗体底端
453,我的答案：B
454,26
455,关于主流观点叙述正确的是（）。
456,1.0 分
457,窗体顶端
458,A、
459,非官方倡导的
460, 
461,B、
462,不被大众认可的
463, 
464,C、
465,被大众认可但非官方倡导的
466, 
467,D、
468,官方倡导的且大众认可的
469, 
470,窗体底端
471,我的答案：D
472,27
473,老师去学生宿舍探望时做法不当的是（）。
474,1.0 分
475,窗体顶端
476,A、
477,礼貌相迎
478, 
479,B、
480,热情接待
481, 
482,C、
483,认真回答问题
484, 
485,D、
486,离开时不用相送
487, 
488,窗体底端
489,我的答案：D
490,28
491,形成贵族，不需要（）。
492,1.0 分
493,窗体顶端
494,A、
495,传承礼仪
496, 
497,B、
498,接触的人需要有层次
499, 
500,C、
501,有好的生活习惯
502, 
503,D、
504,好的家庭教养
505, 
506,窗体底端
507,我的答案：B
508,29
509,关于应变技能说法错误的是（）。
510,1.0 分
511,窗体顶端
512,A、
513,夯实知识基础
514, 
515,B、
516,善于抓住机会
517, 
518,C、
519,培训速化思维
520, 
521,D、
522,忽略听众反应
523, 
524,窗体底端
525,我的答案：D
526,30
527,下列哪项原因不属于被动式调整？（）
528,1.0 分
529,窗体顶端
530,A、
531,说错词
532, 
533,B、
534,突然停电
535, 
536,C、
537,有人恶意挑衅
538, 
539,D、
540,讲说的东西与事实有出入
541, 
542,窗体底端
543,我的答案：D
544,31
545,演讲中在声音方面发生的错误是（）。
546,1.0 分
547,窗体顶端
548,A、
549,吐字清晰
550, 
551,B、
552,口头禅太多
553, 
554,C、
555,发音标准
556, 
557,D、
558,语速适当
559, 
560,窗体底端
561,我的答案：B
562,32
563,礼的三层含义不包括（）。
564,1.0 分
565,窗体顶端
566,A、
567,制度
568, 
569,B、
570,规范
571, 
572,C、
573,尊重别人
574, 
575,D、
576,轻视他人
577, 
578,窗体底端
579,我的答案：D
580,33
581,人与动物的本质区别是（）。
582,1.0 分
583,窗体顶端
584,A、
585,人会走路
586, 
587,B、
588,人有生命
589, 
590,C、
591,人有羞耻心
592, 
593,D、
594,人生病可以找医生
595, 
596,窗体底端
597,我的答案：C
598,34
599,想要尊严，首先（）。
600,1.0 分
601,窗体顶端
602,A、
603,自律
604, 
605,B、
606,自尊
607, 
608,C、
609,自控
610, 
611,D、
612,自制
613, 
614,窗体底端
615,我的答案：B
616,35
617,下列哪项不属于口语表达的特点？（）
618,1.0 分
619,窗体顶端
620,A、
621,口语表达是个大系统
622, 
623,B、
624,边想边说，边说边想
625, 
626,C、
627,用语简略
628, 
629,D、
630,不需要体态语言
631, 
632,窗体底端
633,我的答案：D
634,36
635,不属于辩论的特点的是（）。
636,1.0 分
637,窗体顶端
638,A、
639,观点对立性
640, 
641,B、
642,表达的现场性
643, 
644,C、
645,思维的迟缓性
646, 
647,D、
648,论理的严密性
649, 
650,窗体底端
651,我的答案：C
652,37
653,恋爱初期约会时，不适宜的一项是（）。
654,1.0 分
655,窗体顶端
656,A、
657,穿衣正式
658, 
659,B、
660,选择浪漫的地点
661, 
662,C、
663,动作稳重
664, 
665,D、
666,着装随性
667, 
668,窗体底端
669,我的答案：D
670,38
671,明确辩题概念的原则不包括（）。
672,1.0 分
673,窗体顶端
674,A、
675,唯我所用
676, 
677,B、
678,对我有利
679, 
680,C、
681,选题阔大
682, 
683,D、
684,约定俗成
685, 
686,窗体底端
687,我的答案：C
688,39
689,对讲说回答问题阶段的目的表述错误的是（）。
690,1.0 分
691,窗体顶端
692,A、
693,进一步说明情况
694, 
695,B、
696,探究问题
697, 
698,C、
699,对听众反应反馈
700, 
701,D、
702,维护自身权威
703, 
704,窗体底端
705,我的答案：D
706,40
707,关于口语表达结尾阶段表述错误的是（）。
708,0.0 分
709,窗体顶端
710,A、
711,应善始善终，至在好处
712, 
713,B、
714,应做到首尾一致
715, 
716,C、
717,因是结尾，不用再强调意义
718, 
719,D、
720,充满自信，语气铿锵
721, 
722,窗体底端
723,我的答案：A
724,41
725,下列哪项不是现在口才艺术存在的误区？（）
726,1.0 分
727,窗体顶端
728,A、
729,会朗诵就是有口才
730, 
731,B、
732,演讲能脱稿就有口才
733, 
734,C、
735,讲的东西别人不懂是有口才
736, 
737,D、
738,把复杂问题简单化
739, 
740,窗体底端
741,我的答案：D
742,42
743,关于核心价值理念说法正确的是（）。
744,1.0 分
745,窗体顶端
746,A、
747,以西方民俗为主
748, 
749,B、
750,以中国民俗为主
751, 
752,C、
753,具有西方特色体系
754, 
755,D、
756,仅以现代国际交往的惯例为载体
757, 
758,窗体底端
759,我的答案：B
760,43
761,男生写情书的三要素不包括哪项？（）
762,1.0 分
763,窗体顶端
764,A、
765,写实话
766, 
767,B、
768,有文采
769, 
770,C、
771,字体潇洒
772, 
773,D、
774,文字中志存高远
775, 
776,窗体底端
777,我的答案：C
778,44
779,礼仪讲究的是（）。
780,1.0 分
781,窗体顶端
782,A、
783,礼貌
784, 
785,B、
786,从众
787, 
788,C、
789,个性
790, 
791,D、
792,整洁
793, 
794,窗体底端
795,我的答案：B
796,45
797,在上课时，不尊重老师的表现是（）。
798,1.0 分
799,窗体顶端
800,A、
801,着装整齐
802, 
803,B、
804,关闭手机
805, 
806,C、
807,有问题举手
808, 
809,D、
810,对该下课却不下课的老师表示烦躁
811, 
812,窗体底端
813,我的答案：D
814,46
815,在宿舍没有礼仪风度的一项是（）。
816,1.0 分
817,窗体顶端
818,A、
819,遵守作息时间
820, 
821,B、
822,和睦相处
823, 
824,C、
825,爱护宿舍公共财物
826, 
827,D、
828,只注意自己卫生，不顾宿舍卫生
829, 
830,窗体底端
831,我的答案：D
832,47
833,下列关于讲说对象构成要素说法错误的是（）。
834,1.0 分
835,窗体顶端
836,A、
837,听众心理
838, 
839,B、
840,听众年龄
841, 
842,C、
843,听众性别
844, 
845,D、
846,听众职业
847, 
848,窗体底端
849,我的答案：D
850,48
851,交本国朋友择友条件说法错误的是（）。
852,1.0 分
853,窗体顶端
854,A、
855,选择志同道合的朋友
856, 
857,B、
858,选择忠诚可靠的朋友
859, 
860,C、
861,不交直接指自己缺点的朋友
862, 
863,D、
864,交补己之短的朋友
865, 
866,窗体底端
867,我的答案：C
868,49
869,不属于按风格划分的演讲类型是（）。
870,1.0 分
871,窗体顶端
872,A、
873,平实型
874, 
875,B、
876,深刻型
877, 
878,C、
879,条理型
880, 
881,D、
882,论辩型
883, 
884,窗体底端
885,我的答案：C
886,50
887,寻找辩题题魂不正确的是（）。
888,1.0 分
889,窗体顶端
890,A、
891,使辩题由窄变宽
892, 
893,B、
894,分析己方之利弊
895, 
896,C、
897,分析对方之利弊
898, 
899,D、
900,使辩题由宽变窄
901, 
902,窗体底端
903,我的答案：A
904,1
905,礼仪属于情商范畴。（）
906,1.0 分
907,窗体顶端
908,我的答案： √
909,窗体底端
910,2
911,我们中国的礼仪还要吸取国际惯例中的合理成分。（）
912,1.0 分
913,窗体顶端
914,我的答案： √
915,窗体底端
916,3
917,口语表达的标准之一“正确”指的是没有理论性。（）
918,1.0 分
919,窗体顶端
920,我的答案： ×
921,窗体底端
922,4
923,动作单调不属于形态方面易犯的错误。（）
924,1.0 分
925,窗体顶端
926,我的答案： ×
927,窗体底端
928,5
929,礼貌是无形的。（）
930,1.0 分
931,窗体顶端
932,我的答案： √
933,窗体底端
934,6
935,吃相最能反映一个人及其家族的文化。（）
936,1.0 分
937,窗体顶端
938,我的答案： √
939,窗体底端
940,7
941,口语表达应注重整体效果， 不应该拘泥于一句话的得失。（）
942,1.0 分
943,窗体顶端
944,我的答案： √
945,窗体底端
946,8
947,确认辩题概念的途径有查字典、请教专家、依据某种理论、专抓核心概念。（）
948,1.0 分
949,窗体顶端
950,我的答案： √
951,窗体底端
952,9
953,一日为师，终身为父体现了对老师的尊重，并无糟粕的一面。（）
954,1.0 分
