,题目
0,1在上课时，不尊重老师的表现是（）。1.0 分 A、 着装整齐 B、 关闭手机 C、 有问题举手 D、 对该下课却不下课的老师表示烦躁 
1,正确答案： D 我的答案：D 
2,2礼仪的本质要求是（）。1.0 分 A、 规范 B、 素养 C、 以主流观点为主 D、 以美为主 
3,正确答案： C 我的答案：C
4, 3演讲中注重修辞的要求不包括（）。1.0 分 A、 通俗易懂 B、 贴切恰当 C、 简洁凝练 D、 语言复杂 
5,正确答案： D 我的答案：D 
6,4辩论是（）。1.0 分 A、 吵架 B、 斗嘴 C、 抬杠 D、 思想利用语言的交锋 
7,正确答案： D 我的答案：D
8, 5关于穿西服的礼仪说法正确的是（）。1.0 分 A、 正式西服的口袋是有盖子的 B、 正式西服的口袋盖可以不拿出来 C、 西服的口袋可以装东西 D、 钢笔可以挂在西服外面 
9,正确答案： A 我的答案：A
10, 6关于热恋阶段行为不当的是（）。1.0 分 A、 保持理智 B、 不必注意对方缺点 C、 尊重对方 D、 尊重他人 
11,正确答案： B 我的答案：B 
12,7形成贵族，不需要（）。1.0 分 A、 传承礼仪 B、 接触的人需要有层次 C、 有好的生活习惯 D、 好的家庭教养 
13,正确答案： B 我的答案：B
14, 8注意声浪的技巧指的是要注意（）。1.0 分 A、 听众的反应 B、 调谐 C、 听众的反应和调谐 D、 听众的心理感受 
15,正确答案： C 我的答案：C 
16,9男生写情书的三要素不包括哪项？（）1.0 分 A、 写实话 B、 有文采 C、 字体潇洒 D、 文字中志存高远 
17,正确答案： C 我的答案：C
18, 10明确辩题概念的原则不包括（）。1.0 分 A、 唯我所用 B、 对我有利 C、 选题阔大 D、 约定俗成 
19,正确答案： C 我的答案：C
20, 11问候或是拜访老师做法不妥的是（）。1.0 分 A、 提前联系，准时到达 B、 掌握好时间 C、 午休时不宜打电话 D、 晚上十点后打电话很正常 
21,正确答案： D 我的答案：D 
22,12对抒情表达方式要求错误的是（）。1.0 分 A、 真挚自然 B、 丰富多样 C、 引经据典 D、 激发共鸣 
23,正确答案： C 我的答案：C 
24,13关于夏季正式场合穿衣礼仪说法正确的是（）。1.0 分 A、 男士穿不带领子的T恤衫 B、 男士穿衬衣不穿背心 C、 女士的裙摆应在膝盖以下 D、 女士穿超短裙
25, 正确答案： C 我的答案：C
26, 14吃的礼仪在整个礼仪中所占的比例是（）。1.0 分 A、 五分之一 B、 四分之一 C、 三分之一 D、 二分之一
