,题目
0,
1,   成绩： 99.0分 
2, 
3,一、 单选题（题数：50，共 50.0 分） 
4,1 
5,“兄弟骑驴”的故事主要告诫了我们（）。
6,1.0 分 
7,窗体顶端
8,A、 
9,不必太过在意别人对自己的议论，要有自己的主见，只要认定是正确的，就要义无反顾的去践行 
10,B、 
11,应该多听取他人的意见 
12,C、 
13,做事不能太主观妄断 
14,D、 
15,要虚心以待 
16,窗体底端
17,我的答案：A 
18,2 
19,社会组织的结构能力主要包括几个方面，下列不属于这一内容的是（）项。
20,1.0 分 
21,窗体顶端
22,A、 
23,组织设计 
24,B、 
25,组织变革 
26,C、 
27,组织发展 
28,D、 
29,组织调解 
30,窗体底端
31,我的答案：D 
32,3 
33,大学生辩论赛采取（）演讲方式。
34,1.0 分 
35,窗体顶端
36,A、 
37,照读式演讲 
38,B、 
39,背诵式演讲 
40,C、 
41,提纲式演讲 
42,D、 
43,即兴式演讲 
44,窗体底端
45,我的答案：C 
46,4 
47,以下有关公共关系的调查研究，说法不正确的是（）。
48,1.0 分 
49,窗体顶端
50,A、 
51,了解组织的公共关系状态 
52,B、 
53,确定公共关系的客体 
54,C、 
55,提出公共关系改进措施 
56,D、 
57,揭示公共关系发展趋势 
58,窗体底端
59,我的答案：B 
60,5 
61,下列选项是对公共关系调查研究的地位和作用的评述，其中说法有误的是（）。
62,1.0 分 
63,窗体顶端
64,A、 
65,公共关系调查研究是组织卓有成效的开展公关活动的前提和基础 
66,B、 
67,公共关系调查研究具有沟通信息的作用 
68,C、 
69,公共关系的调查是决定公共关系活动成败的关键因素 
70,D、 
71,公共关系调查和研究是公共关系活动得以顺利进行的重要环节 
72,窗体底端
73,我的答案：C 
74,6 
75,从交往行为分析为什么上岛咖啡会迅速发展？
76,1.0 分 
77,窗体顶端
78,A、 
79,因为使用了圆桌故而增加了合作意识 
80,B、 
81,室内布置与座椅位置提供了适宜交谈的环境 
82,C、 
83,环境私密便于隐私话题的交谈 
84,D、 
85,品牌效应影响人们的选择 
86,窗体底端
87,我的答案：B 
88,7 
89,公共关系调查的内容不包括（）。
90,1.0 分 
91,窗体顶端
92,A、 
93,公关的主体，即组织情况的调查 
94,B、 
95,公关的客体，即公众意见的调查 
96,C、 
97,构成公众的个体的全体调查 
98,D、 
99,公关的主客体之间密切相关的社会环境的调查 
100,窗体底端
101,我的答案：C 
102,8 
103,下列选项中不属于组织情况调查范围的是（）。
104,1.0 分 
105,窗体顶端
106,A、 
107,组织自然情况 
108,B、 
109,组织社会情况 
110,C、 
111,组织历史情况 
112,D、 
113,组织所处的外部环境的调查 
114,窗体底端
115,我的答案：D 
116,9 
117,对于每个人而言，如果想要在社会中有所成，下列的说法错误的是（）。
118,1.0 分 
119,窗体顶端
120,A、 
121,要有良好的人生规划 
122,B、 
123,要有坚持不懈的毅力和勇气 
124,C、 
125,要全面发展，因而对各领域都要有所涉猎，以便在谈话中应对自如 
126,D、 
127,要广泛涉猎，但 要有目的的攻坚克难，学有所专。 
128,窗体底端
129,我的答案：C 
130,10 
131,采集信息时公共关系活动的一项重要职能，其中采集的信息不包括（）。
132,1.0 分 
133,窗体顶端
134,A、 
135,产品形象的信息 
136,B、 
137,公众需求信息 
138,C、 
139,组织形象的信息 
140,D、 
141,组织环境信息 
142,窗体底端
143,我的答案：B 
144,11 
145,以偏概全地进行主观臆测属于交往中认知障碍的（）。
146,1.0 分 
147,窗体顶端
148,A、 
149,晕轮效应 
150,B、 
151,社会刻板印象 
152,C、 
153,近因效应 
154,D、 
155,首因效应 
156,窗体底端
157,我的答案：A 
158,12 
159,下列选项中，不属于调查报告的内容是（）。
160,1.0 分 
161,窗体顶端
162,A、 
163,分析结果 
164,B、 
165,问卷回收率及抽样误差 
166,C、 
167,调查的合理性论证 
168,D、 
169,调查采用的方法 
170,窗体底端
171,我的答案：C 
172,13 
173,非正式团体对正是团体的影响是多重的，下列说法不正确的是（）。
174,1.0 分 
175,窗体顶端
176,A、 
177,非正式团体对正式团体的影响都是正面的，都是积极的 
178,B、 
179,非正式团体也容易传播流言蜚语，影响正式团体的控制力 
180,C、 
181,非正式团体可以发挥沟通意见、稳定情绪、互帮互学的效应 
182,D、 
183,非正式团体对正式团体的影响是一把双刃剑 
184,窗体底端
185,我的答案：A 
186,14 
187,个人访谈过程中，访谈是循序渐进的，下列说法不可取的是（）。
188,1.0 分 
189,窗体顶端
190,A、 
191,交谈要尽可能抓住要领 
192,B、 
193,当发现交谈者特别健谈，应不露声色的巧妙拉回主题 
194,C、 
195,交谈过程中要注意问题间的衔接，做到问题的逐渐深入 
196,D、 
197,交谈者在交谈过程中言辞激烈，应该给予提示和纠正 
198,窗体底端
199,我的答案：D 
200,15 
201,演讲者与听众常用的沟通方式不包括（）。
202,1.0 分 
203,窗体顶端
204,A、 
205,垂直结构 
206,B、 
207,扇形结构 
208,C、 
209,圆形结构 
210,D、 
211,锥形结构 
212,窗体底端
213,我的答案：D 
214,16 
215,模仿体语可以起到（）的作用。
216,1.0 分 
217,窗体顶端
218,A、 
219,彼此的交流与沟通 
220,B、 
221,对对方产生暗示 
222,C、 
223,提高对方注意力 
224,D、 
225,提高相互的了解程度 
226,窗体底端
227,我的答案：C 
228,17 
229,在演讲过程中，演讲者运用态势语言的原则是（）。
230,1.0 分 
231,窗体顶端
232,A、 
233,尽情挥洒 
234,B、 
235,幅度越大越好 
236,C、 
237,台上要谨慎运用 
238,D、 
239,台下刻意训练 
240,窗体底端
241,我的答案：C 
242,18 
243,对于企业来说，危机严重到威胁企业的未来发展，这体现了危机的（）。
244,1.0 分 
245,窗体顶端
246,A、 
247,突发性 
248,B、 
249,聚焦性 
250,C、 
251,破坏性 
252,D、 
253,紧迫性 
254,窗体底端
255,我的答案：C 
256,19 
257,一般说来，一个企业初具规模，是按照销售额来定的，其标准是（）。
258,1.0 分 
259,窗体顶端
260,A、 
261,1000万 
262,B、 
263,500万 
264,C、 
265,300万 
266,D、 
267,100万 
268,窗体底端
269,我的答案：B 
270,20 
271,当某一领域的市场被炒的很热时，企业可以借此时机进行公关，而这属于公关策划中的（）。
272,1.0 分 
273,窗体顶端
274,A、 
275,择术 
276,B、 
277,造势 
278,C、 
279,乘机 
280,D、 
281,争先 
282,窗体底端
283,我的答案：C 
284,21 
285,人际交往中的第一印象又叫（）。
286,1.0 分 
287,窗体顶端
288,A、 
289,初级印象 
290,B、 
291,首因效应 
292,C、 
293,基础认知 
294,D、 
295,感性认识 
296,窗体底端
297,我的答案：B 
298,22 
299,公共关系也是一种行为规范，对此下列说法错误的是（）。
300,1.0 分 
301,窗体顶端
302,A、 
303,社会组织进行的传播活动也是一种公共关系 
304,B、 
305,公共关系表示的是社会组织与公众之间的互动 
306,C、 
307,公共关系作为一种行为规范，具有法律效力 
308,D、 
309,通过公共关系，社会组织与公众可以达到相互了解和相互合作的目的 
310,窗体底端
311,我的答案：D 
312,23 
313,人际交往中的正式沟通取决于（）
314,1.0 分 
315,窗体顶端
316,A、 
317,沟通进行的地点 
318,B、 
319,沟通涉及的内容 
320,C、 
321,展开沟通的人物 
322,D、 
323,沟通进行的时间 
324,窗体底端
325,我的答案：B 
326,24 
327,如果不能完成订单、产品出现严重的质量问题，会使企业产生（）危机。
328,1.0 分 
329,窗体顶端
330,A、 
331,意外 
332,B、 
333,经营 
334,C、 
335,信誉 
336,D、 
337,素质 
338,窗体底端
339,我的答案：C 
340,25 
341,危机发生后，及时承担责任，对相关责任人进行惩罚，体现了危机处理的（）原则。
342,1.0 分 
343,窗体顶端
344,A、 
345,预测 
346,B、 
347,实事求是 
348,C、 
349,应急 
350,D、 
351,积极行动 
352,窗体底端
353,我的答案：D 
354,26 
355,调查报告不同于纯理论文章，应注意（）。
356,1.0 分 
357,窗体顶端
358,A、 
359,用资料来说明问题 
360,B、 
361,推理合乎逻辑 
362,C、 
363,资料取舍合理 
364,D、 
365,要考虑是否有理论价值 
366,窗体底端
367,我的答案：D 
368,27 
369,采集信息时公共关系活动的一项重要职能，其中采集的信息不包括（）。
370,1.0 分 
371,窗体顶端
372,A、 
373,产品形象的信息 
374,B、 
375,公众需求信息 
376,C、 
377,组织形象的信息 
378,D、 
379,组织环境信息 
380,窗体底端
381,我的答案：B 
382,28 
383,需要有与众不同的特质来吸引主体的交往环节是（）
384,1.0 分 
385,窗体顶端
386,A、 
387,相遇阶段 
388,B、 
389,吸引阶段 
390,C、 
391,适应阶段 
392,D、 
393,注意阶段 
394,窗体底端
395,我的答案：B 
396,29 
397,告别是访谈的最后一个环节，下列说法不正确的是（）。
398,1.0 分 
399,窗体顶端
400,A、 
401,被调查者接受调查付出了劳动，理应得到调查者的肯定和感谢 
402,B、 
403,告别非常简单，所以不必要太过重视 
404,C、 
405,告别时对被调查者给予合作表示感谢，可以使被调查者获得心理满足 
406,D、 
407,良好的告别有利于组织形象的塑造 
408,窗体底端
409,我的答案：B 
410,30 
411,在公关策划基本方法中，审时非常重要，下列不属于这一方面的是（）。
412,1.0 分 
413,窗体顶端
414,A、 
415,争先 
416,B、 
417,乘机 
418,C、 
419,后发 
420,D、 
421,后知后觉 
422,窗体底端
423,我的答案：D 
424,31 
425,商业服务业的公共关系有其重要意义，下列说法有误的是（）。
426,1.0 分 
427,窗体顶端
428,A、 
429,确立优待服务、顾客至上的原则 
430,B、 
431,树立企业形象为根本目的 
432,C、 
433,抓住有利时机，开展宣传攻势 
434,D、 
435,捕捉市场信息、领先占领市场 
436,窗体底端
437,我的答案：B 
438,32 
439,以下有关“歉意广告”的说法，错误的是（）。
440,1.0 分 
441,窗体顶端
442,A、 
443,其目的是“以退为进” 
444,B、 
445,说明歉意广告多带有企业的虚伪性 
446,C、 
447,企业以公开承认自己不当之处并向别人赔礼为“退” 
448,D、 
449,在道歉中谋求别人谅解乃至新的新人和合作为“进” 
450,窗体底端
451,我的答案：B 
452,33 
453,迎宾或送客需要注意的事项不包括（）。
454,1.0 分 
455,窗体顶端
456,A、 
457,微笑迎接亲切握手 
458,B、 
459,客人进门须起身迎接 
460,C、 
461,客人离开时应送下楼梯 
462,D、 
463,客人送出门应轻轻关门 
464,窗体底端
465,我的答案：C 
466,34 
467,很多带有EVE字母的品牌，因为EVE是夏娃的意思，这体现了广告宣传的（）定位。
468,1.0 分 
469,窗体顶端
470,A、 
471,实体 
472,B、 
473,品名 
474,C、 
475,价格 
476,D、 
477,效用 
478,窗体底端
479,我的答案：B 
480,35 
481,制定调查计划需要我们注意几点要求，其中不包括（）。
482,1.0 分 
483,窗体顶端
484,A、 
485,要做可行性论证 
486,B、 
487,计划既要全面又要简单明了 
488,C、 
489,参与计划人员的素质 
490,D、 
491,调查计划涉及的因素都应该考虑充分，包括其合理性和相互关联 
492,窗体底端
493,我的答案：C 
494,36 
495,危机处理一般程序的第一步是（）。
496,1.0 分 
497,窗体顶端
498,A、 
499,采取紧急措施，防止事态发展 
500,B、 
501,坦诚告知，表明诚意 
502,C、 
503,调查情况，搜集信息 
504,D、 
505,针对对象，确定对策 
506,窗体底端
507,我的答案：A 
508,37 
509,1987年11月8日，（）地铁发生火灾，30人遇难。
510,1.0 分 
511,窗体顶端
512,A、 
513,平壤 
514,B、 
515,东京 
516,C、 
517,纽约 
518,D、 
519,伦敦 
520,窗体底端
521,我的答案：D 
522,38 
523,社会组织的分类不包括以下（）项。
524,1.0 分 
525,窗体顶端
526,A、 
527,营利性组织 
528,B、 
529,非营利性组织 
530,C、 
531,互利性组织 
532,D、 
533,非政府组织 
534,窗体底端
535,我的答案：D 
536,39 
537,危机处理一般程序的第一步是（）。
538,1.0 分 
539,窗体顶端
540,A、 
541,采取紧急措施，防止事态发展 
542,B、 
543,坦诚告知，表明诚意 
544,C、 
545,调查情况，搜集信息 
546,D、 
547,针对对象，确定对策 
548,窗体底端
549,我的答案：A 
550,40 
551,对待人与事怎么样是不合理的？（）
552,0.0 分 
553,窗体顶端
554,A、 
555,对事不对人 
556,B、 
557,对事无情对人有情 
558,C、 
559,人无完人不必一味追求完美 
560,D、 
561,做人第一做事其次 
562,窗体底端
563,我的答案：D 
564,41 
565,“中国到底有没有哲学”的话题属于（）开场白。
566,1.0 分 
567,窗体顶端
568,A、 
569,提出问题 
570,B、 
571,从演讲者自己说起 
572,C、 
573,惊人的事实 
574,D、 
575,抒情 
576,窗体底端
577,我的答案：A 
578,42 
579,在商务聚餐时中面对女士较为礼貌的行为是（）。
580,1.0 分 
581,窗体顶端
582,A、 
583,主动帮助女士拉开座椅 
584,B、 
585,主动帮助女士拎包 
586,C、 
587,主动与女士打招呼并握手 
588,D、 
589,主动帮助女士夹菜 
590,窗体底端
591,我的答案：A 
592,43 
593,在主持会议时应注意几点，其中不包括（）。
594,1.0 分 
595,窗体顶端
596,A、 
597,要制造轻松和谐的会议气氛 
598,B、 
599,要把握会议讨论的方向 
600,C、 
601,要准备好精彩的发言稿，方便会议发言使用 
602,D、 
603,要主持好大局 
604,窗体底端
605,我的答案：C 
606,44 
607,相对一般活动，大型活动的实施需要更多的资金支持，这体现了大型活动实施（）的特点。
608,1.0 分 
609,窗体顶端
610,A、 
611,难度大 
612,B、 
613,影响广 
614,C、 
615,经费多 
616,D、 
617,人员多 
618,窗体底端
619,我的答案：C 
620,45 
621,下列不符合处理新闻媒介关系的艺术是（）项。
622,1.0 分 
623,窗体顶端
624,A、 
625,尊重新闻界的职业特点 
626,B、 
627,加强与新闻界的合作与联系 
628,C、 
629,在于新闻界交流的过程中，要切实维护自身的利益不受新闻界的侵害 
630,D、 
631,及时与新闻界交流信息 
632,窗体底端
633,我的答案：C 
634,46 
635,主体公关类型主要有几种，下列不属于主体公关类型的是（）。
636,1.0 分 
637,窗体顶端
638,A、 
639,企业公共关系 
640,B、 
641,商业服务业公共关系 
642,C、 
643,进行消费调查 
644,D、 
645,事业团体的公共关系 
646,窗体底端
647,我的答案：C 
648,47 
649,大型活动准备过程中，宣传资料的讲演稿一般是为（）准备的。
650,1.0 分 
651,窗体顶端
652,A、 
653,主持 
654,B、 
655,记者 
656,C、 
657,观众 
658,D、 
659,领导 
660,窗体底端
661,我的答案：D 
662,48 
663,在公共关系的调查研究中，尊重公众异常重要，其原因不包括（）。
664,1.0 分 
665,窗体顶端
666,A、 
667,尊重公众是顺利开展公关调查的前提 
668,B、 
669,公众对调查的配合与支持至关重要 
670,C、 
671,公众是公共关系中的主体，因而需要重视 
672,D、 
