,题目
0,1
1,在泰国，宗教的旗是（）的。
2,1.0 分
3,窗体顶端
4,A、
5,蓝色
6, 
7,B、
8,黄色
9, 
10,C、
11,红色
12, 
13,D、
14,绿色
15, 
16,窗体底端
17,我的答案：B
18,2
19,下列选项中，属于西方殖民东南亚时期进行东南亚贸易的重要的港口的是（）。
20,1.0 分
21,窗体顶端
22,A、
23,澳门
24, 
25,B、
26,长崎
27, 
28,C、
29,连云港
30, 
31,D、
32,A和B
33, 
34,窗体底端
35,我的答案：D
36,3
37,下列选项中，未在泰国仙人洞所发现植物种子之列的是（）。
38,1.0 分
39,窗体顶端
40,A、
41,杏
42, 
43,B、
44,槟郎
45, 
46,C、
47,葫芦
48, 
49,D、
50,苹果
51, 
52,窗体底端
53,我的答案：D
54,4
55,下列选项中，未体现传教士在文化传播过程中作用的是（）。
56,1.0 分
57,窗体顶端
58,A、
59,传播福音
60, 
61,B、
62,著书立说，兴学从教
63, 
64,C、
65,传播西方近代科学和艺术
66, 
67,D、
68,奴化教徒
69, 
70,窗体底端
71,我的答案：D
72,5
73,菲律宾现存古老的石构建筑是（）。
74,1.0 分
75,窗体顶端
76,A、
77,圣·奥古斯丁教堂
78, 
79,B、
80,比略奴爱巴教堂
81, 
82,C、
83,菲律宾抱威教堂
84, 
85,D、
86,宿务圣婴教堂
87, 
88,窗体底端
89,我的答案：A
90,6
91,马来西亚姓名中，男子的姓和名之间用（）隔开。
92,1.0 分
93,窗体顶端
94,A、
95,“玛”
96, 
97,B、
98,“艾玛”
99, 
100,C、
101,“宾”
102, 
103,D、
104,“宾蒂”
105, 
106,窗体底端
107,我的答案：C
108,7
109,大皮影是用较好的（）做的。
110,1.0 分
111,窗体顶端
112,A、
113,羊皮
114, 
115,B、
116,鹿皮
117, 
118,C、
119,牛皮
120, 
121,D、
122,猪皮
123, 
124,窗体底端
125,我的答案：C
126,8
127,中国文化对东南亚的影响主要在（）。
128,1.0 分
129,窗体顶端
130,A、
131,物质层面
132, 
133,B、
134,精神层面
135, 
136,C、
137,制度层面
138, 
139,D、
140,经济层面
141, 
142,窗体底端
143,我的答案：A
144,9
145,英国对东南亚的研究开始是以（）为基地的。
146,1.0 分
147,窗体顶端
148,A、
149,英属印度
150, 
151,B、
152,英属印度尼西亚
153, 
154,C、
155,越南
156, 
157,D、
158,缅甸
159, 
160,窗体底端
161,我的答案：A
162,10
163,除东帝汶之外，（）是亚洲仅有的天主教国家。
164,1.0 分
165,窗体顶端
166,A、
167,马来西亚
168, 
169,B、
170,新加坡
171, 
172,C、
173,印尼
174, 
175,D、
176,菲律宾
177, 
178,窗体底端
179,我的答案：D
180,11
181,1.0 分
182,窗体顶端
183,A、
184,泰国
185, 
186,B、
187,越南
188, 
189,C、
190,缅甸
191, 
192,D、
193,老挝
194, 
195,窗体底端
196,我的答案：A
197,12
198,在爪哇，对寺院的特定称谓为（）。
199,1.0 分
200,窗体顶端
201,A、
202,庙
203, 
204,B、
205,坎蒂
206, 
207,C、
208,神址
209, 
210,D、
211,寺第
212, 
213,窗体底端
214,我的答案：B
215,13
216,东南亚高脚屋的形状不包括（）。
217,1.0 分
218,窗体顶端
219,A、
220,长方形
221, 
222,B、
223,正方形
224, 
225,C、
226,圆形
227, 
228,D、
229,多边形
230, 
231,窗体底端
232,我的答案：D
233,14
234,下列选项中属于物质民俗的是（）。
235,1.0 分
236,窗体顶端
237,A、
238,民间建筑
239, 
240,B、
241,民间节日
242, 
243,C、
244,民间游戏
245, 
246,D、
247,民间舞蹈
248, 
249,窗体底端
250,我的答案：A
251,15
252,板顿是一种手法类似中国（）的印度尼西亚民间歌谣。
253,1.0 分
254,窗体顶端
255,A、
256,京剧
257, 
258,B、
259,信天游
260, 
