,题目
0,一、 单选题（题数：50，共 50.0 分）
1,1
2,启蒙主义运动兴起时是以哪个国家为中心？
3,1.0 分
4,窗体顶端
5,A、
6,日本
7,B、
8,英国
9,C、
10,意大利
11,D、
12,法国
13,窗体底端
14,正确答案： D 我的答案：D
15,2
16,中国古代和西方交流的媒介一般是通过下列哪种人实现的：（）
17,1.0 分
18,窗体顶端
19,A、
20,新罗人
21,B、
22,日本人
23,C、
24,阿拉伯人
25,D、
26,印度人
27,窗体底端
28,正确答案： C 我的答案：C
29,3
30,日本的和歌论是属于？
31,1.0 分
32,窗体顶端
33,A、
34,民众
35,B、
36,贵族
37,C、
38,天皇
39,D、
40,艺妓
41,窗体底端
42,正确答案： B 我的答案：B
43,4
44,《沙恭达罗》中讲述主人公离开静修林与动物们告别的一幕是第几幕？
45,1.0 分
46,窗体顶端
47,A、
48,第一幕
49,B、
50,第二幕
51,C、
52,第三幕
53,D、
54,第四幕
55,窗体底端
56,正确答案： D 我的答案：D
57,5
58,印度人将哪部史诗称为“最初的诗”？
59,1.0 分
60,窗体顶端
61,A、
62,《摩诃婆罗多》
63,B、
64,《摩罗衍那》
65,C、
66,《吉尔伽美什》
67,D、
68,《薄伽梵歌》
69,窗体底端
70,正确答案： B 我的答案：B
71,6
72,“审美的无功利性”是哪个哲人提出的？
73,1.0 分
74,窗体顶端
75,A、
76,黑格尔
77,B、
78,康德
79,C、
80,马克思
81,D、
82,尼采
83,窗体底端
84,正确答案： B 我的答案：B
85,7
86,“浪漫主义，究其实质就是文学上的自由主义”是谁说的？
87,1.0 分
88,窗体顶端
89,A、
90,狄更斯
91,B、
92,左拉
93,C、
94,雨果
95,D、
96,巴尔扎克
97,窗体底端
98,正确答案： C 我的答案：C
99,8
100,东亚共同体的提出者是下列哪位日本首相：（）
101,1.0 分
102,窗体顶端
103,A、
104,小泉纯一郎
105,B、
106,安倍晋三
107,C、
108,鸠山由纪夫
109,D、
110,麻生太郎
111,窗体底端
112,正确答案： C 我的答案：C
113,9
114,在“亚细亚生产方式”中，农业是与下列哪种生产方式结合在一起的？
115,1.0 分
116,窗体顶端
117,A、
118,半垄断地主农业
119,B、
120,小农商业
