,题目
0,《死者田园祭》是（）的代表作。
1,1.0 分
2,窗体顶端
3,A、
4,小津安二郎
5, 
6,B、
7,沟口
8, 
9,C、
10,木下惠介
11, 
12,D、
13,寺山修司
14, 
15,窗体底端
16,正确答案： D 我的答案：D
17,2
18,严浩在1984年推出了被称为“现实主义精品”的（）。
19,1.0 分
20,窗体顶端
21,A、
22,《父子情》
23, 
24,B、
25,《半边人》
26, 
27,C、
28,《夜车》
29, 
30,D、
31,《似水流年》
32, 
33,窗体底端
34,正确答案： D 我的答案：D
35,3
36,《没有季节的小墟》采用的是（）手法拍摄。
37,1.0 分
38,窗体顶端
39,A、
40,印象主义
41, 
42,B、
43,悲观主义
44, 
45,C、
46,人文主义
47, 
48,D、
49,超现实主义
50, 
51,窗体底端
52,正确答案： D 我的答案：D
53,4
54,在60年代之前，木下惠介的电影风格是（）。
55,1.0 分
56,窗体顶端
57,A、
58,浪漫主义
59, 
60,B、
61,现实主义
62, 
63,C、
64,悲情主义
65, 
66,D、
67,超现实主义
68, 
69,窗体底端
70,正确答案： A 我的答案：A
71,5
72,新浪潮电影在创作上具有强烈的（）精神。
73,1.0 分
74,窗体顶端
75,A、
76,爱国
77, 
78,B、
79,政治批判
80, 
81,C、
82,革命
83, 
84,D、
85,自我批判
86, 
87,窗体底端
88,正确答案： B 我的答案：B
89,6
90,《祝祭》表现的主题是（）。
91,1.0 分
92,窗体顶端
93,A、
94,爱情的幻灭
95, 
96,B、
97,传统文化的消逝
98, 
99,C、
100,人生梦想的破灭
101, 
102,D、
103,对生命消逝的沉痛
104, 
105,窗体底端
106,正确答案： D 我的答案：D
107,7
108,改编古龙小说为电影最多的导演是（）。
109,1.0 分
110,窗体顶端
111,A、
112,狄龙
113, 
114,B、
115,张彻
116, 
117,C、
118,楚原
119, 
120,D、
121,谷峰
122, 
123,窗体底端
124,正确答案： C 我的答案：C
125,8
126,1998年，许鞍华导演了一部以爱情包装的政治题材电影（）。
127,1.0 分
128,窗体顶端
129,A、
130,《胡越的故事》
131, 
132,B、
133,《千言万语》
134, 
135,C、
136,《阿金》
137, 
138,D、
139,《疯劫》
140, 
141,窗体底端
142,正确答案： B 我的答案：B
143,9
144,哪部电影掀开了香港新浪潮运动的序幕？（）
145,1.0 分
146,窗体顶端
147,A、
148,《蝶变》
149, 
150,B、
151,《咖喱啡》
152, 
153,C、
154,《名剑》
155, 
156,D、
157,《投奔怒海》
158, 
159,窗体底端
160,正确答案： B 我的答案：B
161,10
162,许鞍华拍摄的越南难民三部曲，包括《胡越的故事》《投奔怒海》和（）。
163,1.0 分
164,窗体顶端
165,A、
166,《狮子山下·路》
167, 
168,B、
169,《狮子山下·桥》
170, 
171,C、
172,《狮子山下·来客》
173, 
174,D、
175,《狮子山下·归去来兮》
176, 
177,窗体底端
178,正确答案： C 我的答案：C
179,11
180,电影《生死谍变》之所以成功，是因为它关于（）。
181,1.0 分
182,窗体顶端
183,A、
184,韩国内政
185, 
186,B、
187,性的问题
188, 
189,C、
190,人性的荒漠
191, 
192,D、
193,南北韩关系
194, 
195,窗体底端
196,正确答案： D 我的答案：D
197,12
198,下列对日本新浪潮电影的序幕描述最准确的是（）。
199,1.0 分
200,窗体顶端
201,A、
202,青春族电影
203, 
204,B、
205,太阳族电影
206, 
207,C、
208,独立制片机构的壮大
209, 
210,D、
211,前卫导演的大批出现
212, 
213,窗体底端
214,正确答案： B 我的答案：B
215,13
216,朝鲜红色经典电影可分为（）大类型。
217,1.0 分
218,窗体顶端
219,A、
220,三
221, 
222,B、
223,四
224, 
225,C、
226,五
227, 
228,D、
229,六
230, 
231,窗体底端
232,正确答案： C 我的答案：C
233,14
234,韩国电影《谎言》是谁的作品？（）
235,1.0 分
236,窗体顶端
237,A、
238,郭在容
239, 
240,B、
241,奉俊昊
242, 
243,C、
244,张善宇
245, 
246,D、
247,李沧东
248, 
249,窗体底端
250,正确答案： C 我的答案：C
251,15
252,1913年，（）拍摄了《庄子试妻》。
253,1.0 分
254,窗体顶端
255,A、
256,黎民伟
257, 
258,B、
259,郑正秋
260, 
261,C、
262,张石川
263, 
264,D、
265,任彭年
266, 
267,窗体底端
268,正确答案： A 我的答案：A
269,16
270,下列哪部电影不属于表现边缘人、异常人的主题？（）
271,1.0 分
272,窗体顶端
273,A、
274,《香港制造》
275, 
276,B、
277,《去年烟花特别多》
278, 
279,C、
280,《后赤壁赋》
281, 
282,D、
283,《榴莲飘飘》
284, 
285,窗体底端
286,正确答案： C 我的答案：C
287,17
288,自1976年《流星蝴蝶剑》开始，楚原和古龙有了多次的合作，形成了楚原、古龙和（）的“铁三角” 。
289,1.0 分
290,窗体顶端
291,A、
292,狄龙
293, 
294,B、
295,张彻
296, 
297,C、
298,姜大卫
299, 
300,D、
301,谷峰
