,题目
0,一、 单选题（题数：50，共 50.0 分）
1,1关于个人生涯规划的说法错误的是（）。1.0 分
2,A、
3,首先正确评价自己的性格、能力、爱好、人生观、确定人生目标。
4,B、
5,需要明细考察社会经济大环境
6,C、
7,考虑如何使自己的知识技能适应社会
8,D、
9,无法把握社会前进的脉搏
10,正确答案： D 我的答案：D
11,2如果定期存款到期时忘了去银行办理续存手续，那么接下来的日子（）。1.0 分
12,A、
13,就只能得到活期利息
14,B、
15,依然是定期利息
16,C、
17,按新的挂牌定期利率获息
18,D、
19,“滚雪球”获息
20,正确答案： A 我的答案：A
21,3理财规划师的职业道德准则主要包括哪两部分？（）1.0 分
22,A、
23,主观原则和实际原则
24,B、
25,公开原则和具体原则
26,C、
27,一般原则和具体规范
28,D、
29,专业原则和公开原则
30,正确答案： C 我的答案：C
31,4超额透支，从哪天起支付透支利息？（）1.0 分
32,A、
33,免息日过后起
34,B、
35,一个月之后
36,C、
37,40天后
38,D、
39,透支之日起
40,正确答案： D 我的答案：D
41,5国家理财规划师的的培训费为（）。1.0 分
42,A、
43,官方2000~3000/人
44,B、
45,3000~5000员/人
46,C、
47,3800~6800元/人
48,D、
49,4200~8000元/人
50,正确答案： C 我的答案：C
51,6关于理财方案制作需要注意的事项，不正确的是（）。1.0 分
52,A、
53,抓住问题的关键症结所在，突出重点，同时考虑全面
54,B、
55,对客户的财务状况审慎地加以分析，提出存在问题，对客户提出目标检查合理性如何
56,C、
57,计算，避免使用经济指标和数据
58,D、
59,合理入理，同现实生活比较吻合一致
60,正确答案： C 我的答案：C
61,7培养好的习惯应该在多少岁之前？（）1.0 分
62,A、
63,5岁
64,B、
65,18岁
66,C、
67,35岁
68,D、
69,50岁
70,正确答案： C 我的答案：C
71,8
72,测试风险承受能力，主要是在于什么？（）
73,0.0 分
74,A、
75,测试投资者资产多少
76,B、
77,测试投资冒险性如何
78,C、
79,测试投资收益性如何
80,D、
81,测试投资价值如何
82,正确答案： A 我的答案：A
83,9购买汽车属于哪项花费？（）1.0 分
84,A、
85,养老保障用费
86,B、
87,购置大件高档品用费
88,C、
89,子女抚养教育用费
90,D、
91,医疗住房用费
92,正确答案： B 我的答案：B
93,10关于打理银行卡的注意点，以下说法不正确的是（）。1.0 分
94,A、
95,透支消费，切勿用足免息还款期
96,B、
97,巧避银行收费
98,C、
99,充分利用信用卡的分期付款功能
100,D、
101,出国办卡免去汇兑差
102,正确答案： A 我的答案：A
103,11关于银行的业务，以下说法正确的是（）。1.0 分
104,A、
105,对公司单位、个人家庭
106,B、
107,对公司
108,C、
109,对个人家庭
110,D、
111,以上均不正确
112,正确答案： A 我的答案：A
113,12以下关于理财组织的优缺点说法不正确的是（）。1.0 分
114,A、
115,金融保险机构理财：理财人员知识技能不全面，免费服务。
116,B、
117,第三方机构理财：只提供服务，不推销产品。
118,C、
119,第三方机构技能知识全面
120,D、
121,第三方机构免费
122,正确答案： D 我的答案：D
123,13目前，中国的外汇储备是（）亿。1.0 分
124,A、
125,2000.0
126,B、
127,9000.0
128,C、
129,15000.0
130,D、
131,20000多
132,正确答案： D 我的答案：D
133,14以下哪项不属于员工的自我职业生涯设计的缺陷？（）1.0 分
134,A、
135,职业设计多方面拓展
136,B、
137,糊里糊涂的过日子，没有职业生涯规划
138,C、
139,具备的知识技能单一
140,D、
141,对自己了解不透彻，对社会的把握不清晰、自我发展路径不清楚、没有明确目标
142,正确答案： A 我的答案：A
143,15以下哪项不是理财目标？（）1.0 分
144,A、
145,赚钱赢利
146,B、
147,获得他人认可
148,C、
149,防避风险
150,D、
151,个人事业有成
152,正确答案： B 我的答案：B
153,16投资第一目标是什么？（）1.0 分
154,A、
155,保值
156,B、
157,升值
158,C、
159,树立理财观
160,D、
161,保证心态
162,正确答案： A 我的答案：A
163,17个人拥有丰富的经济金融资源并较快增长，其原因不包括（）。1.0 分
164,A、
165,个人收入总量急剧增长，家庭金融资产数量庞大
166,B、
167,个人收入总量及拥有经济金融资源急剧增长
168,C、
169,国民收入分配向个人倾斜，个人收入占国民收入比重大幅上升
170,D、
171,金融投资理念不成熟，居民不愿意接受理财服务
172,正确答案： D 我的答案：D
173,18以下哪一项不属于张老师总结的千万富豪们致富的原因？（）1.0 分
