,题目
0,题量：100   满分：100.0  
1, 
2,一、单选题
3, 
4,1
5,从世纪之交的几场局部战争看来，今后的现代战争的模式最不可能的趋势是（）。
6,A、
7,以信息化为主要特征
8,B、
9,人海战术
10,C、
11,以精确制导武器为高技术兵器
12,D、
13,以远距离空中打击为主要手段
14,我的答案：B
15,2
16,回顾中国历史上的国防形势，（）不是给我们的启示。
17,A、
18,国防服从于政治，服务于政治
19,B、
20,为了国防，完全可以放弃经济的发展
21,C、
22,经济是国防的物质基础
23,D、
24,国防战略的指导方针是决定国防事业能否真正强大起来的关键
25,我的答案：B
26,3
27,中国古代军事思想形成于（）时期。
28,A、
29,原始社会末期
30,B、
31,西周
32,C、
33,两汉
34,D、
35,魏晋南北朝
36,我的答案：B
37,4
38,（）不属于中国先秦时期的军事思想代表作。
39,A、
40,《神农兵法》
41,B、
42,《皇帝》
43,C、
44,《三略》
45,D、
46,《军政》
47,我的答案：C
48,5
49,（）不属于人民军队的民主范畴。
50,A、
51,政治民主
52,B、
53,物质民主
54,C、
55,经济民主
56,D、
57,军事民主
58,我的答案：B
59,6
60,（）不属于《行军篇》的主要内容。
61,A、
62,军队在各种地形情况下的处置原则
63,B、
64,具体的行军布阵图，克敌制胜的具体方法
65,C、
66,军队在战场上观察判断敌情的各种方法
67,D、
68,用道理去教育军队，用军法、军纪去统一军队的行动
69,我的答案：B
70,7
71,（）不属于大规模杀伤性武器的范围。
72,A、
73,核武器
74,B、
75,生物武器
76,C、
77,化学武器
78,D、
79,精确制导武器
80,我的答案：D
81,8
82,（）不属于获取信息的技术手段。
83,A、
84,可见光技术
85,B、
86,震动探测技术
87,C、
88,红外信息获取技术
89,D、
90,多光谱信息获取技术
91,我的答案：B
92,9
93,毛泽东军事思想科学体系建立于（）时期。
94,A、
95,土地革命战争
96,B、
97,大革命时期
98,C、
99,解放战争时期
100,D、
101,抗日战争时期
102,我的答案：D
103,10
104,（）是经济和战争之间的中间环节。
105,A、
106,人权干涉
107,B、
108,政治手段
109,C、
110,经济利益
111,D、
112,阶级斗争
113,我的答案：B
114,11
115,（）不属于毛泽东国防建设的思想内容。
116,A、
117,军队要积极参加和支援国家经济建设
118,B、
119,无论在什么情况下，国家军费开支都应该保持在10%以上
120,C、
121,加快尖端武器的研制
122,D、
