,题目
0,
1,一、 单选题（题数：50，共 50.0 分）
2,1
3,中国城市规划时要有中轴线的规定可以追溯到哪个时期
4,0.0 分
5,窗体顶端
6,A、
7,唐
8,B、
9,汉
10,C、
11,秦
12,D、
13,三国
14,窗体底端
15,正确答案： D 我的答案：C
16,2
17,跨湖桥遗址出土的水稻当中大约有多少比例的水稻出现了有别于野生稻的变异
18,1.0 分
19,窗体顶端
20,A、
21,20%
22,B、
23,50%
24,C、
25,70%
26,D、
27,85%
28,窗体底端
29,正确答案： B 我的答案：B
30,3
31,1977年12月复旦大学采用质子X荧光非真空分析法对下列哪种文物进行了无损科学研究
32,1.0 分
33,窗体顶端
34,A、
35,曹操头骨
36,B、
37,越王勾践剑
38,C、
39,金缕玉衣
40,D、
41,《兰亭集序》
42,窗体底端
43,正确答案： B 我的答案：B
44,4
45,成年人全身共有多少块骨头
46,1.0 分
47,窗体顶端
48,A、
49,198.0
50,B、
51,201.0
52,C、
53,206.0
54,D、
55,211.0
56,窗体底端
57,正确答案： C 我的答案：C
58,5
59,人工驯养和人工栽培大概出现在什么时代
60,1.0 分
61,窗体顶端
62,A、
63,1万年前
64,B、
65,2万年前
66,C、
67,5万年前
68,D、
69,5000年前
70,窗体底端
71,正确答案： A 我的答案：A
72,6
73,下列哪个时代是考古学划分人类发展阶段的第一个时代
74,1.0 分
75,窗体顶端
76,A、
77,石器时代
78,B、
79,铜器时代
80,C、
81,铁器时代
82,D、
83,都不是
84,窗体底端
85,正确答案： A 我的答案：A
86,7
87,人类第一次能够合成的材料是什么
88,0.0 分
89,窗体顶端
90,A、
91,铜器
92,B、
93,铁器
94,C、
95,陶器
96,D、
97,银器
98,窗体底端
99,正确答案： C 我的答案：A
100,8
101,碳14测定年代只能测定含哪种元素的文物
102,1.0 分
103,窗体顶端
104,A、
105,碳
106,B、
107,铜
108,C、
109,氮
110,D、
111,氧
112,窗体底端
113,正确答案： A 我的答案：A
114,9
115,秦始皇陪葬兵马俑总共大约有多少个？
116,1.0 分
117,窗体顶端
118,A、
119,1000.0
120,B、
121,3000.0
122,C、
123,5000.0
124,D、
125,8000.0
126,窗体底端
127,正确答案： D 我的答案：D
128,10
129,新石器时代和旧石器时代的区别包括（）。
130,1.0 分
131,窗体顶端
132,A、
133,陶器
134,B、
135,石器
136,C、
137,农业
138,D、
139,以上都对
140,窗体底端
141,正确答案： D 我的答案：D
142,11
143,良渚文化遗址群里共有多少遗址
144,1.0 分
145,窗体顶端
146,A、
147,121.0
148,B、
149,136.0
150,C、
151,155.0
152,D、
153,167.0
154,窗体底端
155,正确答案： B 我的答案：B
156,12
157,定陵有几个配殿
158,1.0 分
159,窗体顶端
160,A、
161,4.0
162,B、
163,3.0
164,C、
165,2.0
166,D、
167,1.0
168,窗体底端
169,正确答案： C 我的答案：C
170,13
171,兵马俑博物馆属于
172,1.0 分
173,窗体顶端
174,A、
175,遗址类博物馆
176,B、
177,艺术博物馆
178,C、
179,历史博物馆
180,D、
181,科技博物馆
182,窗体底端
183,正确答案： A 我的答案：A
184,14
185,计量地球历史的等级单位不包括（）
186,1.0 分
187,窗体顶端
188,A、
189,宙
190,B、
191,代
192,C、
193,光年
194,D、
195,世
196,窗体底端
197,正确答案： C 我的答案：C
198,15
199,中国文物保护的最高等级是
200,1.0 分
201,窗体顶端
202,A、
203,国宝级
204,B、
205,一级
206,C、
207,二级
208,D、
209,三级
210,窗体底端
211,正确答案： B 我的答案：B
212,16
213,墓葬里面的自来石需要用什么来打开
214,1.0 分
215,窗体顶端
216,A、
217,直接推
218,B、
219,石头撞击
220,C、
221,沙土挤压
222,D、
223,拐钉钥匙
224,窗体底端
225,正确答案： D 我的答案：D
226,17
227,中国考古学之父是谁
228,1.0 分
229,窗体顶端
230,A、
231,裴文中
232,B、
233,高蒙河
234,C、
235,李济
236,D、
237,夏鼐
238,窗体底端
239,正确答案： C 我的答案：C
240,18
241,下列不属于遗迹的是
242,1.0 分
243,窗体顶端
244,A、
245,房屋
246,B、
247,村落
248,C、
249,道路
250,D、
251,武器
252,窗体底端
253,正确答案： D 我的答案：D
254,19
255,庞培古城消失的原因是
