,题目
0,
1,2016年6月 考古发现与探究 100分 期末考试答案
2,一、 单选题（题数：50，共 50.0 分）
3,1考古学家不包括
4,A、学者
5,B、技工
6,C、后勤人员
7,D、领导者
8,我的答案：D
9,2带彩陶的文化称为（）。
10,A、河姆渡文化
11,B、龙山文化
12,C、仰韶文化
13,D、良渚文化
14,我的答案：C
15,3下列人类进化阶段中，属于最早的是
16,A、古猿阶段
17,B、南猿阶段
18,C、猿人阶段
19,D、智人阶段
20,我的答案：A
21,4下列哪个人物曾提出薄葬制度
22,A、商汤
23,B、曹操
24,C、秦始皇
25,D、李世明
26,我的答案：B
27,5类型学构建某个特定时空范畴，通过人们使用的器物来了解当时人类的情况，这种情况不包括（）。
28,A、国家的地形与气候
29,B、人们的生活生产环境
30,C、心理因素
31,D、传统习俗
32,我的答案：A
33,6旧石器时代中期大体上相当于人类体质进化的
34,A、早期智人阶段
35,B、能人和直立人阶段
36,C、晚期智人阶段
37,D、智能发展阶段
38,我的答案：A
39,7下列属于传世品特点的是
40,A、明确的地层信息
41,B、历史信息准确
42,C、科研价值低
43,D、科研价值高
44,我的答案：C
45,8《铁云藏龟》的作者是谁
46,A、罗振玉
47,B、王懿荣
48,C、刘鹗
49,D、王国维
50,我的答案：C
51,9铝铍埋藏测年法的测量对象是什么
52,A、铝
53,B、铍
54,C、碳
55,D、石英
56,我的答案：D
57,10中国文物保护的最高等级是
58,A、国宝级
59,B、一级
60,C、二级
61,D、三级
62,我的答案：B
63,11在人类演化各阶段中，最早使用工具的人是（）
64,A、南猿
65,B、智人
66,C、能人
67,D、直立人
68,我的答案：C
69,12中国城市规划时要有中轴线的规定可以追溯到哪个时期
70,A、唐
71,B、汉
72,C、秦
73,D、三国
74,我的答案：D
75,13跨湖桥遗址出土的水稻当中大约有多少比例的水稻出现了有别于野生稻的变异
76,A、20%
77,B、50%
78,C、70%
79,D、85%
80,我的答案：B
81,14探铲又叫做什么
82,A、安阳铲
83,B、北京铲
84,C、洛阳铲
85,D、南京铲
86,我的答案：C
