,题目
0,
1, 
2,一、 单选题（题数：50，共 50.0 分）
3,1
4,一个人在八号面前怎么表现会让八号宽恕他的错误？（）
5,1.0 分
6,窗体顶端
7,A、
8,以理服人
9,B、
10,保持强硬
11,C、
12,大胆地表现
13,D、
14,服软求饶
15,窗体底端
16,我的答案：D
17,2
18,一号比较容易与哪个号码的人发生冲突？（）
19,1.0 分
20,窗体顶端
21,A、
22,二号
23,B、
24,九号
25,C、
26,八号
27,D、
28,一号
29,窗体底端
30,我的答案：C
31,3
32,在解决了“是什么”的问题后，接下来要解决的问题是（）。
33,1.0 分
34,窗体顶端
35,A、
36,为什么
37,B、
38,需要什么
39,C、
40,如何做
41,D、
42,凭什么
43,窗体底端
44,我的答案：A
45,4
46,以下不属于七号其他称谓的是（）。
47,1.0 分
48,窗体顶端
49,A、
50,发明家
51,B、
52,享乐主义者
53,C、
54,多面手
55,D、
56,杂家
57,窗体底端
58,我的答案：A
59,5
60,三号的什么问题容易引起领导的不满？（）
61,1.0 分
62,窗体顶端
63,A、
64,不能如期完成任务
65,B、
66,总是需要领导出面
67,C、
68,不与领导商量
69,D、
70,不停催促领导
71,窗体底端
72,我的答案：D
73,6
74,（）比较会愿意买情人节的高价玫瑰？
75,1.0 分
76,窗体顶端
77,A、
78,三号
79,B、
80,四号
81,C、
82,六号
83,D、
84,一号
85,窗体底端
86,我的答案：A
87,7
88,七号一般怎么对待别人的痛苦？（）
89,1.0 分
90,窗体顶端
91,A、
92,对别人的痛苦置之不理
93,B、
94,看不到别人的痛苦
95,C、
96,帮助别人从痛苦中跳出来
97,D、
98,远离痛苦的人群
99,窗体底端
100,我的答案：C
101,8
102,四号辞职的原因主要是（）。
103,1.0 分
104,窗体顶端
105,A、
106,薪水不够高
107,B、
108,没有升迁机会
109,C、
110,感到自己被束缚
111,D、
112,找到了更好的职位
113,窗体底端
114,我的答案：C
115,9
116,二号要想与别人建立健康的人际关系，需要做的是（）。
117,1.0 分
118,窗体顶端
119,A、
120,迎合别人
121,B、
122,诚恳指出别人的不足
123,C、
124,赞美别人
125,D、
126,安慰别人
127,窗体底端
128,我的答案：B
129,10
130,根据副型叠加理论，不管是什么型号，只要副型是社交的，就会展现出（）的特质。
131,1.0 分
132,窗体顶端
133,A、
134,三号
135,B、
136,六号
137,C、
138,八号
139,D、
140,九号
141,窗体底端
142,我的答案：C
143,11
144,二号总是热心地帮助别人，其内在的本质原因是（）。
145,1.0 分
146,窗体顶端
147,A、
148,想要交很多朋友
149,B、
150,获得别人的肯定
151,C、
152,希望别人做得更好
153,D、
154,他需要被别人需要
155,窗体底端
156,我的答案：D
157,12
158,下属工作中出现错误时，正六的老板一般的做法是（）。
159,1.0 分
160,窗体顶端
161,A、
162,严厉批评，让下属限期改正
163,B、
164,抓住下属的错误不放
165,C、
166,不告诉下属问题所在，让下属自己去思考
