,题目
0,1
1,测试是否容易被记住的产品名称测试称为：
2,1.0 分
3,窗体顶端
4,A、
5,学习测试
6, 
7,B、
8,记忆测试
9, 
10,C、
11,偏好测试
12, 
13,D、
14,联想测试
15, 
16,窗体底端
17,我的答案：B
18,2
19,企业成长的原因是（）。
20,1.0 分
21,窗体顶端
22,A、
23,资金丰富
24, 
25,B、
26,订单增大
27, 
28,C、
29,企业本身决定
30, 
31,D、
32,企业必须通过规模成长来维持市场份额
33, 
34,窗体底端
35,我的答案：D
36,3
37,机会的四大本质特征不包括：
38,1.0 分
39,窗体顶端
40,A、
41,吸引力
42, 
43,B、
44,时效性
45, 
46,C、
47,持久性
48, 
49,D、
50,普遍性
51, 
52,窗体底端
53,我的答案：D
54,4
55,以下哪项不是融资的创造性来源？（）
56,1.0 分
57,窗体顶端
58,A、
59,租赁
60, 
61,B、
62,创业园区
63, 
64,C、
65,政府资助
66, 
67,D、
68,战略伙伴
69, 
70,窗体底端
71,我的答案：C
72,5
73,创业是：
74,1.0 分
75,窗体顶端
76,A、
77,创业者导向
78, 
79,B、
80,顾客导向
81, 
82,C、
83,政策导向
84, 
85,D、
86,文化导向
87, 
88,窗体底端
89,我的答案：B
90,6
91,创业者有强烈的“我要当老板”的愿望属于设立企业的：
92,1.0 分
93,窗体顶端
94,A、
95,外部条件
96, 
97,B、
98,内部条件
99, 
100,C、
101,社会条件
102, 
103,D、
104,自然条件
105, 
106,窗体底端
107,我的答案：B
108,7
109,趋势一定是：
110,1.0 分
111,窗体顶端
112,A、
113,波动的
114, 
115,B、
116,起伏不定的
117, 
118,C、
119,相互关联
120, 
121,D、
122,相互独立
123, 
124,窗体底端
125,我的答案：C
126,8
127,以下哪项不是一分钟电梯演讲的内容？（）
128,0.0 分
129,窗体顶端
130,A、
131,描述机会和需要解决的问题
132, 
133,B、
134,描述你的资金来源
135, 
136,C、
137,描述你的资格
138, 
139,D、
140,描述你的市场
141, 
142,窗体底端
143,我的答案：B
144,9
145,进行债务或权益融资的步骤不包括（）。
146,1.0 分
147,窗体顶端
148,A、
149,正确决定需要多少资金
150, 
151,B、
152,决定最恰当的融资类型
153, 
154,C、
155,正确决定资金支出
156, 
157,D、
158,发展战略以吸引潜在投资家或银行家
159, 
160,窗体底端
161,我的答案：B
162,10
163,“有没有供应商和合作伙伴”指的是商业模式的哪种构成要素？（）
164,1.0 分
165,窗体顶端
166,A、
167,创新技能
168, 
169,B、
170,战略资源
171, 
172,C、
173,伙伴网络
174, 
175,D、
176,核心战略
177, 
178,窗体底端
179,我的答案：C
180,11
181,创业的机会成本越低，人们创业的几率：
182,1.0 分
183,窗体顶端
184,A、
185,越小
186, 
187,B、
188,不影响
189, 
190,C、
191,越大
192, 
193,D、
194,不确定
195, 
196,窗体底端
197,我的答案：C
198,12
199,体育用品商店、生物技术公司和视频游戏公司中最可能做大做强的是：
200,1.0 分
201,窗体顶端
202,A、
203,体育用品商品
204, 
205,B、
206,生物技术公司
207, 
208,C、
209,视频游戏公司
210, 
211,D、
212,不确定
213, 
214,窗体底端
215,我的答案：B
216,13
217,以下哪项不是识别机会的方法？（）
218,1.0 分
219,窗体顶端
220,A、
221,观察趋势
222, 
223,B、
224,解决问题
225, 
226,C、
