,题目
0,1 
1,企业成长的原因是（）。
2,1.0 分 
3,窗体顶端
4,· A、 
5,资金丰富 
6,· B、 
7,订单增大 
8,· C、 
9,企业本身决定 
10,· D、 
11,企业必须通过规模成长来维持市场份额 
12,我的答案：D 
13,窗体底端
14,2 
15,影响经理人管理能力的因素不包括（）。
16,1.0 分 
17,窗体顶端
18,· A、 
19,管理者社会化 
20,· B、 
21,管理激励 
22,· C、 
23,逆向选择 
24,· D、 
25,法律约束 
26,我的答案：D 
27,窗体底端
28,3 
29,进行债务或权益融资的步骤不包括（）。
30,0.0 分 
31,窗体顶端
32,· A、 
33,正确决定需要多少资金 
34,· B、 
35,正确决定资金支出 
36,· C、 
37,决定最恰当的融资类型 
38,· D、 
39,发展战略以吸引潜在投资家或银行家 
40,我的答案：C 
41,窗体底端
42,4 
43,突破管理能力瓶颈的方法是（）。
44,1.0 分 
45,窗体顶端
46,· A、 
47,加大资金投入 
48,· B、 
49,创新技术 
50,· C、 
51,企业联盟或兼并新企业 
52,· D、 
53,增加设备或员工 
54,我的答案：C 
55,窗体底端
56,5 
57,创业之初需要整合的第一个资源是（）。
58,1.0 分 
59,窗体顶端
60,· A、 
61,技术 
62,· B、 
63,人才 
64,· C、 
65,资金 
66,· D、 
67,机会 
68,我的答案：C 
69,窗体底端
70,6 
71,以下哪项不是创业所需确定的基本内容？（）
72,0.0 分 
73,窗体顶端
74,· A、 
75,谁创业 
76,· B、 
77,在哪里创业 
78,· C、 
79,创业效果 
80,· D、 
81,创业资金来源 
82,我的答案：A 
83,窗体底端
84,7 
85,以下哪项不是创业的本质？（）
86,1.0 分 
87,窗体顶端
88,· A、 
89,创业是一种活动 
90,· B、 
91,创业是一种精神 
92,· C、 
93,创业是一种技能 
94,· D、 
95,创业是一种态度 
96,我的答案：D 
97,窗体底端
98,8 
99,以下哪项不是创业服务岗位需有的素养或能力？（）
100,1.0 分 
101,窗体顶端
102,· A、 
103,创业意识 
104,· B、 
105,创业思维 
106,· C、 
107,自我控制 
108,· D、 
109,管理规划 
110,我的答案：C 
111,窗体底端
112,9 
113,以下哪项不是观察趋势法识别机会的步骤？（）
114,1.0 分 
115,窗体顶端
116,· A、 
117,观察各种趋势 
118,· B、 
119,观察趋势，研究它如何创造可追求的机会 
120,· C、 
121,优秀创业者将趋势变为市场行为 
