,题目
0,一、 单选题（题数：50，共 50.0 分）
1,1商王墓有几条墓道1.0 分
2,A、
3,1.0
4,B、
5,2.0
6,C、
7,3.0
8,D、
9,4.0
10,我的答案：D
11,2考古学学科的核心结构不包括1.0 分
12,A、
13,史前考古学
14,B、
15,田野考古学
16,C、
17,露天考古学
18,D、
19,历史考古学
20,我的答案：C
21,3秦始皇陵最初有几个平台1.0 分
22,A、
23,9.0
24,B、
25,7.0
26,C、
27,5.0
28,D、
29,3.0
30,我的答案：D
31,4下列不属于考古类型学中同一概念的是1.0 分
32,A、
33,鼎
34,B、
35,簋
36,C、
37,壶
38,D、
39,釜形
40,我的答案：D
41,5下列哪个不属于南猿1.0 分
42,A、
43,纤细种
44,B、
45,腊玛古猿
46,C、
47,能人
48,D、
49,粗壮种
50,我的答案：B
51,6下列不属于遗迹的是1.0 分
52,A、
53,房子
54,B、
55,道路
56,C、
57,运河
58,D、
59,手镯
60,我的答案：D
61,7中国最早彩陶距今多少年左右1.0 分
62,A、
63,9000.0
64,B、
65,8000.0
66,C、
67,7000.0
68,D、
69,6000.0
70,我的答案：C
71,8中国目前已发现的商代青铜器中最重要的属于（）1.0 分
72,A、
73,马踏飞燕
74,B、
75,司母戊鼎
76,C、
77,楚大鼎
78,D、
79,曾侯乙鼎
80,我的答案：B
81,9了解层位关系的目的是为了确定什么1.0 分
82,A、
83,地理坐标
84,B、
85,经纬度
86,C、
87,时空框架
88,D、
89,以上都不是
90,我的答案：C
91,10北京故宫的文物大约有多少件1.0 分
92,A、
93,140万
94,B、
95,150万
96,C、
97,160万
98,D、
99,170万
100,我的答案：C
101,11尼人属于下列哪类人1.0 分
102,A、
103,能人
104,B、
105,晚期智人
106,C、
107,早期智人
108,D、
109,山顶洞人
110,我的答案：C
111,12良渚遗址群共有多少遗址1.0 分
112,A、
113,100多处
114,B、
115,130多处
116,C、
117,200多处
118,D、
119,500多处
120,我的答案：B
121,13现在的考古学的哪个工作部分出现的最晚1.0 分
122,A、
123,发现
124,B、
125,保护
126,C、
127,利用
128,D、
129,整理
130,我的答案：C
131,14青铜器中的杂器分类不包括什么1.0 分
132,A、
133,生活用具
134,B、
135,货币
136,C、
137,鼎
138,D、
139,符及玺印
140,我的答案：C
141,15同一时期不同类的遗存是指什么1.0 分
142,A、
143,类
144,B、
145,型
146,C、
147,学
148,D、
149,式
150,我的答案：A
151,16最早类型学诞生于哪个学科1.0 分
152,A、
153,考古学
154,B、
155,化学
156,C、
157,数学
158,D、
159,生物学
160,我的答案：D
161,17下列不是考古类型学原理的是1.0 分
