,题目
0,成绩： 99.0分
1, 
2,一、 单选题（题数：50，共 50.0 分）
3,1超越极限集团执行长许伯恺老师曾经破产过几次？（）1.0 分
4,A、
5,四
6,B、
7,三
8,C、
9,二
10,D、
11,一
12,我的答案：B
13,2在做“上下晃动排毒法”运动，人的身体哪个部分能够感受到气？（）1.0 分
14,A、
15,大脑
16,B、
17,心脏
18,C、
19,手指
20,D、
21,肺部
22,我的答案：C
23,3梁凯恩认为在创业过程中时刻保持一种心态，即创业过程中遇到的挫折是（）。1.0 分
24,A、
25,上天给你的历练
26,B、
27,上天给你的惩罚
28,C、
29,上天给你的警告
30,D、
31,上天给你的礼物
32,我的答案：D
33,4葛升是在哪一年第一次来到同济大学的？（）1.0 分
34,A、
35,2007年
36,B、
37,2010年
38,C、
39,2012年
40,D、
41,2013年
42,我的答案：B
43,5北京三幸环球光学有限公司董事长李小丹的学历是（）。1.0 分
44,A、
45,小学
46,B、
47,高中
48,C、
49,大学
50,D、
51,博士
52,我的答案：D
53,6沟通的秘笈是什么？1.0 分
54,A、
55,自信，充满活力
56,B、
57,乐观，积极向上
58,C、
59,学会团队合作
60,D、
61,感恩，感动自己和他人
62,我的答案：D
63,7在一定的压力下，女性朋友血液流到大脑掌控情绪的部分是男人的几倍？（）1.0 分
64,A、
65,2倍
66,B、
67,4倍
68,C、
69,6倍
70,D、
71,8倍
72,我的答案：D
73,8到2030年时，中国城市化率将达到多少？（）1.0 分
74,A、
75,30%
76,B、
77,50%
78,C、
79,70%
80,D、
81,80%
82,我的答案：C
83,9畅销书天后吴锦珠到目前为止一共出了多少本书？（）1.0 分
84,A、
85,103.0
86,B、
87,183.0
88,C、
89,203.0
90,D、
91,283.0
92,我的答案：B
93,10在创业成长七个关键因素中哪一个是实现价值的工具？（）1.0 分
94,A、
95,目标
96,B、
97,情绪
98,C、
99,自我
100,D、
101,沟通
102,我的答案：D
103,11早晨起床，大脑里哪种脑波是最活跃的？（）1.0 分
104,A、
105,θ波
106,B、
107,β波
108,C、
109,α波
110,D、
111, δ 波
112,我的答案：C
113,12“回形针换房子”的故事的主人翁在多少次交换后换回了一幢房子？（）1.0 分
114,A、
115,10次
116,B、
117,14次
118,C、
119,20次
120,D、
121,25次
122,我的答案：B
123,13近80%的人认为什么是头号难题，尤其是工程师，技师和中高层管理人才的匮乏？1.0 分
124,A、
125,募集足够多的劳动力
126,B、
127,如何进行员工素质培训
128,C、
129,找到并雇用合适的人才
130,D、
131,如何提高员工效率
132,我的答案：C
133,14《不去会死》这本书作者最终花了多少年完成了环游世界的壮举。1.0 分
134,A、
135,3.5年
136,B、
137,5年
138,C、
139,7.5年
140,D、
141,10年
142,我的答案：C
143,15“感恩之心，离财富最近”这句话是下列哪个人物的名言？（）1.0 分
144,A、
145,刘永好
146,B、
147,陈霆远
148,C、
149,梁凯恩
150,D、
151,许伯恺
152,我的答案：A
153,16大学生在创业过程中，要想避免创业失败需要明确以下几点，其中描述错误的是（）。1.0 分
154,A、
155,明确自己创业过程中所需的资源
156,B、
157,要知道谁可以帮助你
158,C、
159,要足够的坚强
160,D、
161,要有足够的资金支持
162,我的答案：D
163,17下列哪个选项的服务是假日商学院不能提供的？（）1.0 分
164,A、
165,农场服务
166,B、
167,家教组服务
168,C、
169,旅游服务
170,D、
171,商场购物服务
172,我的答案：D
173,18中金公司是下列那个人物的儿子创办的？（）1.0 分
174,A、
175,李鹏
176,B、
177,朱镕基
178,C、
179,温家宝
180,D、
181,李克强
182,我的答案：B
183,19奋达有限公司董事长对其产品的消费人群的定位是（）。1.0 分
184,A、
185,社会底层民众
186,B、
187,学生群体
188,C、
189,刚步入社会的年轻人
190,D、
191,社会高端人群
192,我的答案：D
193,20佛家讲一弹指有多少刹那？（）1.0 分
194,A、
195,9
196,B、
197,51
198,C、
199,65
200,D、
201,72
202,我的答案：C
203,21在中国，轿车的二手车销量是新车销量的几倍？（）1.0 分
204,A、
205,五分之一
206,B、
207,二分之一
208,C、
209,二
210,D、
211,五
212,我的答案：A
213,22“创业精神与实践”这门课的能量口号是（）。1.0 分
214,A、
215,传递正能量
216,B、
217,先成家后立业
218,C、
219,三十而立
220,D、
221,传递创业能量，打造创业精神
222,我的答案：D
223,23红海期货的老总谭静的专业是（）。1.0 分
224,A、
225,金融
226,B、
227,行政管理
228,C、
229,化学
230,D、
231,临床医学
232,我的答案：C
233,24吴锦珠认为创业要成功的三大要件不包括（）。1.0 分
234,A、
235,眼光独到
236,B、
237,胆识过人
238,C、
239,才气逼人
240,D、
241,毅力惊人
242,我的答案：C
243,25“保证买贵，退差价”是下列哪个公司最早提出来的行销策略？（）1.0 分
244,A、
245,沃尔玛
246,B、
247,家乐福
248,C、
249,屈臣氏
250,D、
251,麦当劳
252,我的答案：C
253,26下列三种发财方式中，哪种最好？（）1.0 分
254,A、
255,用勤奋、行为发财
256,B、
257,用目标和理想发财
258,C、
259,种种子，成为光，让自己有福报和智慧
260,D、
261,都不好
262,我的答案：C
263,27葛升认为家庭五伦中，最重要的是（）。1.0 分
264,A、
265,兄弟关系
266,B、
267,父子关系
268,C、
269,朋友关系
270,D、
271,夫妻关系
272,我的答案：D
273,28下列哪种激素能够降低女性的压力？（）1.0 分
274,A、
275,催产素
276,B、
277,肾上腺素
278,C、
279,甲状腺激素
280,D、
281,可体松
282,我的答案：A
283,29“大学之道”是谁写的？（）1.0 分
284,A、
285,孔子
286,B、
287,曾子
288,C、
289,子思
290,D、
291,颜回
292,我的答案：B
293,30在创业成长七关键中，哪个关键因素代表LC电路中的Sc？（）1.0 分
294,A、
295,沟通
296,B、
297,链接
298,C、
299,开关
300,D、
301,能量
302,我的答案：C
303,31“101目标网”的终极目标是（）。1.0 分
304,A、
305,帮助一亿人实现目标
306,B、
307,建造全世界第一个能在宇宙中时光穿梭的网站
308,C、
309,让每一个墓碑上都刻上101目标网的网址
310,D、
311,建造全世界第一个能与外星人对话的网站
312,我的答案：C
313,32上海摩道网络科技有限公司周忠庆董事长认为一个企业最大的目标是下列哪一个？（）1.0 分
314,A、
315,成为上市公司
316,B、
317,成为世界500强
318,C、
319,成为最人性化的公司
320,D、
321,成为永续存活的公司
322,我的答案：D
323,33张小林董事长在多大年纪就被评委当地的政协委员？（）1.0 分
324,A、
325,16岁
326,B、
327,19岁
328,C、
329,21岁
330,D、
331,23岁
332,我的答案：B
333,34张小林董事长早期在网上推广了金华的哪种农产品？（）1.0 分
334,A、
335,火腿
336,B、
337,茶叶
338,C、
339,小米
340,D、
341,佛手
342,我的答案：D
343,35用勤奋、行为发财的弊端不包括（）。1.0 分
344,A、
345,钱赚到了，但身体垮了
346,B、
347,无法分享，没想明白拼命干
348,C、
349,时间长了就没有激情了
350,D、
351,无法传承，子女不生钱
352,我的答案：C
353,36假设一般人有50年的有效时间，那么在阅读的时间大概是多少？1.0 分
354,A、
355,16年
356,B、
357,12年
358,C、
359,5年
360,D、
361,2年
362,我的答案：D
363,37和谐租车主打的一个口号是（）。1.0 分
364,A、
365,万城计划
366,B、
367,千城计划
368,C、
369,百城计划
370,D、
371,十城计划
372,我的答案：B
373,38华为高级行政总裁江小梅在华为工作20年里，平均多少年就轮岗一次？（）1.0 分
374,A、
375,0.8年
376,B、
377,1年
378,C、
379,1.4年
380,D、
381,3年
382,我的答案：C
383,39种子是通过三种方式种下的，其中不包括（）。1.0 分
384,A、
385,身
386,B、
387,语
388,C、
389,意
390,D、
391,布施
392,我的答案：D
393,40对于行销是否成功，必须先要问自己几个行销问题并要找到其中的答案。那么对于这些问题描述不妥当的是（）。1.0 分
394,A、
395,我拥有的资源是什么
396,B、
397,我要换什么
398,C、
399,谁需要我的资源
400,D、
401,我和他换我的附加好处是否最大
402,我的答案：D
403,41男性40岁以后血脂异常患病率的概率为多少？（）1.0 分
404,A、
405,58.5%
406,B、
407,30%
408,C、
409,28.7%
410,D、
411,70%
412,我的答案：D
413,42雍善会的核心是以什么为前提的?()1.0 分
414,A、
415,普及性知识
416,B、
417,普及养生知识
418,C、
419,普及金融知识
420,D、
421,普及环保知识和意识
422,我的答案：C
423,43上海声达木业在哪一年开始使用网络途径销售自己的产品？（）1.0 分
424,A、
425,1997年
426,B、
427,1998年
428,C、
429,2006年
430,D、
431,2007年
432,我的答案：D
433,44实践《秘密》最核心的三个步骤不包括（）。1.0 分
434,A、
435,要求
436,B、
437,付出
438,C、
439,相信
440,D、
441,接受
442,我的答案：B
443,45下列哪句话不能让男人的睾丸酮的量上升？（）1.0 分
444,A、
445,你这个想法非常棒
446,B、
447,这个蛮有道理的
448,C、
449,太棒了，太好了，你真聪明
450,D、
451,你这样做根本就不能解决问题
452,我的答案：D
453,46自行车导向系统包括哪些内容？1.0 分
454,A、
455,自我沟通
456,B、
457,目标梦想，人际沟通绩效
458,C、
459,身体和知识
460,D、
461,自我沟通绩效
462,我的答案：B
463,47陈霆远是在哪一年遇到梁凯恩，并且决定放弃原来的美容事业，和梁凯恩一起到中国大陆发展？（）1.0 分
464,A、
465,2000年
466,B、
467,2004年
468,C、
469,2007年
470,D、
471,2010年
472,我的答案：B
473,48NLP培训非常强调创业者与下列哪位人物之间的链接，因为这会决定其创业是否成功。（）0.0 分
474,A、
475,创业者的父亲
476,B、
477,创业者的母亲
478,C、
479,创业者的伙伴
480,D、
481,创业者的妻子
482,我的答案：C
483,49厨友国际香港控股有限公司董事长林海涛有下列哪种绰号?()1.0 分
484,A、
485,石斛皇后
486,B、
487,亚洲首席演说家
488,C、
489,蛋糕皇帝
490,D、
491,点石成金的策略长
492,我的答案：C
493,50陈霆远不花一毛钱环游世界的策略是以物易物，那么请问陈霆远用自己的哪种资源交换到所需的车旅费？（）1.0 分
494,A、
495,美容产品
496,B、
497,超越极限集团的股份
498,C、
499,超越极限集团的总裁课程
500,D、
501,自己的行销策略
502,我的答案：D
503,二、 判断题（题数：50，共 50.0 分）
504,1习近平主席上台后，整个国家大的环境对汽车租赁行业是非常有利的。1.0 分
505,我的答案： √
506,2人类大脑的前半部分是人类所独有的。1.0 分
507,我的答案： √
508,3
509,在创业过程中，对于情绪的喂食需要的是苦恼和沮丧而非喜悦。
510,1.0 分
511,我的答案： ×
512,4乔布斯从一出身就被父母抛弃，后来在养父的车库里成功开创了自己的第一份事业。1.0 分
513,我的答案： √
