,题目
0,一、 单选题（题数：50，共 50.0 分）
1,1、m hires这个概念是在（）圈里提出来的。0.0 分
2,A、互联网  B、医疗  C、慈善  D、教师
3,参考答案：C     我的答案：A
4,2、在中国能做健康体检的人口大概有（）。1.0 分
5,A、七个亿左右   B、五到六个亿  C、三到四个亿  D、一到两个亿
6,参考答案：D     我的答案：D
7,3、英国最大的健康险公司是()。0.0 分
8,A、保诚  B、保柏  C、安盛医疗保险公司  D、诺威治联合医疗保健公司
9,参考答案：B      我的答案：C
10,4、陆向谦教授的儿子在中国住了大概（）年。0.0 分
11,A、十年  B、八年  C、五年  D、两、三年
12,参考答案：D      我的答案：A
13,5刘强东在人大学的专业是()。1.0 分
14,A、教育学  B、计算机  C、社会学  D、营销学
15,参考答案：C      我的答案：C
16,6、产品在销售区域组织生产，然后在当地销售叫做（）。1.0 分
17,A、产品外包  B、产地销  C、销地产  D、促销
18,参考答案：C      我的答案：C
19,7、在开放文明环境地图上查找报道不能通过以下哪种方式（）。1.0 分
20,A、分类  B、时间  C、标签  D、国籍
21,参考答案：D      我的答案：D
22,8、刘强东选择文科专业的主要原因是（）。1.0 分
23,A、个人爱好  B、父母意愿  C、受高中老师影响  D、根据分数
24,参考答案：C      我的答案：C
25,9、据相关数据统计，每隔4年，人的平均寿命就增加（）年。1.0 分
26,A、.0  B、1.0  C、2.0  D、3.0
27,参考答案：B      我的答案：B
28,10、京东在广告方面线上和线下的投放比例是（）1.0 分
29,A、1:1  B、8:2  C、3:7  D、6:4
30,参考答案：D      我的答案：D
31,11、张永庆为什么被称为电影传媒第一人（）。1.0 分
32,A、第一个在电影上做广告  B、第一个做电影  C、做电影做的好  D、传媒做到第一
33,参考答案：A      我的答案：A
34,12、关于古文化与创业的关系，张永庆认为：()1.0 分
35,A、摈弃传统  B、力争创新  C、完全遵循古文化  D、应善用古文化，与时俱进
36,参考答案：D      我的答案：D
37,13、开心农场是多少个人开发的（)。1.0 分
38,A、一个人B、10个人C、三个人D、一个团队
39,参考答案：C      我的答案：C
40,14、在中国的每一辆车，排放的微粒物是欧美国家的（）倍。1.0 分
41,A、2.0    B、5.0    C、10到20   D、30.0
42,参考答案：C      我的答案：C
43,15、顺风车日是每年的（）。1.0 分
44,A、7月6号   B、6月6号   C、5月5号   D、4月5号
45,参考答案：B      我的答案：B
46,16、“不破不立”出自谁的名言。1.0 分
47,A、张永庆    B、刘少奇    C、毛泽东    D、邓小平
48,参考答案：C      我的答案：C
