,题目
0, 
1,1
2,新创企业团队磨合中最严重的冲突是：（ ）。
3,1.0 分
4,窗体顶端
5,A、
6,认知冲突
7, 
8,B、
9,情感冲突
10, 
11,C、
12,利益冲突
13, 
14,D、
15,以上都不是
16, 
17,窗体底端
18,我的答案：B
19,2
20,创业的核心是盈利。（ ）
21,1.0 分
22,窗体顶端
23,A、
24,正确
25, 
26,B、
27,错误
28, 
29,窗体底端
30,我的答案：B
31,3
32,门户网站通常采用哪一种典型的商业模式？（ ）
33,1.0 分
34,窗体顶端
35,A、
36,平台模式
37, 
38,B、
39,反刀片刀头模式
40, 
41,C、
42,版本模式
43, 
44,D、
45,刀片刀头模式
46, 
47,窗体底端
48,我的答案：A
49,4
50,关于尽职调查下列说法正确的是：（ ）。
51,1.0 分
52,窗体顶端
53,A、
54,只需要走流程
55, 
56,B、
57,需要深入企业调查
58, 
59,C、
60,审核企业提交资料
61, 
62,D、
63,天使投资也必须做尽职调查
64, 
65,窗体底端
66,我的答案：B
67,5
68,社交平台估值时通常采用（ ）。
69,1.0 分
70,窗体顶端
71,A、
72,市盈率
73, 
74,B、
75,市梦率
76, 
77,C、
78,市销率
79, 
80,D、
81,用户价值
82, 
83,窗体底端
84,我的答案：D
85,6
86,成功团队的成员的内在特征包括：（ ）。
87,1.0 分
88,窗体顶端
89,A、
90,志同道合
91, 
92,B、
93,优势相似
94, 
95,C、
96,价值观不同
97, 
98,D、
99,以自我为中心
100, 
101,窗体底端
102,我的答案：A
103,7
104,1.0 分
105,窗体顶端
106,A、
107,认知冲突
108, 
109,B、
110,利益冲突
111, 
112,C、
113,情感冲突
114, 
115,D、
116,以上都不是
117, 
118,窗体底端
119,我的答案：C
120,8
121,尽职调查主要用于下列哪项场景：（ ）。
122,1.0 分
123,窗体顶端
124,A、
125,天使投资人对于新创企业的投资
126, 
127,B、
128,风险投资人对被投资企业
129, 
130,C、
131,工商局对新创企业
132, 
133,D、
134,税务部门对纳税人
135, 
136,窗体底端
137,我的答案：B
138,9
139,1.0 分
140,窗体顶端
141,A、
142,《关于经济体制改革的决定》
143, 
144,B、
145,大学生走入社会
146, 
147,C、
148,人民币利率下降
149, 
150,D、
151,宽松货币政策
152, 
153,窗体底端
154,我的答案：A
155,10
156,围绕顾客价值的商业模式需重点关注：（ ）。
157,1.0 分
158,窗体顶端
159,A、
160,客户重复购买此书
161, 
162,B、
163,客户的强需求
164, 
165,C、
166,客户规模
167, 
168,D、
169,客户粘性
170, 
171,窗体底端
172,我的答案：B
173,11
174,商业计划书的内部使用者包括：( )。
175,1.0 分
176,窗体顶端
177,A、
178,员工
179, 
180,B、
181,创业者自己
182, 
183,C、
184,帮助者
185, 
186,D、
187,以上都是
188, 
189,窗体底端
190,我的答案：D
191,12
192,资源整合中的“步步为营”通常是指：（ ）。
193,1.0 分
194,窗体顶端
195,A、
196,创业者分阶段投入资源且在每个阶段投入最少资源
197, 
198,B、
199,逐步实现销售利润
200, 
201,C、
202,一步步占领市场
203, 
204,D、
205,逐步占领较大的市场份额
206, 
207,窗体底端
208,我的答案：A
209,13
210,企业上市的劣势不包括：( )。
211,1.0 分
212,窗体顶端
213,A、
214,上市成本高昂
215, 
216,B、
217,公司信息更透明
218, 
219,C、
220,提升公司声誉
221, 
222,D、
223,管理高度复杂化
224, 
225,窗体底端
226,我的答案：C
227,14
228,多元化发展是指：( )。
229,1.0 分
230,窗体顶端
231,A、
232,跨领域跨业务范围发展
233, 
234,B、
235,向上下游延伸发展
236, 
237,C、
238,发展更多客户
239, 
240,D、
241,跨地域发展
242, 
243,窗体底端
244,我的答案：A
245,15
246,1.0 分
247,窗体顶端
248,A、
249,是一个面向分销商的营销工具
250, 
251,B、
252,每个阶段的转化率是预测数据
253, 
254,C、
255,是对销售过程控制的重要分析工具
256, 
257,D、
258,销售漏斗的数据不需要完整
259, 
260,窗体底端
261,我的答案：C
262,16
263,水果销售连锁店跳过批发市场直接向果农收购，这样的商业模式属于（ ）。
264,1.0 分
265,窗体顶端
266,A、
267,跨越式商业模式
268, 
269,B、
270,反刀片刀头模式
271, 
272,C、
273,贯通型商业模式
274, 
275,D、
276,错位型商业模式
277, 
278,窗体底端
279,我的答案：B
280,17
281,下列选项中不能检验商业机会可行的是：（ ）。
282,1.0 分
283,窗体顶端
284,A、
285,项目有经济性，回报可观
286, 
287,B、
288,有相对的竞争优势
289, 
290,C、
291,机会窗口已经打开且持续时间较长
292, 
293,D、
294,市场调查消费者有购买意向
295, 
296,窗体底端
297,我的答案：D
298,18
299,新创企业股权分配的原则不包括：（ ）。
300,1.0 分
