,题目
0,
1,一、 单选题（题数：50，共 50.0 分）
2,1
3,TRIZ理论的来源使用的工具不包括（）。
4,1.0 分
5, 
6,    A、
7,    39*39矛盾矩阵
8,    B、
9,    40个创新原理
10,    C、
11,    演绎法则
12,    D、
13,    技术系统进化法则
14, 
15,正确答案： C 我的答案：C
16,2
17,根据报告，美国的创业者创业年龄主要集中在（）。
18,1.0 分
19, 
20,    A、
21,    20岁前
22,    B、
23,    20-35岁
24,    C、
25,    30-35岁
26,    D、
27,    35-44岁
28, 
29,正确答案： D 我的答案：D
30,3
31,我国1985年颁布的《专利法》规定的专利垄断期限是（）。
32,1.0 分
33, 
34,    A、
35,    12年
36,    B、
37,    13年
38,    C、
39,    14年
40,    D、
41,    15年
42, 
43,正确答案： D 我的答案：D
44,4
45,在九屏幕法中，位于屏幕中间的是（）。
46,1.0 分
47, 
48,    A、
49,    系统的过去
50,    B、
51,    超系统的未来
52,    C、
53,    子系统
54,    D、
55,    当前系统
56, 
57,正确答案： D 我的答案：D
58,5
59,我国创业企业倒闭率比世界平均水平（）。
60,1.0 分
61, 
62,    A、
63,    高两倍
64,    B、
65,    低两倍
66,    C、
67,    高一倍
68,    D、
69,    低一倍
70, 
71,正确答案： C 我的答案：C
72,6
73,国际标准的专利文献著录中，56对应的项目是（）。
74,1.0 分
75, 
76,    A、
77,    国家专利局名称
78,    B、
79,    参考文献
80,    C、
81,    申请号
82,    D、
83,    审查员
84, 
85,正确答案： B 我的答案：B
86,7
87,下列运用机械振动原理的是（）。
88,1.0 分
89, 
90,    A、
91,    试验中运用缓冲溶液
92,    B、
93,    降落伞设置备用伞包
94,    C、
95,    超声波清洗眼镜
96,    D、
97,    使用模具进行制造
98, 
99,正确答案： C 我的答案：C
100,8
101,以下不属于智力活动规则和方法范畴的是（）。
102,1.0 分
103, 
104,    A、
105,    编写菜谱
106,    B、
107,    疾病的诊断手册
108,    C、
109,    计算机程序
110,    D、
111,    编排字典
112, 
113,正确答案： B 我的答案：B
114,9
115,全国专利代理人资格考试每年举行一次，一般在（）月进行。
116,1.0 分
117, 
118,    A、
119,    9月
120,    B、
121,    10月
122,    C、
123,    11月
124,    D、
125,    12月
126, 
127,正确答案： C 我的答案：C
128,10
129,如果没有发明专利去创业的话需要建立一个（）为主的团队。
130,1.0 分
131, 
132,    A、
133,    产品研发
134,    B、
135,    营销或策划
136,    C、
137,    客服
138,    D、
139,    融资
140, 
141,正确答案： B 我的答案：B
142,11
143,下列不属于我国专利申请重点程序的是（）。
144,1.0 分
145, 
146,    A、
147,    申请
148,    B、
149,    再审
150,    C、
151,    无效
152,    D、
153,    复审
154, 
155,正确答案： B 我的答案：B
156,12
157,一项专利正式的国家申请需要同时取得（）和（）。
158,1.0 分
159, 
160,    A、
161,    申请日、申请号
162,    B、
163,    申请名称、申请日
164,    C、
165,    申请号、申请名称
166,    D、
167,    申请期限、申请号
168, 
169,正确答案： A 我的答案：A
170,13
171,对产品方法进行改进和完善应申请的专利类型是（）。
172,1.0 分
173, 
174,    A、
175,    实用新型
176,    B、
177,    小发明
178,    C、
179,    外观设计
180,    D、
181,    发明
182, 
183,正确答案： D 我的答案：D
184,14
185,专利申请国际化会遇到什么困难？（）
186,1.0 分
187, 
188,    A、
189,    申请国的语言障碍
190,    B、
191,    申请国的法律障碍
192,    C、
193,    申请时间问题
194,    D、
195,    以上都是
196, 
197,正确答案： D 我的答案：D
198,15
199,聚酯弹性体的制备方法属于（）。
200,1.0 分
201, 
202,    A、
203,    外观设计
204,    B、
205,    实用新型
206,    C、
207,    发明
208,    D、
209,    科学发现
210, 
211,正确答案： C 我的答案：C
212,16
213,直升机的螺旋桨工作是运用了（）原理。
214,1.0 分
215, 
216,    A、
217,    预先防范原理
218,    B、
219,    空间维数原理
220,    C、
221,    重量补偿原理
222,    D、
223,    机械振动原理
224, 
225,正确答案： C 我的答案：C
226,17
227,草坪剪草机的自锐系统运用的是（）原理。
228,1.0 分
229, 
230,    A、
231,    复制原理
232,    B、
233,    分离原理
234,    C、
235,    抽取原理
236,    D、
237,    抛弃或者再生原理
238, 
239,正确答案： D 我的答案：D
240,18
