,题目
0,一、 单选题（题数：30，共 60.0 分） 
1,1 
2,在图像增强优化中应该避免使用（）
3,2.0 分 
4,窗体顶端
5,· A、 
6,加法运算 
7,· B、 
8,减法运算 
9,· C、 
10,乘法运算 
11,· D、 
12,除法运算 
13,窗体底端
14,我的答案：D 
15,2 
16,下面不属于社交媒体营销的是（）
17,2.0 分 
18,窗体顶端
19,· A、 
20,人人网营销 
21,· B、 
22,展会营销 
23,· C、 
24,微博营销 
25,· D、 
26,微信营销 
27,窗体底端
28,我的答案：B 
29,3 
30,我国目前最大的非营利性民间环保组织是
31,2.0 分 
32,窗体顶端
33,· A、 
34,中国爱心网 
35,· B、 
36,国家地理 
37,· C、 
38,自然之友 
39,· D、 
40,幸福家园 
41,窗体底端
42,我的答案：C 
43,4 
44,魅族和小米公司成功的共同因素不包括（）
45,2.0 分 
46,窗体顶端
47,· A、 
48,寻找关键节点用户 
49,· B、 
50,赋予消费者荣誉和权力 
51,· C、 
52,追求客户完美体验 
53,· D、 
54,聚合粉丝 
55,窗体底端
56,我的答案：C 
57,5 
58,（）是德国经济发展的一个核心区
59,2.0 分 
60,窗体顶端
61,· A、 
62,底特律工业区 
63,· B、 
64,加州产业园区 
65,· C、 
66,鲁尔工业区 
67,· D、 
68,里昂工业区 
69,窗体底端
70,我的答案：C 
71,6 
72,因在牛奶中掺加三聚氰胺而破产的国内企业是（）
73,2.0 分 
74,窗体顶端
75,· A、 
76,三鹿集团 
77,· B、 
78,蒙牛公司 
79,· C、 
80,伊利公司 
81,· D、 
82,三元集团 
83,窗体底端
84,我的答案：A 
85,7 
86,2013年发生在北京的引人关注的天气事件是（）
87,2.0 分 
88,窗体顶端
89,· A、 
90,雪灾 
91,· B、 
92,雷暴 
93,· C、 
94,雾霾 
95,· D、 
96,泥石流 
97,窗体底端
98,我的答案：C 
99,8 
100,因为积极反馈和成功定位而创造餐饮行业奇迹的公司是（）
101,2.0 分 
102,窗体顶端
103,· A、 
104,海底捞 
105,· B、 
106,腾讯 
107,· C、 
108,一号店 
109,· D、 
110,京东商城 
111,窗体底端
112,我的答案：A 
113,9 
114,出自犹太民族的历史精英不包括（）
115,2.0 分 
116,窗体顶端
117,· A、 
118,爱因斯坦 
119,· B、 
120,马克思 
121,· C、 
122,冯诺依曼 
123,· D、 
124,安德鲁·卡内基 
125,窗体底端
126,我的答案：D 
127,10 
128,“五百万”有限公司主要从事（）
129,2.0 分 
130,窗体顶端
131,· A、 
132,食品加工业务 
133,· B、 
134,电信业务 
135,· C、 
136,彩票业务 
137,· D、 
138,交通运输业务 
139,窗体底端
140,我的答案：C 
141,11 
142,美国著名的纯电动车制造商是（）
143,2.0 分 
144,窗体顶端
145,· A、 
146,大众汽车公司 
147,· B、 
148,克莱斯勒汽车公司 
149,· C、 
150,特斯拉汽车公司 
151,· D、 
152,福特汽车公司 
153,窗体底端
154,我的答案：C 
155,12 
156,目的在于产生新观念或激发创新设想的无限制的自由联想和讨论是（）
157,2.0 分 
158,窗体顶端
159,· A、 
160,头脑风暴 
161,· B、 
162,逆向思维 
163,· C、 
164,云联想 
165,· D、 
166,开放平台 
167,窗体底端
168,我的答案：A 
169,13 
170,Arduino作为开源电子原型平台的优势不包括（）
171,2.0 分 
172,窗体顶端
173,· A、 
174,廉价易获得 
175,· B、 
176,具有开源社区 
177,· C、 
178,超强的编程功能 
179,· D、 
180,成本高昂 
181,窗体底端
182,我的答案：D 
183,14 
184,下面不属于物联网特征的是（）
185,2.0 分 
186,窗体顶端
187,· A、 
188,以价值增值为服务导向 
189,· B、 
190,以创造就业为创新业态 
191,· C、 
192,千人一面的网站模式 
193,· D、 
194,以沟通体验为个性定制 
195,窗体底端
196,我的答案：C 
197,15 
198,次贷危机是指由美国次级（）信贷行业违约剧增
199,2.0 分 
200,窗体顶端
201,· A、 
202,汽车行业 
203,· B、 
204,房产行业 
205,· C、 
206,石油行业 
207,· D、 
208,军工行业 
209,窗体底端
210,我的答案：B 
211,16 
212,下面属于开源电路板制作软件的是（）
213,2.0 分 
214,窗体顶端
215,· A、 
216,Cloud programming 
217,· B、 
218,Fritzing 
219,· C、 
220,Arduino 
221,· D、 
222,Zigbee 
223,窗体底端
224,我的答案：B 
225,17 
226,2011年在大地震中受损而引发核泄漏的是（）
227,2.0 分 
228,窗体顶端
229,· A、 
230,德国的比布利斯核电站 
231,· B、 
232,法国马库勒核电站 
233,· C、 
234,美国贝尔丰特核电站 
235,· D、 
236,日本福岛核电站 
237,窗体底端
238,我的答案：D 
239,18 
240,工业革命时期的现代学校起源于（）
241,2.0 分 
242,窗体顶端
243,· A、 
244,法国 
245,· B、 
246,美国 
247,· C、 
248,中国 
249,· D、 
250,德国 
251,窗体底端
252,我的答案：D 
253,19 
254,（）的前身是清政府设立的留美预备学校
255,2.0 分 
256,窗体顶端
257,· A、 
258,北京大学 
259,· B、 
260,清华大学 
261,· C、 
262,华侨大学 
263,· D、 
264,天津大学 
265,窗体底端
266,我的答案：B 
267,20 
268,用熟悉的编程方式快速构建任何一种基于云计算的应用叫做（）
269,2.0 分 
270,窗体顶端
271,· A、 
272,再编程 
273,· B、 
274,理编程 
275,· C、 
276,预编程 
277,· D、 
278,云编程 
279,窗体底端
280,我的答案：D 
281,21 
282,美国通用电器的创始人是（）
283,2.0 分 
284,窗体顶端
285,· A、 
286,爱迪生 
287,· B、 
288,洛克菲勒 
289,· C、 
290,福特 
291,· D、 
292,爱因斯坦 
293,窗体底端
294,我的答案：A 
295,22 
296,室内位置的应用场景不包括（）
297,2.0 分 
298,窗体顶端
299,· A、 
300,智能购物 
301,· B、 
302,导航 
303,· C、 
304,游戏 
305,· D、 
306,场地布置 
307,窗体底端
308,我的答案：D 
309,23 
310,蓝牙的核心架构不包括（）
311,2.0 分 
312,窗体顶端
313,· A、 
314,resource manager 
315,· B、 
316,DTM 
317,· C、 
318,inter manager 
319,· D、 
320,device manager 
321,窗体底端
322,我的答案：B 
323,24 
324,互联网的三个时代不包括（）
325,2.0 分 
326,窗体顶端
327,· A、 
328,门户时代 
329,· B、 
330,搜索时代 
331,· C、 
332,社交网站时代 
333,· D、 
334,云时代 
335,窗体底端
336,我的答案：D 
337,25 
338,开放文明环境地图主要关注的是（）
339,2.0 分 
340,窗体顶端
341,· A、 
342,经济发展 
343,· B、 
344,文化教育 
345,· C、 
346,军事前沿 
347,· D、 
348,生态现状 
349,窗体底端
350,我的答案：D 
351,26 
352,将整合网上海量信息作为自己远大目标的企业是（）
353,2.0 分 
354,窗体顶端
355,· A、 
356,苹果 
357,· B、 
358,百度 
359,· C、 
360,谷歌 
361,· D、 
362,阿里巴巴 
363,窗体底端
364,我的答案：C 
365,27 
366,由苹果公司开发的移动操作系统是
367,2.0 分 
368,窗体顶端
369,· A、 
370,Android 
371,· B、 
372,IOS 
373,· C、 
374,Symbian 
375,· D、 
376,Windows Phone 
377,窗体底端
378,我的答案：B 
379,28 
380,激光的基质材料是（）
381,2.0 分 
382,窗体顶端
383,· A、 
384,一氧化硅 
385,· B、 
386,二氧化碳 
387,· C、 
388,氢氧化钠 
389,· D、 
390,二氧化硅 
391,窗体底端
392,我的答案：D 
393,29 
394,不以赢利为目标，把创意转变为现实的人称作（）
395,2.0 分 
396,窗体顶端
397,· A、 
398,快客 
399,· B、 
400,维客 
401,· C、 
402,创客 
403,· D、 
404,播客 
405,窗体底端
406,我的答案：C 
407,30 
408,比尔·盖茨和艾伦创造了（）
409,2.0 分 
410,窗体顶端
411,· A、 
412,标准石油公司 
413,· B、 
414,微软公司 
415,· C、 
416,肯德基公司 
417,· D、 
418,可口可乐公司 
419,窗体底端
420,我的答案：B 
421,二、 判断题（题数：20，共 40.0 分） 
422,1 
423,版权问题往往反映了想法者和实践者之间的矛盾
424,2.0 分 
425,窗体顶端
426,我的答案： √ 
427,窗体底端
428,2 
429,互联网的核心和基础是物联网
430,2.0 分 
431,窗体顶端
432,我的答案： × 
433,窗体底端
434,3 
435,在目前中国的教育体制下，学生追求自己的梦想往往要担负很大的风险
436,2.0 分 
437,窗体顶端
438,我的答案： √ 
439,窗体底端
440,4 
441,小米手机开发了基于IOS平台的MIUI系统
442,2.0 分 
443,窗体顶端
444,我的答案： × 
445,窗体底端
446,5 
447,目前互联网图像数据是极大丰富的
448,2.0 分 
449,窗体顶端
450,我的答案： × 
451,窗体底端
452,6 
453,互联网让实体店重换生机
454,2.0 分 
455,窗体顶端
456,我的答案： × 
457,窗体底端
458,7 
459,目前我国高校社团在开展活动中的创新性不足
460,2.0 分 
461,窗体顶端
462,我的答案： √ 
463,窗体底端
464,8 
465,著名天使投资人薛蛮子是搜狐大V
466,2.0 分 
467,窗体顶端
468,我的答案： × 
469,窗体底端
470,9 
471,中国的应试教育多注重考试能力而忽视做事能力
472,2.0 分 
473,窗体顶端
474,我的答案： √ 
475,窗体底端
476,10 
477,云传感器是物联网时代的产物
478,2.0 分 
479,窗体顶端
480,我的答案： √ 
481,窗体底端
482,11 
483,室内位置的场景应用多于室内位置的场景应用的原因是有GPS定位系统
484,2.0 分 
485,窗体顶端
486,我的答案： × 
487,窗体底端
488,12 
489,设计产品时在产品的性能和实用方便性方面应该优先考虑产品的性能要求
490,2.0 分 
491,窗体顶端
492,我的答案： × 
493,窗体底端
494,13 
495,从某种意义上讲，问题就是创业者的机会
496,2.0 分 
497,窗体顶端
498,我的答案： √ 
499,窗体底端
500,14 
501,缠足是我国古代汉族女性的一种陋习
502,2.0 分 
503,窗体顶端
504,我的答案： √ 
505,窗体底端
506,15 
507,一定意义上来说，过度的专利保护阻碍了人类的创新
508,2.0 分 
509,窗体顶端
510,我的答案： √ 
511,窗体底端
512,16 
513,谷歌地图还不能覆盖农村范围
514,2.0 分 
515,窗体顶端
516,我的答案： × 
517,窗体底端
518,17 
519,新媒体对旧媒体的颠覆首先体现在数字上的激增
520,2.0 分 
521,窗体顶端
522,我的答案： √ 
523,窗体底端
524,18 
525,新浪、搜狐等网站的兴起实在互联网的搜索时代
526,2.0 分 
527,窗体顶端
528,我的答案： × 
529,窗体底端
530,19 
531,胡润榜被广泛认为是追踪记录中国艺术家群体变化的权威机构
532,2.0 分 
533,窗体顶端
534,我的答案： × 
535,窗体底端
536,20 
537,北京大学的校训是“自强不息，厚德载物”
538,2.0 分 
539,窗体顶端
540,我的答案： × 
541,窗体底端
542, 
543,
544,           微信公众号：琢磨俗僧
545,      Copyright  © 2016~2020 超星尔雅题库 版权所有　
546,本站所有资源均来自互联网，本站只负责收集和整理，均不承担任何法律责任，如有侵权等其它行为
547,请发邮件至：cxeytk@foxmail.com
548,
