,题目
0,1
1,开放文明环境地图主要关注的是（）
2,2.0 分
3,窗体顶端
4,A、
5,经济发展
6, 
7,B、
8,文化教育
9, 
10,C、
11,军事前沿
12, 
13,D、
14,生态现状
15, 
16,窗体底端
17,我的答案：D
18,2
19,因在牛奶中掺加三聚氰胺而破产的国内企业是（）
20,2.0 分
21,窗体顶端
22,A、
23,三鹿集团
24, 
25,B、
26,蒙牛公司
27, 
28,C、
29,伊利公司
30, 
31,D、
32,三元集团
33, 
34,窗体底端
35,我的答案：A
36,3
37,“五百万”有限公司主要从事（）
38,2.0 分
39,窗体顶端
40,A、
41,食品加工业务
42, 
43,B、
44,电信业务
45, 
46,C、
47,彩票业务
48, 
49,D、
50,交通运输业务
51, 
52,窗体底端
53,我的答案：C
54,4
55,不以赢利为目标，把创意转变为现实的人称作（）
56,2.0 分
57,窗体顶端
58,A、
59,快客
60, 
61,B、
62,维客
63, 
64,C、
65,创客
66, 
67,D、
68,播客
69, 
70,窗体底端
71,我的答案：C
72,5
73,（）的前身是清政府设立的留美预备学校
74,2.0 分
75,窗体顶端
76,A、
77,北京大学
78, 
79,B、
80,清华大学
81, 
82,C、
83,华侨大学
84, 
85,D、
86,天津大学
87, 
88,窗体底端
89,我的答案：B
90,6
91,次贷危机是指由美国次级（）信贷行业违约剧增
92,2.0 分
93,窗体顶端
94,A、
95,汽车行业
96, 
97,B、
98,房产行业
99, 
100,C、
101,石油行业
102, 
103,D、
104,军工行业
105, 
106,窗体底端
107,我的答案：B
108,7
109,美国通用电器的创始人是（）
110,2.0 分
111,窗体顶端
112,A、
113,爱迪生
114, 
115,B、
116,洛克菲勒
117, 
118,C、
119,福特
120, 
121,D、
122,爱因斯坦
123, 
124,窗体底端
125,我的答案：A
126,8
127,目的在于产生新观念或激发创新设想的无限制的自由联想和讨论是（）
128,2.0 分
129,窗体顶端
130,A、
131,头脑风暴
132, 
133,B、
134,逆向思维
135, 
136,C、
137,云联想
138, 
139,D、
140,开放平台
141, 
142,窗体底端
143,我的答案：A
144,9
145,蓝牙的核心架构不包括（）
146,2.0 分
147,窗体顶端
148,A、
149,resource manager
150, 
151,B、
152,DTM
153, 
154,C、
155,inter manager
156, 
157,D、
158,device manager
159, 
160,窗体底端
161,我的答案：B
162,10
163,2011年在大地震中受损而引发核泄漏的是（）
164,2.0 分
165,窗体顶端
166,A、
167,德国的比布利斯核电站
168, 
169,B、
170,法国马库勒核电站
171, 
172,C、
173,美国贝尔丰特核电站
174, 
175,D、
176,日本福岛核电站
177, 
178,窗体底端
179,我的答案：D
180,11
181,用熟悉的编程方式快速构建任何一种基于云计算的应用叫做（）
182,2.0 分
183,窗体顶端
184,A、
185,再编程
186, 
187,B、
188,理编程
189, 
190,C、
191,预编程
192, 
193,D、
194,云编程
195, 
196,窗体底端
197,我的答案：D
198,12
199,2013年发生在北京的引人关注的天气事件是（）
200,2.0 分
201,窗体顶端
202,A、
203,雪灾
204, 
205,B、
206,雷暴
207, 
208,C、
209,雾霾
210, 
211,D、
212,泥石流
213, 
214,窗体底端
215,我的答案：C
216,13
217,由苹果公司开发的移动操作系统是
218,2.0 分
219,窗体顶端
220,A、
221,Android
222, 
223,B、
224,IOS
225, 
226,C、
227,Symbian
228, 
229,D、
230,Windows Phone
231, 
232,窗体底端
233,我的答案：B
234,14
235,在图像增强优化中应该避免使用（）
236,2.0 分
237,窗体顶端
238,A、
239,加法运算
240, 
241,B、
242,减法运算
243, 
244,C、
245,乘法运算
246, 
247,D、
248,除法运算
249, 
250,窗体底端
251,我的答案：D
252,15
253,工业革命时期的现代学校起源于（）
254,2.0 分
255,窗体顶端
256,A、
257,法国
258, 
259,B、
260,美国
261, 
262,C、
263,中国
264, 
265,D、
266,德国
267, 
268,窗体底端
269,我的答案：D
270,16
271,下面不属于物联网特征的是（）
272,2.0 分
273,窗体顶端
274,A、
275,以价值增值为服务导向
276, 
277,B、
278,以创造就业为创新业态
279, 
280,C、
281,千人一面的网站模式
282, 
283,D、
284,以沟通体验为个性定制
285, 
286,窗体底端
287,我的答案：C
288,17
289,比尔·盖茨和艾伦创造了（）
290,2.0 分
291,窗体顶端
292,A、
293,标准石油公司
294, 
295,B、
296,微软公司
297, 
298,C、
299,肯德基公司
300, 
301,D、
302,可口可乐公司
303, 
304,窗体底端
305,我的答案：B
306,18
307,激光的基质材料是（）
308,2.0 分
309,窗体顶端
310,A、
311,一氧化硅
312, 
313,B、
314,二氧化碳
315, 
316,C、
317,氢氧化钠
318, 
319,D、
320,二氧化硅
321, 
322,窗体底端
323,我的答案：D
324,19
325,下面不属于社交媒体营销的是（）
326,2.0 分
327,窗体顶端
328,A、
329,人人网营销
330, 
331,B、
332,展会营销
333, 
334,C、
335,微博营销
336, 
337,D、
338,微信营销
339, 
340,窗体底端
341,我的答案：B
342,20
343,下面属于开源电路板制作软件的是（）
344,2.0 分
345,窗体顶端
346,A、
347,Cloud programming
348, 
349,B、
350,Fritzing
351, 
352,C、
353,Arduino
354, 
355,D、
356,Zigbee
357, 
358,窗体底端
359,我的答案：B
360,21
361,将整合网上海量信息作为自己远大目标的企业是（）
362,2.0 分
363,窗体顶端
364,A、
365,苹果
366, 
367,B、
368,百度
369, 
370,C、
371,谷歌
372, 
373,D、
374,阿里巴巴
375, 
376,窗体底端
377,我的答案：C
378,22
379,Arduino作为开源电子原型平台的优势不包括（）
380,2.0 分
381,窗体顶端
382,A、
383,廉价易获得
384, 
385,B、
386,具有开源社区
387, 
388,C、
389,超强的编程功能
390, 
391,D、
392,成本高昂
393, 
394,窗体底端
395,我的答案：D
396,23
397,互联网的三个时代不包括（）
398,2.0 分
399,窗体顶端
400,A、
401,门户时代
402, 
403,B、
404,搜索时代
405, 
406,C、
407,社交网站时代
408, 
409,D、
410,云时代
411, 
412,窗体底端
413,我的答案：D
414,24
415,魅族和小米公司成功的共同因素不包括（）
416,2.0 分
417,窗体顶端
418,A、
419,寻找关键节点用户
420, 
421,B、
422,赋予消费者荣誉和权力
423, 
424,C、
425,追求客户完美体验
426, 
427,D、
428,聚合粉丝
429, 
430,窗体底端
431,我的答案：C
432,25
433,因为积极反馈和成功定位而创造餐饮行业奇迹的公司是（）
434,2.0 分
435,窗体顶端
436,A、
437,海底捞
438, 
439,B、
440,腾讯
441, 
442,C、
443,一号店
444, 
445,D、
446,京东商城
447, 
448,窗体底端
449,我的答案：A
450,26
451,美国著名的纯电动车制造商是（）
452,2.0 分
453,窗体顶端
454,A、
455,大众汽车公司
456, 
457,B、
458,克莱斯勒汽车公司
459, 
460,C、
461,特斯拉汽车公司
462, 
463,D、
464,福特汽车公司
465, 
466,窗体底端
467,我的答案：C
468,27
469,出自犹太民族的历史精英不包括（）
470,2.0 分
471,窗体顶端
472,A、
473,爱因斯坦
474, 
475,B、
476,马克思
477, 
478,C、
479,冯诺依曼
480, 
481,D、
482,安德鲁·卡内基
483, 
484,窗体底端
485,我的答案：D
486,28
487,我国目前最大的非营利性民间环保组织是
488,2.0 分
489,窗体顶端
490,A、
491,中国爱心网
492, 
493,B、
494,国家地理
495, 
496,C、
497,自然之友
498, 
499,D、
500,幸福家园
501, 
502,窗体底端
503,我的答案：C
504,29
505,室内位置的应用场景不包括（）
506,2.0 分
507,窗体顶端
508,A、
509,智能购物
510, 
511,B、
512,导航
513, 
514,C、
515,游戏
516, 
517,D、
518,场地布置
519, 
520,窗体底端
521,我的答案：D
522,30
523,（）是德国经济发展的一个核心区
524,2.0 分
525,窗体顶端
526,A、
527,底特律工业区
528, 
529,B、
530,加州产业园区
531, 
532,C、
533,鲁尔工业区
534, 
535,D、
536,里昂工业区
537, 
538,窗体底端
539,我的答案：C
540,1
541,胡润榜被广泛认为是追踪记录中国艺术家群体变化的权威机构
542,2.0 分
543,窗体顶端
544,我的答案： ×
545,窗体底端
546,2
547,互联网让实体店重换生机
548,2.0 分
549,窗体顶端
550,我的答案： ×
551,窗体底端
552,3
553,谷歌地图还不能覆盖农村范围
554,2.0 分
555,窗体顶端
556,我的答案： ×
557,窗体底端
558,4
559,从某种意义上讲，问题就是创业者的机会
560,2.0 分
561,窗体顶端
562,我的答案： √
563,窗体底端
564,5
565,新媒体对旧媒体的颠覆首先体现在数字上的激增
566,2.0 分
567,窗体顶端
568,我的答案： √
569,窗体底端
570,6
571,互联网的核心和基础是物联网
572,2.0 分
573,窗体顶端
574,我的答案： ×
575,窗体底端
576,7
577,目前我国高校社团在开展活动中的创新性不足
578,2.0 分
579,窗体顶端
580,我的答案： √
581,窗体底端
582,8
583,一定意义上来说，过度的专利保护阻碍了人类的创新
584,2.0 分
585,窗体顶端
586,我的答案： √
587,窗体底端
588,9
589,设计产品时在产品的性能和实用方便性方面应该优先考虑产品的性能要求
590,2.0 分
591,窗体顶端
592,我的答案： ×
593,窗体底端
594,10
595,云传感器是物联网时代的产物
596,2.0 分
597,窗体顶端
598,我的答案： √
599,窗体底端
600,11
601,新浪、搜狐等网站的兴起实在互联网的搜索时代
602,2.0 分
603,窗体顶端
604,我的答案： ×
605,窗体底端
606,12
607,目前互联网图像数据是极大丰富的
608,2.0 分
609,窗体顶端
610,我的答案： ×
611,窗体底端
612,13
613,在目前中国的教育体制下，学生追求自己的梦想往往要担负很大的风险
614,2.0 分
615,窗体顶端
616,我的答案： √
617,窗体底端
618,14
619,版权问题往往反映了想法者和实践者之间的矛盾
620,2.0 分
621,窗体顶端
622,我的答案： √
623,窗体底端
624,15
625,中国的应试教育多注重考试能力而忽视做事能力
626,2.0 分
627,窗体顶端
628,我的答案： √
629,窗体底端
630,16
631,著名天使投资人薛蛮子是搜狐大V
632,2.0 分
633,窗体顶端
634,我的答案： ×
635,窗体底端
636,17
637,缠足是我国古代汉族女性的一种陋习
638,2.0 分
639,窗体顶端
640,我的答案： √
641,窗体底端
642,18
643,室内位置的场景应用多于室内位置的场景应用的原因是有GPS定位系统
644,2.0 分
645,窗体顶端
646,我的答案： ×
647,窗体底端
648,19
649,北京大学的校训是“自强不息，厚德载物”
650,2.0 分
651,窗体顶端
652,我的答案： ×
653,窗体底端
654,20
655,小米手机开发了基于IOS平台的MIUI系统
656,2.0 分
657,窗体顶端
658,我的答案： ×
659,窗体底端
660, 
661,           微信公众号：琢磨俗僧
662,      Copyright  © 2016~2020 超星尔雅题库 版权所有　
663,本站所有资源均来自互联网，本站只负责收集和整理，均不承担任何法律责任，如有侵权等其它行为
664,请发邮件至：cxeytk@foxmail.com
665,
