,题目
0,一、 单选题（题数：50，共 50.0 分）
1,1
2,（）不是西汉时期的国防政策。
3,1.0 分
4,窗体顶端
5,ØA、
6,汉匈和亲，文武并用
7,ØB、
8,固边以防，出击匈奴
9,ØC、
10,南征百越，设立郡县
11,ØD、
12,屯田耕守，赏功罚过
13,窗体底端
14,正确答案： C 我的答案：C
15,2
16,F-117隐身飞机受（）的限制其形状表现的比较特别。
17,1.0 分
18,窗体顶端
19,ØA、
20,隐身材料
21,ØB、
22,飞行动力
23,ØC、
24,飞行速度
25,ØD、
26,飞行高度
27,窗体底端
28,正确答案： A 我的答案：A
29,3
30,我国航空事业发展史上首次载人的宇宙飞船是（）。
31,1.0 分
32,窗体顶端
33,ØA、
34,神舟六号
35,ØB、
36,神舟五号
37,ØC、
38,神舟四号
39,ØD、
40,神舟三号
41,窗体底端
42,正确答案： B 我的答案：B
43,4
44,直升机的前后飞行由（）调整旋翼轴的方向进行控制。
45,0.0 分
46,窗体顶端
47,ØA、
48,导航系统
49,ØB、
50,方向舵
51,ØC、
52,控制杆
53,ØD、
54,以上答案均正确
55,窗体底端
56,正确答案： C 我的答案：D
57,5
58,前苏联于（）第一次成功发射了载人飞船“东方号”。
59,1.0 分
60,窗体顶端
61,ØA、
62,1932年
63,ØB、
64,1947年
65,ØC、
66,1961年
67,ØD、
68,1983年
69,窗体底端
70,正确答案： C 我的答案：C
71,6
72,以下（）不属于梁式飞机机翼结构的构成部分。
73,1.0 分
74,窗体顶端
75,ØA、
76,铆钉
77,ØB、
78,翼梁
79,ØC、
80,翼肋
81,ØD、
82,纵墙
83,窗体底端
84,正确答案： A 我的答案：A
85,7
86,以下（）不是直升机的旋桨类型。
87,1.0 分
88,窗体顶端
89,ØA、
90,三旋翼横列
91,ØB、
92,单旋翼
93,ØC、
94,双旋翼共轴
95,ØD、
96,双旋翼交叉
97,窗体底端
98,正确答案： A 我的答案：A
99,8
100,以下（）不属于飞机的主操纵面。
101,1.0 分
102,窗体顶端
103,ØA、
104,升降舵
105,ØB、
106,主翼
107,ØC、
108,方向舵
109,ØD、
110,副翼
111,窗体底端
112,正确答案： B 我的答案：B
113,9
