,题目
0,满分：100.0
1,窗体顶端
2,窗体底端
3,
4,一、单选题
5,
6,1
7,下面哪一位是美国首位黑人总统：（）
8,ØA、
9,华盛顿
10,ØB、
11,奥巴马
12,ØC、
13,杰斐逊
14,ØD、
15,尼克松
16,我的答案：B
17,2
18,下面对赫鲁晓夫改革的评价表达不正确的一项是：（）
19,ØA、
20,否定“个人崇拜”
21,ØB、
22,降低了人民生活
23,ØC、
24,平反了大量冤假错案
25,ØD、
26,以上都不对
27,我的答案：B
28,3
29,关于《中美上海公报》，不正确的是：（）
30,ØA、
31,双方声明不应在亚洲太平洋地区谋求霸权
32,ØB、
33,双方反对其他国家或国家集团建立这种霸权的努力
34,ØC、
35,中方声明：决不做超级大国
36,ØD、
37,中方不反对任何霸权主义和强权政治
38,我的答案：C
39,4
40,“战争引起革命”，1905年革命的导火索是什么：（）
41,ØA、
42,流血星期日
43,ØB、
44,萨拉热窝事件
45,ØC、
46,德军闪击波兰
47,ØD、
48,苏联的雄起
49,我的答案：A
50,5
51,下面哪一位苏联领导人提出了“加速战略”：（）
52,ØA、
53,列宁
54,ØB、
55,戈尔巴乔夫
56,ØC、
57,勃列日涅夫
58,ØD、
59,斯大林
60,我的答案：B
61,6
62,国社党的音译是下面哪一项：（）
63,ØA、
64,理想
65,ØB、
66,自由
67,ØC、
68,苏维埃
69,ØD、
70,纳粹
71,我的答案：D
72,7
73,日本《昭和六年度形势判断》提出解决满洲问题的三个步骤不包括下面哪一项：（）
74,ØA、
75,直接收归日本
76,ØB、
77,建立一个倾日本的政权
78,ØC、
79,建立一个独立的国家
80,ØD、
81,并入日本
82,我的答案：A
83,8
84,日本小说《失乐园》的作者是下面哪一位：（）
85,ØA、
86,三岛由纪夫
87,ØB、
88,渡边淳一
89,ØC、
90,田村正和
91,ØD、
92,黑木瞳
93,我的答案：B
94,9
95,《就业利息和货币通论》的作者是下面哪一位：（）
96,ØA、
97,凯恩斯
98,ØB、
99,亚当斯密
100,ØC、
101,哈耶克
102,ØD、
103,尼采
104,我的答案：A
105,10
106,西方国家的政府组织形式主要有下面哪两种：（）
107,ØA、
108,议会内阁制；独裁制
109,ØB、
110,民主制；内阁制
111,ØC、
112,议会内阁制；总统制
113,ØD、
114,总统制；人民代表大会制
115,我的答案：C
116,11
117,《大众哲学》的作者是（）。
118,ØA、
119,郭沫若
120,ØB、
121,李嘉诚
122,ØC、
123,艾思奇
124,ØD、
125,马克思
126,我的答案：C
127,12
128,美国有关战后朝鲜安排政策经历的三个阶段，以下不正确的是：（）
129,ØA、
130,1945年5月大战即将结束时美国统治层意见分歧
131,ØB、
132,1904年日俄战争时期的俄国的战败
133,ØC、
134,1945年7月16日“试管合金”试验成功后，美国统治层意见分歧
135,ØD、
136,1945年8月美国在广岛、长崎扔下原子弹后的最终抉择19:57
137,我的答案：D
138,13
139,下面哪一位是美国的首任总统：（）
140,ØA、
141,杜鲁门
142,ØB、
143,肯尼迪
144,ØC、
145,华盛顿
146,ØD、
147,威尔逊
148,我的答案：C
149,14
150,地缘政治学的奠基之作不包括以下哪一项：（）
151,ØA、
152,《国家空间的成长法则》
153,ØB、
154,《政治地理学》
155,ØC、
156,《作为国民巨大源泉的海洋》
157,ØD、
158,《科学的政治学》
159,我的答案：D
160,15
161,下面哪一项是“犹太人”的意思：（）
162,ØA、
163,王的继承人
164,ØB、
165,王国的移民
166,ØC、
167,聪明的王子
168,ØD、
169,精明的商人
170,我的答案：B
171,16
172,日本的第一条铁路建成于下面哪一年：（）
173,ØA、
174,1872年
175,ØB、
176,1873年
177,ØC、
178,1874年
179,ØD、
180,1875年
181,我的答案：A
182,17
183,下面哪一项是《马赛曲》的原名：（）
184,ØA、
185,《苏维埃万岁》
186,ØB、
187,《牢不可破的联盟》
188,ØC、
189,《天佑女王》
190,ØD、
191,《莱茵军战歌》
192,我的答案：D
193,18
194,2月革命后，列宁于1917年4月17日在塔夫利达宫布尔什维克会议上作了一份报告，该报告于4月20日在《真理报》上刊载。这份报告是：（）
195,ØA、
196,《告工人士兵和农民书》
197,ØB、
198,《和平法令》
199,ØC、
200,《土地法令》
201,ØD、
202,《论无产阶级在这次革命中的任务》
203,我的答案：D
204,19
205,希伯来王国于公元前928年分裂为几个王国：（）
206,ØA、
207,5.0
208,ØB、
209,4.0
210,ØC、
211,3.0
212,ØD、
213,2.0
214,我的答案：D
215,20
216,《轴心国条约》是下面哪三国签订的：（）
217,ØA、
218,美日意
219,ØB、
220,日俄德
221,ØC、
222,日德意
223,ØD、
224,法美意
225,我的答案：C
226,21
227,有关巴尔干范围的三种说法，不包括下面哪一项：（）
228,ØA、
229,东亚说
230,ØB、
231,核心说
232,ØC、
233,东南欧说
234,ØD、
235,六国说
236,我的答案：A
237,22
238,明治政府于1871年7月将大学改为下面哪一项：（）
239,ØA、
240,教育部
241,ØB、
242,文学院
243,ØC、
244,文部省
245,ØD、
246,文化部
247,我的答案：C
248,23
249,了解历史的几个层面不包括下面哪一项：（）
250,ØA、
251,历史过程
252,ØB、
253,文明过程
254,ØC、
255,文化运动
256,ØD、
257,领袖精神
258,我的答案：D
259,24
260,《白银资本》的作者是下面哪一位：（）
261,ØA、
262,列宁
263,ØB、
264,贡德弗兰克
265,ØC、
266,斯宾格勒
267,ØD、
268,恩格斯
269,我的答案：B
270,25
271,LT贸易中的“L”指的是下面哪一位：（）
272,ØA、
273,李鹏
274,ØB、
275,刘源
276,ØC、
277,李源潮
278,ØD、
279,廖承志
280,我的答案：D
281,26
282,苏共二十大召开于下面哪一年：（）
283,ØA、
284,1956年
285,ØB、
286,1957年
