,题目
0,
1,一、 单选题（题数：50，共 50.0 ） 
2,1
3,希腊自然哲学三杰不包括。
4,A、
5,泰勒斯 
6,B、
7,阿那克西曼德 
8,C、
9,阿那克萨哥拉 
10,D、
11,阿那克西米尼 
12,我的答案：C 
13,2
14,为了弥补英法战争造成的法国国库空虚提出向教士们征税。
15, 
16,A、
17,约翰二世 
18,B、
19,腓力四世 
20,C、
21,腓力六世 
22,D、
23,卜尼法斯八世 
24,我的答案：B 
25,3
26,骑士文学反映的是骑士精神，一般指哪个阶层的人员？
27, 
28,A、
29,骑士阶层 
30,B、
31,贵族阶层 
32,C、
33,国王 
34,D、
35,以上都是 
36,我的答案：D 
37,4
38,教皇动员欧洲内部进行十字军东征。
39, 
40,A、
41,格利哥里七世 
42,B、
43,亨利四世 
44,C、
45,乌尔班二世 
46,D、
47,卜尼法斯八世 
48,我的答案：C 
49,5
50,是最早开始迫害基督徒的古罗马皇帝。
51, 
52,A、
53,奥托 
54,B、
55,高卢士 
56,C、
57,尼禄 
58,D、
59,君士坦丁 
60,我的答案：C 
61,6
62,启蒙运动的启蒙指的是。
63, 
64,A、
65,重视科学的发展 
66,B、
67,反抗基督教神学 
68,C、
69,开启人们的理性 
70,D、
71,继续走文艺复兴的道路 
72,我的答案：C 
73,7
74,仍然保留了天主教的教会阶层。
75, 
76,A、
77,福音会 
78,B、
79,加尔文教 
80,C、
81,路德教 
82,D、
83,安立甘宗 
84,我的答案：D 
85,8
86,英国1640年资产阶级革命爆发于统治期间。
87, 
88,A、
89,伊丽莎白一世 
90,B、
91,詹姆士一世 
92,C、
93,查理一世 
94,D、
95,查理二世 
96,我的答案：C 
97,9
98,中世纪西欧封建社会最小的单位是。
99, 
100,A、
101,封建主直领地 
102,B、
103,采邑 
104,C、
105,庄园 
106,D、
107,村庄 
108,我的答案：C 
109,10
110,认为“基督耶稣有两个，一个是作为神的基督，一个是作为人的耶稣”的是。
111, 
112,A、
113,阿利乌异端 
114,B、
115,阿波利拿里 
116,C、
117,聂斯脱利 
118,D、
119,一性论派 
120,我的答案：C 
121,11
122,罗马公教与希腊正教正式公开决裂是在。
123, 
124,A、
125,东罗马帝国被土耳其人占领 
126,B、
127,1054年 
128,C、
129,西罗马帝国被日耳曼民族占领 
130,D、
131,四次大公会议之后 
132,我的答案：B 
133,12
134,封建农奴与封建主之间的关系是。
135, 
136,A、
137,土地依附关系 
138,B、
139,人身依附关系 
140,C、
141,财产依附关系 
142,D、
143,思想依附关系 
144,我的答案：A 
145,13
146,德国“教随国定”的原则承认的教派包括。
147, 
148,A、
149,加尔文教 
150,B、
151,安立甘宗 
152,C、
153,福音会 
154,D、
155,路德教 
156,我的答案：D 
157,14
158,查理曼去世后，他的三个子孙通过《凡尔登条约》把查理曼帝国为三个部，不包括。
159, 
160,A、
161,东法兰克王国 
162,B、
163,中法兰克王国 
164,C、
165,西法兰克王国 
166,D、
167,北法兰克王国 
168,我的答案：D 
169,15
170,第次十字军东征进一步加深了西方天主教徒与东方东正教徒之间的矛盾。
171, 
172,A、
173,二 
174,B、
175,三 
176,C、
177,四 
178,D、
179,五 
180,我的答案：C 
181,16
182,骑士精神最原始的表现是。
183, 
184,A、
185,对上帝的虔诚 
186,B、
187,对世俗首领的忠诚 
188,C、
189,对女士的浪漫爱情 
190,D、
191,勇敢 
192,我的答案：B 
193,17
194,基督教最初传到罗马帝国时，只被接受。
195, 
196,A、
197,公民 
198,B、
199,下层人民 
200,C、
201,贵族 
202,D、
203,皇族 
204,我的答案：B 
205,18
206,罗马天主教会统治下，想成为神职人员要发三个誓愿，其中不包括。
207,
208, 
209,A、
210,贫穷 
211,B、
212,赎罪 
213,C、
214,贞洁 
215,D、
216,顺从 
217,我的答案：B 
218,19
219,德国启蒙运动的特点是。
220, 
221,A、
222,在宗教信仰的幌子下来充实理性 
223,B、
224,用理性彻底否定信仰 
225,C、
226,强调自然神论 
227,D、
228,在理性与宗教虔诚之间达成妥协 
229,我的答案：D 
230,20
231,提出了逻各斯的概念。
232, 
233,A、
234,斐洛 
235,B、
236,赫拉克利特 
237,C、
238,奥尔弗斯 
239,D、
