,题目
0,1
1,魏玛宪法正式生效的时间是（）。（1.0分）
2,1.0分
3,窗体顶端
4,A、
5,1917年
6,
7,B、
8,1918年
9,
10,C、
11,1919年
12,
13,D、
14,1920年
15,
16,窗体底端
17,我的答案：C
18,2
19,妇女的就业率在魏玛共和国时代的发展趋势是：（）。（1.0分）
20,1.0分
21,窗体顶端
22,A、
23,上升
24,
25,B、
26,下降
27,
28,C、
29,忽上忽下
30,
31,D、
32,无规律
33,
34,窗体底端
35,我的答案：A
36,3
37,下列选项中，是纳粹德国用来恢复经济的活动的是（）。（1.0分）
38,1.0分
39,窗体顶端
40,A、
41,恢复经济
42,
43,B、
44,扩充军备
45,
46,C、
47,扩展土地
48,
49,D、
50,以上都是
51,
52,窗体底端
53,我的答案：D
54,4
55,下列属于传统权力精英组成部分的是：（）。（1.0分）
56,1.0分
57,窗体顶端
58,A、
59,毛奇家族
60,
61,B、
62,瓦尔堡家族
63,
64,C、
65,担任过第三帝国部长和外交家的人员
66,
67,D、
68,以上都是
69,
70,窗体底端
71,我的答案：D
72,5
73,福利制度顺利发展的必要前提是（）。（1.0分）
74,1.0分
75,窗体顶端
76,A、
77,国家领土的扩张
78,
79,B、
80,人口结构优化
81,
82,C、
83,政治民主化
84,
85,D、
86,经济的稳定增长
87,
88,窗体底端
89,我的答案：D
90,6
91,德国政党政治体系的稳定性归因于：（）。（1.0分）
92,1.0分
93,窗体顶端
94,A、
95,政党选民社会环境的一致性
96,
97,B、
98,单一政党性质
99,
100,C、
101,国家控制的强制性
102,
103,D、
104,人才结构的一致性
105,
106,窗体底端
107,我的答案：A
108,7
109,悲观型学者通过流亡，表达了他们对现政权一种什么样的态度？（）（1.0分）
110,0.0分
111,窗体顶端
112,A、
113,赞美
114,
115,B、
116,支持
117,
118,C、
119,否定
120,
121,D、
122,不予评论
123,
124,窗体底端
125,我的答案：D
126,8
127,美国主义的神话结束的标志是（）。（1.0分）
128,1.0分
129,窗体顶端
130,A、
131,美国次贷危机的爆发
132,
133,B、
134,第一次世界大战的爆发
135,
136,C、
137,1929年世界性经济大危机的爆发
138,
139,D、
140,第二次世界大战的爆发
141,
142,窗体底端
143,我的答案：C
144,9
145,德意志驱逐犹太人的第一步是：（）。（1.0分）
146,1.0分
147,窗体顶端
148,A、
149,政治隔离
150,
151,B、
152,经济打击
153,
154,C、
155,将犹太人从国家公职的岗位上清除
156,
157,D、
