,题目
0,100分
1,
2,一、单选题
3,
4,1 
5,积极情绪与（）有关。
6,A、 
7,过去 
8,B、 
9,现在 
10,C、 
11,将来 
12,D、 
13,以上都是 
14,我的答案：D 
15,2 
16,在马斯洛的需要层次理论中，最低层次的需求是（）。
17,A、 
18,安全需求 
19,B、 
20,生理需求 
21,C、 
22,尊重需要 
23,D、 
24,爱和归属需要 
25,我的答案：B 
26,3 
27,为了提升幸福，我们不应该（）。
28,A、 
29,表达感恩之情 
30,B、 
31,想象未来最好的自己 
32,C、 
33,享受生活之美 
34,D、 
35,攀比、多虑 
36,我的答案：D 
37,4 
38,下列说法中不正确的是（）。
39,A、 
40,法国经济学家约翰·纳什对博弈论研究颇有建树 
41,B、 
42,幸福并不完全跟财富有关 
43,C、 
44,研究发现，个体支持利用度对正向情感和负向情感几乎没有关系 
45,D、 
46,目前中国对产业工人的需求依然很大 
47,我的答案：C 
48,5 
49,研究结果发现，幸福的人比那些不幸福的人取得（）。
50,A、 
51,更好的评价但是更低的报酬 
52,B、 
53,更低的评价和更低的报酬 
54,C、 
55,更好的评价和更高的报酬 
56,D、 
57,更低的评价和更高的报酬 
58,我的答案：C 
59,6 
60,雕塑作品《大卫》是（）的作品。
61,A、 
62,罗丹 
63,B、 
64,亨利·摩尔 
65,C、 
66,米开朗基罗 
67,D、 
68,米隆 
69,我的答案：C 
70,7 
71,下列说法不正确的是（）。
72,A、 
73,由于传统文化的影响，中国人待人待物往往缺乏赞扬 
74,B、 
75,一个人积极情感体验多，那么他的幸福感一定也高 
76,C、 
77,中国的80、90后青年对物质幸福的体验更少，因为物质要求太容易满足 
78,D、 
79,在保罗·萨缪尔森看来，幸福就是效用与欲望的比值 
80,我的答案：B 
81,8 
82,在北美的研究表明，有宗教信仰的人比无信仰的更幸福，原因不包括（）。
83,A、 
84,宗教信仰让人发现生活的意义 
85,B、 
86,宗教仪式会带人进入一种神秘超越的状态 
87,C、 
88,定期参加宗教活动能让人获得社会支持 
89,D、 
90,宗教经常是与生理、心理上更为健康的生活方式联系在一起的 
91,我的答案：B 
92,9 
93,以下哪部是叔本华的著作？（）
94,A、 
95,《作为意志和表象的世界》 
96,B、 
97,《超越唯乐原则》 
98,C、 
99,《悲剧的诞生》 
100,D、 
101,《理想国》 
102,我的答案：A 
103,10 
104,当代的积极心理学对幸福的理解包括三要素，是（）。
105,A、 
106,快乐、参与、意义感 
107,B、 
108,快乐、认知、意义感 
109,C、 
110,满足、参与、意义感 
111,D、 
112,满足、参与、价值感 
113,我的答案：A 
114,11 
115,主观幸福感的三个指标是（）。
116,A、 
117,积极情感、消极情感、物质生活满意度 
118,B、 
119,积极情感、情感满意度、物质生活满意度 
120,C、 
121,积极情感、消极情感、生活满意度 
122,D、 
123,情感满意度、消极情感、生活满意度 
124,我的答案：C 
125,12 
126,消除消极故事的方式是（）。
127,A、 
128,倾诉 
129,B、 
130,置之不理 
131,C、 
132,积极幻想 
133,D、 
134,争论真假 
135,我的答案：D 
136,13 
137,下列说法中错误的是（）。
138,A、 
139,好的天气会带来积极的情绪 
140,B、 
141,工作满意度与幸福有中等程度的相关 
142,C、 
143,对监狱里的服刑人员来说，学习一项技能是非常重要的 
144,D、 
145,学历越高，对就业的帮助越大 
146,我的答案：D 
147,14 
148,在艾里斯的ABCD理论中，B是指（）。
149,A、 
