,题目
0,
1,一、 单选题（题数：60，共 60.0 分）
2,1关于琥珀与蜜蜡的说法中，不正确的是（）。（1.0分）1.0 分
3,A、琥珀比蜜蜡珍贵B、蜜蜡的形成难度大于琥珀C、相对来说，琥珀的价格低于蜜蜡D、琥珀与蜜蜡在实质上是一种东西
4,2在西藏，被称为“西天瑶池”的湖泊是（）。（1.0分）1.0 分
5,A、玛旁雍错B、纳木错C、当惹雍错D、拉昂错
6,3沿川藏路行驶，拉萨与林芝的分界线是（）。（1.0分）1.0 分
7,A、邦杰唐草原B、米拉山口C、太昭古城D、唐古拉山
8,4为广大网友解决网络课问题的是（）（1.0分）1.0 分
9,A、20932+ B、02559 C、扣扣 D、百度
10,5甘肃省的（）是藏区的6大皇家寺庙之一。（）（1.0分）1.0 分
11,A、小昭寺B、拉卜楞寺C、大昭寺D、色拉寺
12,5在参观布达拉宫时，下面哪一样物品是可以带进去的呢？（）（1.0分）1.0 分
13,A、矿泉水B、打火机C、氧气D、小于50ml的防晒霜
14,6在西藏建造的首个佛寺是（）。（1.0分）1.0 分
15,A、小昭寺B、大昭寺C、桑耶寺D、龙塘卓玛寺
16,8西藏最大的牧业区是（）。（1.0分）1.0 分
17,A、林芝B、昌都C、那曲D、拉萨
18,9下列哪种物品不是巴河镇的特产？（）（1.0分）1.0 分
19,A、松茸B、青冈菌C、艾玛土豆D、蕨菜
20,9川藏线与滇藏线在哪儿交会？（）（1.0分）1.0 分
21,A、西藏的满康B、西藏的拉萨C、云南的迪庆D、西藏的林芝
22,10可以欣赏藏羚羊、丹顶鹤、野驴的进藏路线是（）。（1.0分）1.0 分
23,A、青藏线B、川藏线C、新藏线D、滇藏线
24,11在大昭寺内，哪个殿堂是专门接受没有献完的哈达作为供奉的呢？（）（1.0分）1.0 分
25,A、释迦摩尼殿堂B、白度母殿C、神羊殿D、许愿殿
26,12关于四大天王中的“多闻天王”，下列描述中正确的一项是（）。（1.0分）1.0 分
27,A、手上持有琵琶B、身体呈现蓝色C、左手握吐财宝鼠D、右手持有宝塔
28,13在西藏自治区的6个地区中，号称“世界屋脊的屋脊”的是（）。（1.0分）1.0 分
29,A、那曲地区B、日喀则地区C、阿里地区D、林芝地区
30,14湖泊、高山处经常会挂满经幡的原因不包括（）。（1.0分）1.0 分
31,A、是出门在外的人祈求当地的神保佑B、表达一种美好的祈愿与祝福C、休憩时的一种娱乐活动D、带给人一种精神寄托
32,15世界上海拔最高的咸水湖是（）。（1.0分）1.0 分
33,A、羊卓雍湖B、纳木错C、玛旁雍错D、拉姆纳错
34,16那曲旅游最好的月份是（）。（1.0分）1.0 分
35,A、5月B、8月C、9月D、10月
36,17昌珠寺的镇寺之宝是（）。（1.0分）1.0 分
37,A、松赞干布的画像B、弥勒佛像C、珍珠唐卡《珍珠观音菩萨憩室图》D、佛祖释迦牟尼像
38,18藏族人所称之为的“觉卧佛像”是佛祖多少岁的金质等身像呢？（）（1.0分）1.0 分
39,A、5岁B、8岁C、12岁D、25岁
40,19关于米林机场，下列的说法正确的是（）。（1.0分）1.0 分
41,A、米林机场位于四川境内B、米林机场的主要航班是重庆到拉萨航线。C、米林机场是西藏海拔最低的机场。D、米林机场是西藏最大的机场。
42,20西藏五世达赖出生的地方是（）。（1.0分）1.0 分
43,A、乃东B、贡嘎C、琼结D、扎囊
44,21关于大昭寺的主供佛的说法中不正确的是（）。（1.0分）1.0 分
45,A、大昭寺最初的主供佛是八岁释迦牟尼金质等身像B、在松赞干布时期的大昭寺供奉的是佛祖的八岁金质等身像C、金城公主进藏后，大昭寺主供奉的佛像为十二岁金质等身像D、文成公主进藏后，大昭寺主供奉的佛像为十二岁金质等身像
46,22在羊八井地热温泉，你不能做下列哪件事情呢？（）（1.0分）1.0 分
47,A、泡露天温泉B、参观冲天的地热景象C、足疗按摩D、捡贝壳
48,23在600年前，渡过拉萨河、雅鲁藏布江等河流时的交通工具是（）。（1.0分）1.0 分
49,A、牛皮船B、火车C、汽车D、轮船
50,24关于班禅额尔德尼的说法中，不正确的是（）。（1.0分）1.0 分
51,A、是西藏的第十世班禅B、在1989年圆寂C、为国家与民族做出了杰出贡献D、是西藏历史上唯一单独修建灵塔的班禅
52,25在历代班禅达赖圆寂后，高僧进行观湖，预测转世活佛的地方是（）。（1.0分）1.0 分
53,A、拉姆拉措B、纳木错C、羊卓雍湖D、达宗湖
54,26藏面的标准搭配是（）。（1.0分）1.0 分
55,A、藏面+酸菜B、藏面+酸萝卜+甜茶(酥油茶)C、藏面+咸菜D、藏面+甜萝卜
