,题目
0,
1,
2,一、 单选题（题数：50，共50.0分）
3,1
4,在中国的道家里边，谁是可以做真人的？（1.0分）
5,1.0分
6,窗体顶端
7,ØA、
8,道德高尚的人
9,ØB、
10,中层阶级
11,ØC、
12,上层阶级
13,ØD、
14,任何人
15,窗体底端
16,正确答案： D我的答案：D
17,2
18,以下说法正确的是？（1.0分）
19,1.0分
20,窗体顶端
21,ØA、
22,被雇佣者的幸福决定了雇佣者的需求
23,ØB、
24,资本主义社会生产中人通常扮演着一种工具的角色
25,ØC、
26,才华能够给人带来一切认同
27,ØD、
28,主体性的思考不利于社会的发展
29,窗体底端
30,正确答案： B我的答案：B
31,3
32,以下属于萨特在资本主义社会中成名的主要原因是？（1.0分）
33,1.0分
34,窗体顶端
35,ØA、
36,他以易懂的方式揭露社会的弊病
37,ØB、
38,他既接受马克思主义又反对马克思主义的核心部分
39,ØC、
40,他并不反对资本主义社会制度
41,ØD、
42,以上说法都正确
43,窗体底端
44,正确答案： D我的答案：D
45,4
46,《少年中国说》的作者是？（1.0分）
47,1.0分
48,窗体顶端
49,ØA、
50,严复
51,ØB、
52,梁启超
53,ØC、
54,林则徐
55,ØD、
56,蔡元培
57,窗体底端
58,正确答案： B我的答案：B
59,5
60,下列关于智者派的说法错误的是？（1.0分）
61,1.0分
62,窗体顶端
63,ØA、
64,它怀疑自然哲学
65,ØB、
66,它具有相对主义的特征
67,ØC、
68,它传授雄辩术
69,ØD、
70,它形成了共同的学说和统一流派
71,窗体底端
72,正确答案： D我的答案：D
73,6
74,谁提出了“上帝已死”？（1.0分）
75,1.0分
76,窗体顶端
77,ØA、
78,尼采
79,ØB、
80,马克思
81,ØC、
82,康德
83,ØD、
84,萨特
85,窗体底端
86,正确答案： A我的答案：A
87,7
88,德国古典美学的奠基人是？（1.0分）
89,1.0分
90,窗体顶端
91,ØA、
92,海德格尔
93,ØB、
94,黑格尔
95,ØC、
96,尼采
97,ØD、
98,康德
99,窗体底端
100,正确答案： D我的答案：D
101,8
102,人生的所有的目标归根结底是？（1.0分）
103,1.0分
104,窗体顶端
105,ØA、
106,追求金钱
107,ØB、
108,追求自我价值实现
109,ØC、
110,追求幸福
111,ØD、
112,追求权力
113,窗体底端
114,正确答案： C我的答案：C
115,9
116,下列对柏拉图学院的说法错误的是？（1.0分）
117,1.0分
118,窗体顶端
119,ØA、
120,它是由柏拉图创办的。
121,ØB、
122,它是欧洲历史上第一所大学。
123,ØC、
124,它以修辞学为最重要的研究对象。
125,ØD、
126,它推崇原创性的研究。
127,窗体底端
128,正确答案： C我的答案：C
129,10
130,萨特思想的鼻祖是？（1.0分）
131,1.0分
132,窗体顶端
133,ØA、
134,黑格尔
135,ØB、
136,柏拉图
137,ØC、
138,博登海默
139,ØD、
140,海德格尔
141,窗体底端
142,正确答案： D我的答案：D
143,11
