,题目
0,
1,
2,一、 单选题（题数：50，共50.0分） 
3,1 
4,以下对齐物的理解错误的是？
5,窗体顶端
6,A、 
7,齐物是达到逍遥境界的一种方法 
8,B、 
9,齐物打破了看待事物的自我中心意识 
10,C、 
11,齐物认为万物都是整齐划一的，不具有特殊性 
12,D、 
13,齐物能够使人免除羡欲之累 
14,窗体底端
15,我的答案：C 
16,2 
17,道家庸俗版的特点是？
18,窗体顶端
19,A、 
20,人生如梦，挥之即去 
21,B、 
22,人生如梦，及时享乐 
23,C、 
24,人生如梦，快乐至上 
25,D、 
26,人生如梦，醉生梦死 
27,窗体底端
28,我的答案：D 
29,3 
30,以下不属于儒家的三种形态的是？
31,窗体顶端
32,A、 
33,政治形态 
34,B、 
35,学术形态 
36,C、 
37,民间形态 
38,D、 
39,经济形态 
40,窗体底端
41,我的答案：D 
42,4 
43,以下关于人性的幸福说法错误的是？
44,窗体顶端
45,A、 
46,它来源于痛苦。 
47,B、 
48,它是对人性欲望的满足。 
49,C、 
50,它是一种纯粹的幸福。 
51,D、 
52,它并不是幸福种类的全部。 
53,窗体底端
54,我的答案：C 
55,5 
56,能造成积极的社会舆论的儒家版本是（）。
57,窗体顶端
58,A、 
59,学术版 
60,B、 
61,民间版 
62,C、 
63,政治版 
64,D、 
65,学术版的理想再现 
66,窗体底端
67,我的答案：D 
68,6 
69,在有感性幸福的冲动后，人跟其他动物不同的是？
70,窗体顶端
71,A、 
72,人不会经过理性的思考 
73,B、 
74,动物会经过理性的思考 
75,C、 
76,没有不同 
77,D、 
78,人会经过理性的思考 
79,窗体底端
80,我的答案：D 
81,7 
82,以下关于墨家的说法正确的是？
83,窗体顶端
84,A、 
85,组织性强 
86,B、 
87,具有武士精神 
88,C、 
89,爱好和平 
90,D、 
91,以上说法都正确 
92,窗体底端
93,我的答案：D 
94,8 
95,董仲舒认为：人之性未能全善，所以需要谁治之。
96,窗体顶端
97,A、 
98,天 
99,B、 
100,王 
101,C、 
102,皇上 
103,D、 
104,官员 
105,窗体底端
106,我的答案：B 
107,9 
108,缺德的人称为什么？
109,窗体顶端
110,A、 
111,小人 
112,B、 
113,禽兽 
114,C、 
115,不是人 
116,D、 
117,非人 
118,窗体底端
119,我的答案：B 
120,10 
121,若某人成为大家共同的敌人的时候，他的问题大多出在什么上？
122,窗体顶端
123,A、 
124,道德规范 
125,B、 
126,为人处世 
127,C、 
128,人品 
129,D、 
130,行为规范 
131,窗体底端
132,我的答案：B 
133,11 
134,下面哪些不属于中国传统哲学？
135,窗体顶端
136,A、 
137,儒家 
138,B、 
139,伊斯兰教 
140,C、 
141,道家 
142,D、 
143,墨家 
144,窗体底端
145,我的答案：B 
146,12 
147,杨朱的观点不见于（）著作。
148,窗体顶端
149,A、 
150,《孟子》 
151,B、 
152,《吕氏春秋》 
153,C、 
154,《韩非子》 
