,题目
0,
1,成绩：99.0分
2,
3,一、 单选题（题数：50，共50.0分）
4,1
5,中国近代史的开端是什么？
6,1.0分
7,窗体顶端
8,A、
9,鸦片战争
10,B、
11,甲午战争
12,C、
13,日俄战争
14,D、
15,西南战争
16,窗体底端
17,我的答案：A
18,2
19,“我九天西京炎凉饱看”出自周恩来的
20,1.0分
21,窗体顶端
22,A、
23,春日偶成
24,B、
25,雨中岚山
26,C、
27,四次游圆山公园
28,D、
29,游日本京都圆山公园
30,窗体底端
31,我的答案：D
32,3
33,写信给日本的依田百川即《复依田百川君书》的是
34,1.0分
35,窗体顶端
36,A、
37,康有为
38,B、
39,梁启超
40,C、
41,林旭
42,D、
43,谭嗣同
44,窗体底端
45,我的答案：A
46,4
47,不是关于鸦片战争风说书的日本书籍
48,1.0分
49,窗体顶端
50,A、
51,阿片类集
52,B、
53,清商风说书
54,C、
55,唐风风说书
56,D、
57,和兰阿片单报
58,窗体底端
59,我的答案：C
60,5
61,明治元年是公历哪一年
62,1.0分
63,窗体顶端
64,A、
65,1864年
66,B、
67,1868年
68,C、
69,11898年
70,D、
71,1886年
72,窗体底端
73,我的答案：B
74,6
75,以下不属于中日两次维新相似之处的是？
76,1.0分
77,窗体顶端
78,A、
79,历史背景相似
80,B、
81,时间相隔不远
82,C、
83,成效不同
84,D、
85,目标相同
86,窗体底端
87,我的答案：D
88,7
89,“千岁丸”上有（）位翻译。
90,1.0分
91,窗体顶端
92,A、
93,6.0
94,B、
95,7.0
96,C、
97,8.0
98,D、
99,9.0
100,窗体底端
101,我的答案：B
102,8
103,1862年日本幕府在长崎购买的名叫阿米斯得号的商船来自
104,1.0分
105,窗体顶端
106,A、
107,英国
108,B、
109,美国
110,C、
111,荷兰
112,D、
113,德国
114,窗体底端
115,我的答案：A
116,9
117,《兰仑偶说》是介绍（）历史
118,1.0分
119,窗体顶端
120,A、
121,荷兰
122,B、
123,英国
124,C、
125,美国
126,D、
127,日本
128,窗体底端
129,我的答案：C
130,10
131,徐福东渡在哪个时代？
132,1.0分
133,窗体顶端
134,A、
135,秦朝
136,B、
137,汉朝
138,C、
139,唐朝
140,D、
141,商朝
142,窗体底端
143,我的答案：A
144,11
145,《东倭考》的作者是（）
146,1.0分
147,窗体顶端
148,A、
149,林则徐
150,B、
151,魏源
152,C、
153,金安清
154,D、
155,陈其元
156,窗体底端
157,我的答案：C
158,12
159,日本维新政府宣布废藩置县的时间是（）
160,1.0分
161,窗体顶端
162,A、
163,1871年
164,B、
165,1873年
166,C、
167,1879年
168,D、
169,1880年
170,窗体底端
171,我的答案：A
172,13
173,“千岁丸”访问上海的时间是（）
174,1.0分
175,窗体顶端
176,A、
177,1840年
178,B、
179,1842年
180,C、
181,1860年
182,D、
183,1862年
184,窗体底端
185,我的答案：D
186,14
187,阿倍仲麻吕在（）为官
188,1.0分
189,窗体顶端
190,A、
191,隋朝
192,B、
193,南北朝
194,C、
195,唐朝
196,D、
197,宋朝
198,窗体底端
199,我的答案：C
200,15
201,以下哪本书详细记录了日本明治维新的过程？
202,1.0分
203,窗体顶端
204,A、
205,《日本琐志》
206,B、
207,《日本近代纪事》
208,C、
209,《日本地理兵要》
210,D、
211,《日本变政考》
212,窗体底端
213,我的答案：D
214,16
215,日本访华旅行记《观光游记》的作者
216,1.0分
217,窗体顶端
218,A、
219,A川端康成
220,B、
221,B佐久间象山
222,C、
223,C冈千仞
224,D、
225,D吉野作造
226,窗体底端
227,我的答案：C
228,17
229,《游清五录》不包括
230,1.0分
231,窗体顶端
232,A、
233,航海日录
234,B、
235,上海淹留日录
236,C、
237,外情探索录
238,D、
239,东夷行录
240,窗体底端
241,我的答案：D
242,18
243,以下人物是火器专家的是？
244,1.0分
245,窗体顶端
246,A、
247,高岛秋帆
248,B、
249,久坂玄瑞
250,C、
251,日比野辉宽
252,D、
253,吉田松阴
254,窗体底端
255,我的答案：A
256,19
257,《四洲志》是由（）编译的。
258,1.0分
259,窗体顶端
260,A、
261,林则徐
262,B、
263,魏源
264,C、
265,李鸿章
266,D、
267,张之洞
268,窗体底端
269,我的答案：A
270,20
271,中国人对日本明治维新最早评论的两本书是《日本近事记》和（）
272,1.0分
273,窗体顶端
274,A、
275,A《日本事纪》
276,B、
277,B《东倭考》
278,C、
279,C《维新评论》
280,D、
281,D《明治维新考》
282,窗体底端
283,我的答案：B
284,21
285,“健顺丸”访问中国的时间是（）
286,1.0分
287,窗体顶端
288,A、
289,1863年
290,B、
291,1864年
292,C、
293,1865年
294,D、
295,1866年
296,窗体底端
297,我的答案：B
298,22
299,中国华夷意识之下，士大夫对日本存有轻视之心，将日本成为
300,1.0分
301,窗体顶端
302,A、
303,A日出之国
304,B、
305,B倭国
306,C、
307,C蕞尔小国
308,D、
309,D蓬莱
310,窗体底端
311,我的答案：B
312,23
313,美国强迫日本开国后，签订的条约是什么？
314,1.0分
315,窗体顶端
316,A、
317,《神奈川条约》
318,B、
319,《南京条约》
320,C、
321,《马关条约》
322,D、
323,《北京条约》
324,窗体底端
325,我的答案：A
326,24
327,淮军的创始人是（）
328,1.0分
329,窗体顶端
330,A、
331,左宗棠
332,B、
333,李鸿章
334,C、
335,张之洞
336,D、
337,曾国藩
338,窗体底端
339,我的答案：B
340,25
341,安政大狱的制造者是谁？
342,1.0分
343,窗体顶端
344,A、
345,井伊直弼
346,B、
347,井伊直虎
348,C、
349,德川嘉茂
350,D、
351,德川庆喜
352,窗体底端
353,我的答案：A
354,26
355,中国爆发义和团运动后，日本进步记者青柳猛写作的《义和团赞论》发表在
356,1.0分
357,窗体顶端
358,A、
359,《读书》
360,B、
361,《朝日新闻》
362,C、
363,《近代映画》
364,D、
365,《女学杂志》
366,窗体底端
367,我的答案：D
368,27
369,“安政大狱”的制造者
370,1.0分
371,窗体顶端
372,A、
373,明治天皇
374,B、
375,德川家康
376,C、
377,长男家治
378,D、
379,井伊直弼
380,窗体底端
381,我的答案：D
382,28
383,《饮冰室文集》的作者
384,1.0分
385,窗体顶端
386,A、
387,吉田松阴
388,B、
389,康有为
390,C、
391,梁启超
392,D、
393,江川英龙
394,窗体底端
395,我的答案：C
396,29
397,1862年是清朝的同治元年，在日本是
398,1.0分
399,窗体顶端
400,A、
401,文久二年
402,B、
403,大正元年
404,C、
405,平成四年
406,D、
407,昭和十年
408,窗体底端
409,我的答案：A
410,30
411,日本明治维新中奉还版籍是哪一年
412,1.0分
413,窗体顶端
414,A、
415,19871年
416,B、
417,1898年
418,C、
419,1869年
420,D、
421,1970年
422,窗体底端
423,我的答案：C
424,31
425,中国人马全向高山晋作推荐的书是
426,1.0分
427,窗体顶端
428,A、
429,《世说新语》
430,B、
431,《海国图志》
432,C、
433,《佩文韵府》
434,D、
435,《天演论》
436,窗体底端
437,我的答案：C
438,32
439,以下著作赞颂明治维新的是？
440,1.0分
441,窗体顶端
442,A、
443,《日本近事记》
444,B、
445,《东倭考》
446,C、
447,《东游日记》
448,D、
449,《近代中国与世界：互动与比较》
450,窗体底端
451,我的答案：B
452,33
453,德川齐昭的（）藩主
454,1.0分
455,窗体顶端
456,A、
457,肥前藩
458,B、
459,水户藩
460,C、
461,萨摩藩
462,D、
463,土佐藩
464,窗体底端
465,我的答案：B
466,34
467,《中日通商条约》签订于哪一年？
468,1.0分
469,窗体顶端
470,A、
471,1871年
472,B、
473,1870年
474,C、
475,1872年
476,D、
477,1873年
478,窗体底端
479,我的答案：A
480,35
481,以下属于明代的著作的是（）
482,1.0分
483,窗体顶端
484,A、
485,日本考
486,B、
487,瀛寰志略
488,C、
489,日本游记
490,D、
491,海国图志
492,窗体底端
493,我的答案：A
494,36
495,刘师培执笔写作的关于揭露日本帝国主义侵略本质的《亚洲现势论》刊登在
496,1.0分
497,窗体顶端
498,A、
499,天义报
500,B、
501,申报
502,C、
503,大公报
504,D、
505,民报
506,窗体底端
507,我的答案：A
508,37
509,日本明治维新的口号什么？
510,0.0分
511,窗体顶端
512,A、
513,尊王攘夷
514,B、
515,王政复古
516,C、
517,尊皇开国
518,D、
519,尊皇闭国
520,窗体底端
521,我的答案：C
522,38
523,梁启超在维新变法逃亡日本后向日本哪个首相求助营救光绪帝
524,1.0分
525,窗体顶端
526,A、
527,山县有朋
528,B、
529,大隈重信
530,C、
531,松方正义
532,D、
533,伊藤博文
534,窗体底端
535,我的答案：A
536,39
537,以下地区为曾沦未沦为外国殖民地的是？
538,1.0分
539,窗体顶端
540,A、
541,中国
542,B、
543,印度
544,C、
545,新加坡
546,D、
547,马来西亚
548,窗体底端
549,我的答案：C
550,40
551,以下著作是近代中国人对日本认识的里程碑的是？
552,1.0分
553,窗体顶端
554,A、
555,《日本国志》
556,B、
557,《日本近事记》
558,C、
559,《东倭考》
560,D、
561,《近代中国与世界：互动与比较》
562,窗体底端
563,我的答案：C
564,41
565,日本王政复古发生在（）
566,1.0分
567,窗体顶端
568,A、
569,1863年
570,B、
571,1865年
572,C、
573,1867年
574,D、
575,1868年
576,窗体底端
577,我的答案：D
578,42
579,倒幕派经过哪次战争取得了明治维新的胜利
580,1.0分
581,窗体顶端
582,A、
583,戊辰战争
584,B、
585,岛原战争
586,C、
587,白村江之战
588,D、
589,日露战争
590,窗体底端
591,我的答案：A
592,43
593,历史研究在确定课题之前的首要工作
594,1.0分
595,窗体顶端
596,A、
597,A收集史料
598,B、
599,B实证研究
600,C、
601,C田野调查
602,D、
603,D史的研究
604,窗体底端
605,我的答案：D
606,44
607,日本由几个较大的岛屿组成？
608,1.0分
609,窗体顶端
610,A、
611,3.0
612,B、
613,4.0
614,C、
615,5.0
616,D、
617,6.0
618,窗体底端
619,我的答案：B
620,45
621,明治维新发生的时间是？
622,1.0分
623,窗体顶端
624,A、
625,19世纪60年代
626,B、
627,19世纪70年代
628,C、
629,19世纪80年代
630,D、
631,19世纪初
632,窗体底端
633,我的答案：A
634,46
635,《国是三论》的作者是（）
636,1.0分
637,窗体顶端
638,A、
639,横井小楠
640,B、
641,中牟田仓之助
642,C、
643,峰源藏
644,D、
645,日比野辉宽
646,窗体底端
647,我的答案：A
648,47
649,中国最早对日本有明确记载的朝代是（）
650,1.0分
651,窗体顶端
652,A、
653,周
654,B、
655,春秋
656,C、
657,汉
658,D、
659,唐
660,窗体底端
661,我的答案：C
662,48
663,以下不是日本出版的《海国图志》关于美国的著作
664,1.0分
665,窗体顶端
666,A、
667,《西洋新墨志》
668,B、
669,《亚米利加总记》
670,C、
671,《墨利加州沿革总记补辑和解》
672,D、
673,《美理哥国广述》
674,窗体底端
675,我的答案：D
676,49
677,以下属于丁人的是？
678,0.0分
679,窗体顶端
680,A、
681,商人
682,B、
683,手工业者
684,C、
685,富农
686,D、
687,武士
688,窗体底端
689,我的答案：A
690,50
691,《鸦片始末》的作者
692,1.0分
693,窗体顶端
694,A、
695,斋藤竹堂
696,B、
697,种菜翁
698,C、
699,岛崎藤村
700,D、
701,三岛由纪夫
702,窗体底端
703,我的答案：A
704,二、 判断题（题数：50，共50.0分）
705,1
706,梁启超是保皇派的代表
707,1.0分
708,窗体顶端
709,我的答案：√
710,窗体底端
711,2
712,日本藩士不赞成太平天国对孔孟之道的批判。
713,1.0分
714,窗体顶端
715,我的答案：√
716,窗体底端
717,3
718,《社会主义神髓》是陈独秀受幸德秋水启发所作
719,1.0分
720,窗体顶端
721,我的答案：×
722,窗体底端
723,4
724,《日本近事记》写于1874年。（）
725,1.0分
726,窗体顶端
727,我的答案：√
728,窗体底端
729,5
730,明治维新后中国知识分子对日本的态度发生了变化。
731,1.0分
732,窗体顶端
733,我的答案：√
734,窗体底端
735,6
736,陈其元的《日本近事记》中把日本的明治维新看成是推翻国王，篡权夺位的行为。
737,1.0分
738,窗体顶端
739,我的答案：√
740,窗体底端
741,7
742,文化的交流对人类社会的进步有很大的推动作用。
743,1.0分
744,窗体顶端
745,我的答案：√
746,窗体底端
747,8
748,《海外余话》1851年初刊
749,1.0分
750,窗体顶端
751,我的答案：√
752,窗体底端
753,9
754,德川幕府实行幕藩体制。
755,1.0分
756,窗体顶端
757,我的答案：√
758,窗体底端
759,10
760,明治维新后日本于1870年派遣使节来华。
761,1.0分
762,窗体顶端
763,我的答案：√
764,窗体底端
765,11
766,《日本国志》的作者是戴季陶
767,1.0分
768,窗体顶端
769,我的答案：×
770,窗体底端
771,12
772,1853到1854年两次远征日本的美国舰队是霍尔舰队
773,1.0分
774,窗体顶端
775,我的答案：×
776,窗体底端
777,13
778,“千岁丸”上有52名日本人
779,1.0分
780,窗体顶端
781,我的答案：×
782,窗体底端
783,14
784,《圣武记》的作者是魏源。
785,1.0分
786,窗体顶端
787,我的答案：√
788,窗体底端
789,15
790,鲁迅在日本求学时的医学学校在东京。
791,1.0分
792,窗体顶端
793,我的答案：×
794,窗体底端
795,16
796,中国的维新没有拯救中国的半殖民地半封建的命运。
797,1.0分
798,窗体顶端
799,我的答案：√
800,窗体底端
801,17
802,《日本新政考》的作者是顾厚焜
803,1.0分
804,窗体顶端
805,我的答案：√
806,窗体底端
807,18
808,近代日本第一艘官方的访华贸易船是“千岁贡”
809,1.0分
810,窗体顶端
811,我的答案：×
812,窗体底端
813,19
814,鸦片战争后，日本有识之士纷纷提出以中国为鉴。
815,1.0分
816,窗体顶端
817,我的答案：√
818,窗体底端
819,20
820,“今清国大乱，难保何时波及日本！”出自《大日本古文书》
821,1.0分
822,窗体顶端
823,我的答案：√
824,窗体底端
825,21
826,中国的维新派总是希望通过皇帝掌握权力。
827,1.0分
828,窗体顶端
829,我的答案：√
830,窗体底端
831,22
832,守旧派人士不同意开设制度局。
833,1.0分
834,窗体顶端
835,我的答案：√
836,窗体底端
837,23
838,明治维新也发生过激烈的战争。
839,1.0分
840,窗体顶端
841,我的答案：√
842,窗体底端
843,24
844,诗句“国法纷纷日逐更，究依何国没权衡”出自四明浮槎客的竹枝词
845,1.0分
846,窗体顶端
847,我的答案：√
848,窗体底端
849,25
850,中国维新运动的启蒙读物是梁启超的《日本国志》
851,1.0分
852,窗体顶端
853,我的答案：×
854,窗体底端
855,26
856,在文集中提出“大亚细亚主义不是平和的主义，是侵略的主义”的作者是李大钊
857,1.0分
858,窗体顶端
859,我的答案：√
860,窗体底端
861,27
862,戊戌维新和明治维新结局不同。
863,1.0分
864,窗体顶端
865,我的答案：√
866,窗体底端
867,28
868,广泛阅读史料是历史研究的基本功
869,1.0分
