,题目
0,一、 单选题（题数：50，共50.0分）
1,1
2,生命的三大原理不包括（）。（1.0分）
3,1.0分
4,窗体顶端
5,A、
6,理智
7,B、
8,感觉
9,C、
10,营养
11,D、
12,维度
13,窗体底端
14,我的答案：D
15,2
16,根据伦理学的观点，人的“可能的善”需要通过以下哪一种途径来获得：（）（1.0分）
17,1.0分
18,窗体顶端
19,A、
20,书写
21,B、
22,言语
23,C、
24,空想
25,D、
26,践行
27,窗体底端
28,我的答案：D
29,3
30,下面关于仁爱、友爱与正义的说法不正确的一项是（）。
31,（1.0分）
32,1.0分
33,窗体顶端
34,A、
35,
36,正义从“不去…”来说
37,
38,B、
39,
40,友爱、仁爱从“去…”来说
41,
42,C、
43,
44,正义的人因为法律而不去做
45,
46,D、
47,
48,都是交往共同生活的基本纽带
49,
50,窗体底端
51,我的答案：C
52,4
53,“觉解”这一概念出自于以下哪一中国近现代哲学家的著作：（）（1.0分）
54,1.0分
55,窗体顶端
56,A、
57,牟宗三《才性与玄理》
58,B、
59,李泽厚《美的历程》
60,C、
61,冯友兰《新原人》
62,D、
63,张岱年《求真集》
64,窗体底端
65,我的答案：C
66,5
67,根据伦理学的观点，以下哪一项是对实践的错误描述：（）（1.0分）
68,1.0分
69,窗体顶端
70,A、
71,以践行为开端
72,B、
73,生活展开的一个形式
74,C、
75,源自于理论的构建
76,D、
77,践行建立在学的基础上
78,窗体底端
79,我的答案：C
80,6
81,“然则仁义，法正有可知可能之理”语出以下哪一儒家经典：（）（1.0分）
82,1.0分
83,窗体顶端
84,A、
85,《孟子》
86,B、
87,《荀子》
88,C、
89,《论语》
90,D、
91,《大学》
92,窗体底端
93,我的答案：B
94,7
95,根据现有的伦理学观点，以下关于道德与伦理的说法正确的是（）。（1.0分）
96,1.0分
97,窗体顶端
98,A、
99,道德是普遍性的
100,B、
101,伦理是个体性的
102,C、
103,伦理是地域性的
104,D、
105,以上都是
106,窗体底端
107,我的答案：D
108,8
109,根据西方教育学的观点，“早期教育”在西方又被称之为（）。（1.0分）
110,1.0分
111,窗体顶端
112,A、
113,规训
114,B、
115,蒙学
116,C、
117,法律
118,D、
119,大学
120,窗体底端
