,题目
0,一、 单选题（题数：50，共50.0分）
1,1
2,日本的能源结构以什么为主。（）
3,窗体顶端
4,A、
5,煤
6,B、
7,钢铁
8,C、
9,天然气
10,D、
11,石油
12,窗体底端
13,我的答案：D
14,2
15,日本参议院议员任期为几年？（）
16,窗体顶端
17,A、
18,4
19,B、
20,5
21,C、
22,6
23,D、
24,10
25,窗体底端
26,我的答案：C
27,3
28,日本菜的特点是（）。
29,窗体顶端
30,A、
31,五味
32,B、
33,五色
34,C、
35,五法
36,D、
37,以上都是
38,窗体底端
39,我的答案：D
40,4
41,富士山北麓有富士五湖，其中面积最大的是（ ）。
42,窗体顶端
43,A、
44,河口湖
45,B、
46,西湖
47,C、
48,本栖湖
49,D、
50,山中湖
51,窗体底端
52,我的答案：A
53,5
54,美国占领军对日本经济实行的三大政策不包括（）。。
55,窗体顶端
56,A、
57,财阀解体
58,B、
59,土地改革
60,C、
61,确立劳动权
62,D、
63,整风运动
64,窗体底端
65,我的答案：D
66,6
67,最早的说法是，汉字由中国传入日本大约在什么时间？（）
68,窗体顶端
69,A、
70,公元前8世纪
71,B、
72,公元前9世纪
73,C、
74,公元前10世纪
75,D、
76,公元前12世纪
77,窗体底端
78,我的答案：B
79,7
80,日本人最爱喝酒的地方是（）。日本人最爱在什么地方喝酒？（）
81,窗体顶端
82,A、
83,家中
84,B、
85,酒店
86,C、
87,居酒屋
88,D、
89,酒吧
90,窗体底端
91,我的答案：C
92,8
93,日语中“kimi”的意思指的是（）。
94,窗体顶端
95,A、
96,我
97,B、
98,他
99,C、
100,你
101,D、
102,我们
103,窗体底端
104,我的答案：C
105,9
106,大江健三郎于哪年获得诺贝尔文学奖？（）
107,窗体顶端
108,A、
109,1991年
110,B、
111,1992年
112,C、
113,1993年
114,D、
115,1994年
116,窗体底端
117,我的答案：D
118,10
119,有“日本的屋脊”之称的是（ ）。
120,窗体顶端
121,A、
122,冲绳县
123,B、
124,富山县
125,C、
126,长野县
127,D、
128,福岛县
129,窗体底端
130,我的答案：C
131,11
132,《源氏物语》的作者是（）。
133,窗体顶端
134,A、
135,藤原惟光
136,B、
137,紫式部
138,C、
139,源良清
140,D、
