,题目
0,《心理、行为与文化》期末考试（20）
1,
2,一、 单选题（题数：50，共 50.0 分）
3,1以下属于单惠型交换的行为是（）。（1.0分）1.0 分
4,A、购买债券B、购买保险C、获得报酬D、慈善
5,2根据许氏假设，传统中国家庭是以（）为主轴的。（1.0分）1.0 分
6,A、父子关系B、母子关系C、夫妻关系D、兄弟关系
7,3种族延续属于人类的哪种需要？（）（1.0分）1.0 分
8,A、生物性需要B、社会性的需要C、情感性的需要D、经验性的需要
9,4为广大网友解决网络课问题的是（）（1.0分）1.0 分
10,A、20932+ B、02559 C、扣扣 D、百度
11,5中国人的人际关系模式特点不包括（）。（1.0分）1.0 分
12,A、人与人之间常常会分圈子交往B、强调亲情C、“关系”与“人情”相互依赖D、交往上注重距离感，不提倡亲密
13,6种姓的缔结原则是（）。（1.0分）1.0 分
14,A、契约原则B、亲属原则C、阶序原则D、“缘-约”原则
15,7以下说法不正确的是（）。（1.0分）1.0 分
16,A、中国宗族作为一种有形的社会制度形式，在广大农村仍然存在并对个人的行为具有较大的规范力量B、大门大户是一种较大的宗族力量的表现C、中国的宗族在城市里同样广泛存在D、农村选举过程中，宗族连带非常明显
17,8下面哪一项不是等意义交换的形式？（）（1.0分）1.0 分
18,A、信用借贷型交换B、雇佣型交换C、交易型交换D、贸易型交换
19,8关于文化与人格学派，下列说法不正确的一项是（）。（1.0分）1.0 分
20,A、受精神分析学派影响较大B、是心理学与社会学的结合C、认为青年的反抗性是一种文化现象D、认为人的行为是由先天决定的
21,9关于莫斯所描述的图景，说法不正确的是（）。（1.0分）1.0 分
22,A、回报礼物不是族群内部成员所必须遵守的义务性规则B、在族群内部，人们通过的交换来巩固和建立社会关系，促进社会团结C、礼物作为一种社会一体化的纽带被呈现出来D、礼物的交换是群体内部及群体之间社会结构过程的一个重要内容
23,10下面哪一项理论较好地描述了价格形成的机理？（）（1.0分）1.0 分
24,A、权衡取舍B、锚定C、供需D、杠杆
25,11威廉·托马斯提出的人类的四种需要不包括以下哪项？（）（1.0分）1.0 分
26,A、对信仰的需要B、对新鲜经验的需要C、对安全感的需要D、对承认的需要
27,12以下属于影响人心的客观因素是（）。（1.0分）1.0 分
28,A、人的情感B、人的意志C、人的信仰D、人的内酚酞分泌
29,13在“伦人”社会中，（）关系的属性决定了亲属关系的特点。（1.0分）1.0 分
30,A、母子B、夫妻C、父子D、兄弟
31,14以下说法正确的是（）。（1.0分）0.0 分
32,A、交换达到平衡所需的时间是不同的，付出与回报存在时间差B、助人为乐是没有缘由的，不属于价值交换范畴C、非地位低的人与地位低的人不可以进行交换D、用钱换取别人的忠诚体现的是眼前价值与未来价值的转换
33,15关于父子轴的属性，以下说法不正确的是（）。（1.0分）1.0 分
34,A、连续性B、权威性C、排他性D、无性爱性
35,16在美国人的PSH均衡模式中，第0层特别大的属于以下哪种类型？（）（1.0分）1.0 分
36,A、爱国者型B、传教士型C、组织型D、遁世型
37,17西方社会的共济会，其前身是（）。（1.0分）1.0 分
38,A、农业联合会B、家族团体C、自由石匠盟会D、行业互助协会
39,18种族歧视是社团什么特点的彰显？（）（1.0分）1.0 分
40,A、平等性B、自愿性C、排他性D、竞争性
41,19中国宗族的变化不包括以下哪项？（）（1.0分）1.0 分
42,A、1949的土地革命摧毁了宗族制度的物质基础B、农业合作化组织冲淡了宗族组织的作用C、阶级意识削弱了宗族的连带感D、农村宗族组织向城市转移
43,20在家庭各种关系中，夫妻关系的纽带是（）。（1.0分）1.0 分
44,A、性B、情感C、契约D、血缘
45,21以下说法不正确的是（）。（1.0分）0.0 分
46,A、美国人追求和维护权利平等的理念已经融入公民自觉意识B、如果毫无理由地给一个美国人特殊待遇，他会觉得不自在C、美国人以平等为荣D、美国人以拥有特权为荣
47,22心理文化学派认为，（）是人类人生中最重要的集团。（1.0分）1.0 分
48,A、自由结社B、宗教集团C、亲属体系D、次级集团
49,23以下不符合信用借贷型交往模式特点的俗语是（）。（1.0分）1.0 分
50,"A、滴水之恩，涌泉相报B、投我以木瓜 ,报之以琼琚C、以牙还牙，以眼还眼D、一饭千金"
51,24弗洛伊德认为，政治、科学、艺术、宗教等活动的根本动力是（）。（1.0分）1.0 分
52,A、利益趋力B、爱趋力C、性趋力D、精神趋力
53,25“自由结社”的特点不包括（）。（1.0分）1.0 分
54,A、平等性B、自愿性C、排他性D、竞争性
55,26对PSH模型中的远离的社会与文化层表述不正确的一项是（）。（1.0分）1.0 分
56,A、是紧贴着外部世界的一层B、这一层的人和物与实际生活没有功能上的联系C、是PSH模型的第一层D、我们对这一层的人和物有情感的投注
57,27社会心理学中，关于“需要”，下列说法正确的是（）。（1.0分）1.0 分
58,A、需要就是欲望与本能B、需要是人的身体和外部条件作用下产生的一种状态C、需要通常是显性的D、人类具有生物性需要与社会性需要
59,28关于契约（规则）的重要性，以下说法不正确的是（）。（1.0分）1.0 分
60,A、人际关系的缔结，自愿性和选择性程度较高B、人际关系强调和谐的结果C、人际关系具有间接性、可测量性等特点D、这种关系较简洁，容易把握，是一种“不相互信赖也能合作”的模式
61,29提出应当“各美其美，美人之美”的学者是（）。（1.0分）1.0 分
62,A、吴泽霖B、顾颉刚C、费孝通D、吴文藻
63,30关于物物交换的特点，下列说法不正确的是（）。（1.0分）1.0 分
64,A、甲与乙在交换的当初都希望从交换中的到好处，这种交换形式就是一种功能性B、交换者的地位平等，交换的价值相等，交换过程一般是同时完成的C、交换附带情感，交换过程中没有价值转换D、相同的行为可以同步发生在不同对象之间，而交换者之间的关系一般是随着交换过程的完结而完结
65,31中国人在接受了别人的好处和帮助时，都要考虑下面哪一项（）。（1.0分）1.0 分
66,A、逃避B、继续接受帮助C、利益D、还报
67,32下列关于中国人际交往的说法中，不正确的一项是（）。（1.0分）1.0 分
68,A、重视关系与人情B、追求零距离化倾向C、强调直接接触D、强调间接接触
69,33心理文化研究的原则是（）。（1.0分）1.0 分
70,A、普遍性原则B、整体性原则C、相对性原则D、以上都是
71,34人类饲养宠物这一行为，满足的是以下哪种需要？（）（1.0分）1.0 分
72,A、生物性需要B、社会性的需要C、情感性的需要D、经验性的需要
73,35下列说法错误的是（）。（1.0分）0.0 分
74,A、夫妻关系具有非连续性与排他性B、美国家庭是父系制家庭C、在美国家庭中，夫妻关系的性爱属性受到较大强调D、在美国人家庭是以兄弟关系为主轴的
75,36以下说法不正确的是（）。（1.0分）0.0 分
76,A、交换是大范围、多维度、多层次的B、单次交换可能不平衡，多次交换会达到平衡状态C、衡量两个人的关系高尚程度主要看交换是否等价D、大部分交换都是一种等意义交换。
77,37价值转换的三个方面不包括（）。（1.0分）1.0 分
78,A、交换价值和情感价值的转换B、眼前价值与未来价值的转换C、现实价值与非现实价值之间的转换D、物理价值与非物理价值的转换
79,38“差序格局”理论的提出者是（）。（1.0分）1.0 分
80,A、费孝通B、潘光旦C、许烺光D、泰勒
81,39在修订后的PSH模型中，“意识谱”指的是以下哪个范围？（）（1.0分）1.0 分
82,A、第二层以外的诸层B、第三层及其以外的诸层C、第四层以内的诸层D、最外两层
83,40下面哪一项不是信用借贷型交换的特点？（）（1.0分）1.0 分
84,A、交换行为一般不重复出现B、交换行为是附带感情的C、交换者之间的关系并不因为交换过程的完结而完结D、交换过程不是一个持续的过程
85,41关于这门课的学习目的，下列描述不正确的是（）。（1.0分）1.0 分
86,A、为研究国际关系提供文化视角B、了解“异文化”C、探索人类行为的心理逻辑D、具备看穿他人想法的能力
87,42人类在生物学分类上属于哪一纲？（）（1.0分）1.0 分
88,A、哺乳纲B、爬行纲C、鸟纲D、真兽亚纲
89,43中国家庭推崇的形式是（）。（1.0分）1.0 分
90,A、大家庭B、小家庭C、组合家庭D、混合家庭
91,44
92,台湾学者杨懋春概括的中国传统家庭特点不包括以下哪项？（）
93,
94,（1.0分）1.0 分
95,A、复式家庭B、重男轻女C、女系制度D、财产共有
96,45以下说法不正确的是（）。（1.0分）1.0 分
97,A、交易型交换追求利益性的交换B、现代交换理论完善于日本社会C、极致个人的人际关系有明显交易化倾向D、交易型交换模式在美国社会占优势地位
98,46“基本人际状态”一说的提出者是（）。（1.0分）1.0 分
99,A、泰勒B、弗洛伊德C、滨口惠俊D、许烺光
100,47中国人的人际关系中，被称为“天伦”的关系不包括（）。（1.0分）1.0 分
101,A、父子关系B、兄弟关系C、夫妻关系D、君臣关系
102,48交换内容意义的大小是根据下面哪一项确定的？（）（1.0分）1.0 分
103,A、人们的价值观B、人们的兴趣爱好C、法律准则D、道德约束
104,49弗洛伊德提出的“奥狄浦斯情结”指的是（）。（1.0分）1.0 分
105,A、自恋情结B、恋父情结C、恋母情结D、恋兄情结
106,50在人类的安全需要中，处于最低层级的是（）。（1.0分）1.0 分
107,A、社会性安全B、情感性安全C、经验性安全D、生物性安全
108,二、 判断题（题数：50，共 50.0 分）
