,题目
0,1
1,湘军于（）年集结两万七千余人围攻九江。（1.0分）
2,1.0分
3,窗体顶端
4,A、
5,1854年
6,
7,B、
8,1855年
9,
10,C、
11,1856年
12,
13,D、
14,1857年
15,
16,窗体底端
17,正确答案： B我的答案：B
18,2
19,祁门之地盛产什么茶？（）（1.0分）
20,1.0分
21,窗体顶端
22,A、
23,茉莉茶
24,
25,B、
26,铁观音
27,
28,C、
29,红茶
30,
31,D、
32,绿茶
33,
34,窗体底端
35,正确答案： C我的答案：C
36,3
37,湘军筹饷的方法不包括下面哪一个？（）（1.0分）
38,1.0分
39,窗体顶端
40,A、
41,劝捐
42,
43,B、
44,勒捐
45,
46,C、
47,厘捐
48,
49,D、
50,罚捐
51,
52,窗体底端
53,正确答案： D我的答案：D
54,4
55,曾国藩“治民之才”的三点体现不包括（）。（1.0分）
56,1.0分
57,窗体顶端
58,A、
59,公
60,
61,B、
62,俭
63,
64,C、
65,明
66,
67,D、
68,勤
69,
70,窗体底端
71,正确答案： B我的答案：B
72,5
73,下面关于马祖道一的生平及其成就描述错误的一项是（）。（1.0分）
74,1.0分
75,窗体顶端
76,A、
77,徽州什方县人
78,
79,B、
80,马祖主张道不用修，或者说任心为修
81,
82,C、
83,俗姓马
84,
85,D、
86,又称道一
87,
88,窗体底端
89,正确答案： A我的答案：A
90,6
91,“同治中兴”具体指的是下面哪一时期？（）（1.0分）
92,1.0分
93,窗体顶端
94,A、
95,1865年-1874年
96,
97,B、
98,1864年-1874年
99,
100,C、
101,1863年-1874年
102,
103,D、
104,1862年-1874年
105,
106,窗体底端
107,正确答案： D我的答案：D
108,7
109,曾国藩在哪一年的会试考试中落第？（）（1.0分）
110,1.0分
111,窗体顶端
112,A、
113,1838
114,
115,B、
116,1837
117,
118,C、
119,1836
120,
121,D、
122,1835
123,
124,窗体底端
125,正确答案： D我的答案：D
126,8
127,下面关于曾麟书与曾国藩的关系描述正确的一项是（）。（1.0分）
128,1.0分
129,窗体顶端
130,A、
131,叔侄
132,
133,B、
134,兄弟
135,
136,C、
137,祖孙
138,
139,D、
140,父子
141,
142,窗体底端
143,正确答案： D我的答案：D
144,9
145,湘军为解决运输问题而专门设立了（）。（1.0分）
146,1.0分
147,窗体顶端
148,A、
149,水军
150,
151,B、
152,步兵
153,
154,C、
155,长夫
156,
157,D、
158,大夫
159,
160,窗体底端
161,正确答案： C我的答案：C
162,10
163,“惟楚有才”出自下面哪一著作？（）（1.0分）
164,1.0分
165,窗体顶端
166,A、
167,《史记》
168,
169,B、
170,《左传》
171,
172,C、
173,《汉书》
174,
175,D、
176,《后汉书》
177,
178,窗体底端
179,正确答案： B我的答案：B
180,11
181,天京事变发生于（）年。（1.0分）
182,1.0分
183,窗体顶端
184,A、
185,1886年
186,
187,B、
188,1876年
189,
190,C、
191,1866年
192,
193,D、
194,1856年
195,
196,窗体底端
197,正确答案： D我的答案：D
198,12
199,曾国藩在给咸丰皇帝的奏折中提出当时京官办事的两个通病分别是（）。（1.0分）
200,1.0分
201,窗体顶端
202,A、
203,琐屑；拖延
204,
205,B、
206,行贿；拖延
207,
208,C、
209,退缩；无为
210,
211,D、
212,退缩；琐屑
