,题目
0,一、 单选题（题数：20，共50.0分）
1,1
2,密诏“尔其与林旭、刘光第……等商，密缮封奏，由军机大臣代递。”中“尔”指（）。（2.5分）
3,2.5分
4,窗体顶端
5,ØA、
6,康有为
7,ØB、
8,袁世凯
9,ØC、
10,毕永年
11,ØD、
12,杨锐
13,窗体底端
14,正确答案： D我的答案：D
15,2
16,八国联军入侵京城的时间是（）。（2.5分）
17,2.5分
18,窗体顶端
19,ØA、
20,1900年8月1日
21,ØB、
22,1900年8月9日
23,ØC、
24,1900年8月11日
25,ØD、
26,1900年8月15日
27,窗体底端
28,正确答案： D我的答案：D
29,3
30,下列不属于戊戌六君子的是（）。（2.5分）
31,2.5分
32,窗体顶端
33,ØA、
34,谭嗣同
35,ØB、
36,林旭
37,ØC、
38,刘光第
39,ØD、
40,康有为
41,窗体底端
42,正确答案： D我的答案：D
43,4
44,“立制度局、新政局、练民兵，开铁路，广借洋债数端。狂甚。”是（）对康有为的评价。（2.5分）
45,2.5分
46,窗体顶端
47,ØA、
48,严复
49,ØB、
50,荣禄
51,ØC、
52,李鸿章
53,ØD、
54,翁同龢
55,窗体底端
56,正确答案： D我的答案：D
57,5
58,“汝可迅速出外国求救”出自（）。（2.5分）
59,0.0分
60,窗体顶端
61,ØA、
62,《凌霄一士随笔》
63,ØB、
64,《戊戌政变记》
65,ØC、
66,《奉诏求救文》
67,ØD、
68,《万言书》
69,窗体底端
70,正确答案： C我的答案：B
71,6
72,康有为被光绪召见，见面地是（）。（2.5分）
73,2.5分
74,窗体顶端
75,ØA、
76,玉澜堂
77,ØB、
78,乐寿堂
79,ØC、
80,仁寿殿
81,ØD、
82,排云殿
83,窗体底端
84,正确答案： C我的答案：C
85,7
86,新政改革中在行政方面的表现不包括（）。（2.5分）
87,2.5分
88,窗体顶端
89,ØA、
90,停止捐纳实官
91,ØB、
92,设立督办政务处
93,ØC、
94,设立巡警部
95,ØD、
96,修建京师大学堂
97,窗体底端
98,正确答案： D我的答案：D
99,8
100,“闻有广东举人主张变法，当慎重，不可轻任小人”是（）论康有为。（2.5分）
101,2.5分
102,窗体顶端
103,ØA、
104,荣禄
105,ØB、
106,慈禧
107,ØC、
108,奕䜣
109,ØD、
110,李鸿章
111,窗体底端
112,正确答案： C我的答案：C
113,9
114,康有为访伊藤博文的时间是在（）。（2.5分）
115,2.5分
116,窗体顶端
117,ØA、
118,9月16日
119,ØB、
120,9月17日
121,ØC、
122,9月18日
123,ØD、
124,9月19日
125,窗体底端
126,正确答案： C我的答案：C
127,10
128,在不到一百天的时间，光绪共发布近（）条改革政策。（2.5分）
129,2.5分
130,窗体顶端
131,ØA、
132,150
133,ØB、
134,160
135,ØC、
136,170
137,ØD、
138,180
139,窗体底端
140,正确答案： D我的答案：D
141,11
142,变法失败后，光绪被囚禁在（）。（2.5分）
143,2.5分
144,窗体顶端
145,ØA、
146,庆元殿
147,ØB、
148,景星殿
149,ØC、
150,仁寿殿
151,ØD、
152,涵元殿
153,窗体底端
154,正确答案： D我的答案：D
155,12
156,康有为在上清帝第一书中提到的三点举措不包括（）。（2.5分）
157,2.5分
158,窗体顶端
159,ØA、
160,变成法
161,ØB、
162,通下情
163,ØC、
164,练强兵
165,ØD、
166,慎左右
167,窗体底端
168,正确答案： C我的答案：C
169,13
170,1896年寇连才关于改革提了一些建议，其中不包括（）。（2.5分）
171,2.5分
172,窗体顶端
173,ØA、
174,把政权归政于光绪
175,ØB、
176,发行纸币
177,ØC、
178,奖励官员
179,ØD、
180,修建铁路
181,窗体底端
182,正确答案： D我的答案：D
183,14
184,“一朝瓦解成劫灰，闻道敌军蹈背来。”出自（）。（2.5分）
185,2.5分
186,窗体顶端
187,ØA、
188,《万言书》
189,ØB、
190,《自编年谱》
191,ØC、
192,《哀旅顺》
193,ØD、
194,《日记》
195,窗体底端
196,正确答案： C我的答案：C
197,15
198,下列作品属于黄遵宪的是（）。（2.5分）
199,2.5分
200,窗体顶端
201,ØA、
202,《戊戌政变记》
203,ØB、
204,《日本国治》
205,ØC、
206,《原富》
207,ØD、
208,《哀旅顺》
209,窗体底端
210,正确答案： B我的答案：B
211,16
212,慈禧收到的虚假列强照会中提到了四点，其中不包括（）。（2.5分）
213,2.5分
214,窗体顶端
215,ØA、
216,指明一地，令中国皇帝居住
217,ØB、
218,代收各省钱粮
219,ØC、
220,代掌修铁路权
221,ØD、
222,代掌天下兵权
223,窗体底端
