,题目
0,1历史上“垂帘听政”的现象发生次数最多的朝代是（）。（1.0分）1.0 分
1,A、
2,汉代
3,B、
4,唐代
5,C、
6,宋代
7,D、
8,清代
9,我的答案：C
10,2对甲午战争的后期战局具有决定性影响的战役是（）。（1.0分）1.0 分
11,A、
12,丰岛海战
13,B、
14,平壤之战
15,C、
16,辽东之战
17,D、
18,黄海海战
19,我的答案：D
20,3中日《马关条约》是经过（）次会谈后签署的不平等条约。（1.0分）1.0 分
21,A、
22,五
23,B、
24,六
25,C、
26,七
27,D、
28,八
29,我的答案：B
30,4慈禧归政光绪后，居住在（）。（1.0分）1.0 分
31,A、
32,圆明园
33,B、
34,承德避暑山庄
35,C、
36,颐和园
37,D、
38,坤宁宫
39,我的答案：C
40,5火烧圆明园事件发生在（）年间。（1.0分）1.0 分
41,A、
42,光绪
43,B、
44,道光
45,C、
46,咸丰
47,D、
48,宣统
49,我的答案：C
50,6下列宫殿建于汉高祖时期的是（）。（1.0分）1.0 分
51,A、
52,大明宫
53,B、
54,长乐宫
55,C、
56,太极宫
57,D、
58,极乐宫
59,我的答案：B
60,7“垂帘听政”时期，宫内举行太庙祭享，需请（）恭代。（1.0分）1.0 分
61,A、
62,道士
63,B、
64,皇太后
65,C、
66,议政王
67,D、
68,遣王
69,我的答案：D
70,8翁同龢是（）两位清帝的师傅。（1.0分）1.0 分
71,A、
72,咸丰、同治
73,B、
74,咸丰、光绪
75,C、
76,同治、光绪
77,D、
78,光绪、宣统
79,我的答案：C
80,9发生于嘉道年间的事件是（）。（1.0分）1.0 分
81,A、
82,白莲教起义
83,B、
84,李自成起义
85,C、
86,捻军起义
87,D、
88,太平军起义
89,我的答案：A
90,10太监安德海是（）下令诛杀的。（1.0分）1.0 分
91,A、
92,慈禧太后
93,B、
94,丁宝桢
95,C、
96,慈安太后
97,D、
98,光绪皇帝
99,我的答案：C
100,11“乾清宫”的“乾”意思是指（）。（1.0分）1.0 分
101,A、
102,透彻
103,B、
104,大
105,C、
106,天
107,D、
108,安定
109,我的答案：C
110,12清王朝割让台湾适逢慈禧（）大寿。（1.0分）1.0 分
111,A、
112,五十
113,B、
114,六十
115,C、
116,七十
117,D、
118,八十
119,我的答案：B
120,13光绪对日宣战，决定派（）领兵赴援。（1.0分）1.0 分
121,A、
122,李鸿章
123,B、
124,文廷式
125,C、
126,志锐
127,D、
128,翁同龢
129,我的答案：A
130,14肃顺是（）领侍卫内大臣。（1.0分）0.0 分
131,A、
132,正黄旗
133,B、
134,镶黄旗
135,C、
136,正白旗
137,D、
138,镶蓝旗
139,我的答案：D
140,15下列属于光绪时期“后党”的人是（）。（1.0分）1.0 分
141,A、
142,文廷式
143,B、
144,翁同龢
145,C、
146,志锐
147,D、
148,李莲英
149,我的答案：D
150,16下列战舰一度被誉为“亚洲第一巨舰”的是（）。（1.0分）1.0 分
151,A、
152,靖远与致远巡洋舰
153,B、
154,济远号钢甲快船
155,C、
156,定远与镇远铁甲舰
157,D、
158,来远和经远巡洋舰
159,我的答案：C
160,17下列人物没有当过皇帝的是（）。（1.0分）1.0 分
161,A、
162,宇文化及
163,B、
164,李自成
165,C、
166,张角
167,D、
168,王莽
169,我的答案：C
170,18恭亲王奕訢是三朝名王重臣，此三朝不包括（）。（1.0分）1.0 分
171,A、
172,咸丰
173,B、
174,同治
175,C、
176,光绪
177,D、
178,宣统
179,我的答案：D
180,19朝鲜“壬午大乱”时清廷出兵援救，参与此次战争的人有（）。（1.0分）1.0 分
181,A、
182,翁同龢
183,B、
184,李秀成
185,C、
186,袁世凯
187,D、
188,曾国藩
189,我的答案：C
190,20下列权贵中，不属于清流派的是（）。（1.0分）1.0 分
191,A、
192,张之洞
193,B、
194,张佩纶
195,C、
196,陈宝琛
197,D、
198,奕劻
199,我的答案：D
200,21甲午战争中北洋舰队最终覆灭的地点是（）。（1.0分）1.0 分
201,A、
202,旅顺
203,B、
204,丰岛
205,C、
206,威海卫
207,D、
208,黄海
209,我的答案：C
