,题目
0,1
1,对当方阵向我们展示了具有相同主项和相同谓项的两个直言命题之间的（）种可能的逻辑关系。（1.0分）
2,1.0分
3,A、
4,三
5,B、
6,四
7,C、
8,六
9,D、
10,九
11,正确答案： C我的答案：C
12,2
13,条件命题可以分为（）。（1.0分）
14,1.0分
15,A、
16,充分条件命题
17,B、
18,必要条件命题
19,C、
20,充要条件命题
21,D、
22,以上都对
23,正确答案： D我的答案：D
24,3
25,根据论证的前提与结论的支持关系，谬误可以分为（）。（1.0分）
26,1.0分
27,A、
28,前提谬误
29,B、
30,相干谬误
31,C、
32,支持谬误
33,D、
34,以上都对
35,正确答案： D我的答案：D
36,4
37,直言命题的类型不包括（）。（1.0分）
38,1.0分
39,A、
40,全称肯定命题
41,B、
42,特称肯定命题
43,C、
44,全称逆否命题
45,D、
46,特称否定命题
47,正确答案： C我的答案：C
48,5
49,（）是一个从已确定断言产生出新断言的过程。（1.0分）
50,1.0分
51,A、
52,辩论
53,B、
54,结论
55,C、
56,推论
57,D、
58,论断
59,正确答案： C我的答案：C
60,6
61,在三段论中，主项是专有名词的命题，我们通常称为（）。（1.0分）
62,1.0分
63,A、
64,专有命题
65,B、
66,特称命题
67,C、
68,单称命题
69,D、
70,全称命题
71,正确答案： C我的答案：C
72,7
73,蕴涵关系只有从（）来看才是成立的。（1.0分）
74,1.0分
75,A、
76,条件
77,B、
78,结论
79,C、
80,存在观点
81,D、
82,推论
83,正确答案： C我的答案：C
84,8
85,“弥尔五法”包括（）。（1.0分）
86,0.0分
87,A、
88,求同法和求异法
89,B、
90,求同求异并存法
91,C、
92,共变法和剩余法
93,D、
94,以上都对
95,正确答案： D我的答案：A
96,9
97,（）是指必定有真假的语法正确的字符串。（1.0分）
98,1.0分
99,A、
100,语句
101,B、
102,命题
103,C、
104,陈述
105,D、
106,推论
107,正确答案： B我的答案：B
108,10
109,复合命题论证是指前提或结论中至少有（）个符合命题的论证。（1.0分）
110,1.0分
111,A、
112,一个
113,B、
114,三个
115,C、
116,五个
117,D、
118,六个
119,正确答案： A我的答案：A
120,11
121,支持谬误的情形不包括（）。（1.0分）
122,1.0分
123,A、
124,演绎无效
125,B、
126,合成谬误
127,C、
128,偷换论题
129,D、
130,分解谬误
131,正确答案： C我的答案：C
132,12
133,在真值表检验中，目的是要给给定论证建立一个（）。（1.0分）
134,1.0分
135,A、
136,有效性
137,B、
138,论证者
139,C、
140,真值表
141,D、
142,间接证明
143,正确答案： C我的答案：C
144,13
145,真值函项等值又被称为（）。（1.0分）
146,1.0分
147,A、
148,函项等值
149,B、
150,真值表
151,C、
152,逻辑等值
153,D、
154,真值函项
155,正确答案： C我的答案：C
156,14
157,诉诸权威谬误的通常表现形式包括（）。（1.0分）
158,1.0分
159,A、
160,滥用权威
161,B、
162,不相干权威
163,C、
164,有问题的权威
165,D、
166,以上都对
167,正确答案： D我的答案：D
168,15
169,论证识别的核心内容是（）。（1.0分）
170,1.0分
171,A、
172,论证目的识别
173,B、
174,论证者的识别
175,C、
176,前提与结论的识别
177,D、
178,目标听众的识别
179,正确答案： C我的答案：C
180,16
181,联结词“析取”通常用“（）”来表达。（1.0分）
182,1.0分
183,A、
184,如果
185,B、
186,并且
187,C、
188,或者
189,D、
190,而且
191,正确答案： C我的答案：C
192,17
193,（）结构又可称为串行结构或线性结构。（1.0分）
194,1.0分
195,A、
196,并行结构
197,B、
198,中间结构
199,C、
200,序列结构
201,D、
202,发散结构
203,正确答案： C我的答案：C
204,18
205,一阶逻辑即是指（）。（1.0分）
206,1.0分
207,A、
208,概率逻辑
209,B、
210,数值逻辑
211,C、
212,图式逻辑
213,D、
214,谓词逻辑
215,正确答案： D我的答案：D
216,19
217,在具体进行例示时，必须注意不要混合使用或用完证明中有用的（）。（1.0分）
218,1.0分
219,A、
220,字母
221,B、
222,数字
223,C、
224,联词
225,D、
226,量词
227,正确答案： A我的答案：A
228,20
229,（）是指只有一个前提和一个结论的结构。（1.0分）
230,1.0分
231,A、
232,序列结构
233,B、
234,收敛结构
235,C、
236,简单结构
237,D、
238,发散结构
239,正确答案： C我的答案：C
240,21
241,三段论的式有（）个。（1.0分）
242,1.0分
243,A、
244,64
245,B、
246,128
247,C、
248,256
249,D、
250,512
251,正确答案： C我的答案：C
252,22
253,对于一个好的演绎论证，所有前提均真而结论为假是（）的。（1.0分）
254,1.0分
255,A、
256,不知道
257,B、
258,可能
259,C、
260,不可能
261,D、
262,坏
263,正确答案： C我的答案：C
264,23
265,当命题断言了主项或谓项所指称的类的每一成员时，我们就说这个词项是（）。（1.0分）
266,1.0分
267,A、
268,真的
269,B、
270,假的
271,C、
272,不周延的
273,D、
274,周延的
275,正确答案： D我的答案：D
276,24
277,前提是自我欺骗性语句，即（）。（1.0分）
278,1.0分
279,A、
280,前提虚假谬误
281,B、
282,预期理由谬误
283,C、
284,前提自相矛盾谬误
285,D、
286,以上都不对
287,正确答案： C我的答案：C
288,25
289,论证通常包含的层面包括（）。（1.0分）
290,1.0分
291,A、
292,作为结果的论证
293,B、
294,作为程序的论证
295,C、
296,作为过程的论证
297,D、
298,以上都对
299,正确答案： D我的答案：D
300,26
301,所有的语句都包括（）。（1.0分）
302,1.0分
303,A、
304,语法要素
305,B、
306,词汇要素
307,C、
308,逻辑要素
309,D、
310,语义要素和逻辑要素
311,正确答案： D我的答案：D
312,27
313,在归纳论证中，结论被确证或反驳只是诉诸于（）的。（1.0分）
314,1.0分
315,A、
316,前提本身
317,B、
318,结论本身
319,C、
320,真值表
321,D、
322,感觉经验
323,正确答案： D我的答案：D
324,28
325,白马寺位于（）。（1.0分）
326,1.0分
327,A、
328,洛阳
329,B、
330,西安
331,C、
332,南京
333,D、
334,北京
335,正确答案： A我的答案：A
336,29
337,作为过程的论证就是（）所关注的对象。（1.0分）
338,1.0分
339,A、
340,分析学
341,B、
342,论辩术
343,C、
344,修辞学
345,D、
346,辩证法
347,正确答案： C我的答案：C
348,30
349,（）是指或者总是为真或者总是为假的命题。（1.0分）
350,1.0分
351,A、
352,经验命题
353,B、
354,真假命题
355,C、
356,必然命题
357,D、
358,析取命题
359,正确答案： C我的答案：C
360,31
361,文恩是（）著名的逻辑学家。（1.0分）
362,1.0分
363,A、
364,美国
365,B、
366,德国
367,C、
368,瑞典
369,D、
370,英国
371,正确答案： D我的答案：D
372,32
373,复合命题的逻辑联结词包括（）。（1.0分）
374,1.0分
375,A、
376,合取和析取
377,B、
378,蕴涵和等值
379,C、
380,否定
381,D、
382,以上都对
383,正确答案： D我的答案：D
384,33
385,一个论证是好的，必须满足（）。（1.0分）
386,1.0分
387,A、
388,所有前提都必须是真的
389,B、
390,前提与结论必须是相干的
391,C、
392,所有前提加起来必须给结论提供足够支持
393,D、
394,以上都对
395,正确答案： D我的答案：D
396,34
397,弥尔是（）英国著名的哲学家。（1.0分）
398,1.0分
399,A、
400,十七世纪
401,B、
402,十八世纪
403,C、
404,十九世纪
405,D、
406,二十世纪
407,正确答案： C我的答案：C
408,35
409,（）是指有时，一个语篇到底论证还是解释，是不清楚的。（1.0分）
410,1.0分
411,A、
412,识别论证
413,B、
414,解释论证
415,C、
416,论证解释
417,D、
418,两可情形
419,正确答案： D我的答案：D
420,36
421,四大数学流派不包括（）。（1.0分）
422,0.0分
423,A、
424,柏拉图主义
425,B、
426,逻辑主义
427,C、
428,理性主义
429,D、
430,直觉主义
431,正确答案： C我的答案：D
432,37
433,三段论的五条规则可以分为项规则和（）。（1.0分）
434,1.0分
435,A、
436,格规则
437,B、
438,式规则
439,C、
440,结论规则
441,D、
442,前提规则
443,正确答案： D我的答案：D
444,38
445,在三段论中，就其主项和谓项而言，它有且只有（）个不同的项。（1.0分）
446,1.0分
447,A、
448,一
449,B、
450,二
451,C、
452,三
453,D、
454,四
455,正确答案： C我的答案：C
456,39
457,（1.0分）
458,1.0分
459,A、
460,
461,
462,B、
463,
464,
465,C、
466,
467,
468,D、
469,
470,
471,正确答案： D我的答案：D
472,40
473,如果论证的所有前提同时为真是不可能的，那么这个论证的前提就是（）的。（1.0分）
