,题目
0,1“所有的广东人是中国人”中“所有”是（）。（1.0分）1.0 分
1,A、
2,联项
3,B、
4,主项
5,C、
6,量词
7,D、
8,谓项
9,正确答案： C 我的答案：C
10,
11,2论证通常包含的层面包括（）。（1.0分）1.0 分
12,A、
13,作为结果的论证
14,B、
15,作为程序的论证
16,C、
17,作为过程的论证
18,D、
19,以上都对
20,正确答案： D 我的答案：D
21,
22,3斯多葛学派的代表人物不包括（）。（1.0分）1.0 分
23,A、
24,芝诺
25,B、
26,塞内卡
27,C、
28,奥勒留
29,D、
30,泰勒斯
31,正确答案： D 我的答案：D
32,
33,4违背规则“前提与结论必须是相干”的谬误不包括（）。（1.0分）1.0 分
34,A、
35,稻草人谬误
36,B、
37,人身攻击谬误
38,C、
39,合成谬误
40,D、
41,非黑即白谬误
42,正确答案： C 我的答案：C
43,
44,5对当方阵向我们展示了具有相同主项和相同谓项的两个直言命题之间的（）种可能的逻辑关系。（1.0分）1.0 分
45,A、
46,三
47,B、
48,四
49,C、
50,六
51,D、
52,九
53,正确答案： C 我的答案：C
54,
55,6藏传佛教格鲁派（黄教）的创立者是（）。（1.0分）1.0 分
56,A、
57,慧能
58,B、
59,仓央嘉措
60,C、
61,宗喀巴
62,D、
63,达赖喇嘛
64,正确答案： C 我的答案：C
65,
66,7关于直言命题，我们能够进行的运算包括（）。（1.0分）1.0 分
67,A、
68,换位法
69,B、
70,换质法
71,C、
72,对换法
73,D、
74,以上都对
75,正确答案： D 我的答案：D
76,
77,8在归纳论证中，结论被确证或反驳只是诉诸于（）的。（1.0分）1.0 分
78,A、
79,前提本身
80,B、
81,结论本身
82,C、
83,真值表
84,D、
85,感觉经验
86,正确答案： D 我的答案：D
87,
88,9在具体进行例示时，应注意全称例示和存在例示都必须总是涉及到管辖了这个命题其他部分的（）。（1.0分）1.0 分
89,A、
90,联词
91,B、
92,名词
93,C、
94,量词
95,D、
96,介词
97,正确答案： C 我的答案：C
98,
99,10（）是指必定有真假的语法正确的字符串。（1.0分）1.0 分
100,A、
101,语句
102,B、
103,命题
104,C、
105,陈述
106,D、
107,推论
108,正确答案： B 我的答案：B
109,
110,11（）是针对人的论证的一种滥用形式。（1.0分）1.0 分
111,A、
112,稻草人谬误
113,B、
114,法庭悖论
115,C、
116,人身攻击谬误
117,D、
118,非黑即白谬误
119,正确答案： C 我的答案：C
120,
121,12支持谬误的情形不包括（）。（1.0分）1.0 分
122,A、
123,演绎无效
124,B、
125,合成谬误
126,C、
127,偷换论题
128,D、
129,分解谬误
130,正确答案： C 我的答案：C
131,
132,13表达条件关系复句的常用关联词不包括（）。（1.0分）1.0 分
133,A、
134,当且仅当
135,B、
136,当且惟若
137,C、
138,只有……才……
139,D、
140,是
141,正确答案： D 我的答案：D
142,
143,14真值函项等值又被称为（）。（1.0分）1.0 分
144,A、
145,函项等值
146,B、
147,真值表
148,C、
149,逻辑等值
150,D、
151,真值函项
152,正确答案： C 我的答案：C
153,
154,15蕴涵关系只有从（）来看才是成立的。（1.0分）1.0 分
155,A、
156,条件
157,B、
158,结论
159,C、
160,存在观点
161,D、
162,推论
163,正确答案： C 我的答案：C
164,
165,16西塞罗是（）的修辞学家。（1.0分）1.0 分
166,A、
167,古希腊
168,B、
169,古埃及
170,C、
171,古罗马
172,D、
173,古印度
174,正确答案： C 我的答案：C
175,
176,17论证识别的核心内容是（）。（1.0分）1.0 分
177,A、
178,论证目的识别
179,B、
180,论证者的识别
181,C、
182,前提与结论的识别
183,D、
184,目标听众的识别
185,正确答案： C 我的答案：C
186,
187,18标志词“如果”后面的命题被称为（）。（1.0分）1.0 分
188,A、
189,前提
190,B、
191,条件
192,C、
193,结论
194,D、
195,前件
196,正确答案： D 我的答案：D
197,
198,19一个论证是可靠的，必须满足两个条件，一是所有前提都是真的，二是（）。（1.0分）1.0 分
199,A、
200,所有结论都是真的
201,B、
202,部分结论是真的
203,C、
204,论证形式是有效的
205,D、
206,以上都不对
207,正确答案： C 我的答案：C
208,
209,20“所有的逻辑学家都是哲学家，所有美学家都是逻辑学家，因此，所有美学家都是哲学家”，这个三段论中，结论标识词是（）。（1.0分）1.0 分
210,A、
211,所有
212,B、
213,都是
214,C、
215,哲学家
216,D、
217,因此
218,正确答案： D 我的答案：D
219,
220,21“所有的逻辑学家都是哲学家，所有美学家都是逻辑学家，因此，所有美学家都是哲学家”，这个三段论中，大项是（）。（1.0分）0.0 分
221,A、
222,逻辑学家
223,B、
224,美学家
225,C、
226,哲学家
227,D、
228,以上都不对
229,正确答案： C 我的答案：D
230,
231,22论证的功能包括证成和（）。（1.0分）1.0 分
232,A、
233,推论
234,B、
235,辩论
236,C、
237,反驳
238,D、
239,归谬
240,正确答案： C 我的答案：C
241,
242,23（）是指通过改变命题的质或量从而推导出新命题的论证。（1.0分）1.0 分
243,A、
244,三段论论证
245,B、
246,对当关系论证
247,C、
248,质量论证
249,D、
250,直言命题运算论证
251,正确答案： D 我的答案：D
252,
253,24逻辑主义的代表人物是（）。（1.0分）1.0 分
254,A、
255,罗素
256,B、
257,希尔伯特
258,C、
259,哥德尔
260,D、
261,布劳威尔
262,正确答案： A 我的答案：A
263,
264,25《数学与猜想》的作者是（）。（1.0分）1.0 分
265,A、
266,罗素
267,B、
268,周北海
269,C、
270,金岳霖
271,D、
272,波利亚
273,正确答案： D 我的答案：D
274,
275,26条件命题可以分为（）。（1.0分）1.0 分
276,A、
277,充分条件命题
278,B、
279,必要条件命题
280,C、
281,充要条件命题
282,D、
283,以上都对
284,正确答案： D 我的答案：D
285,
286,27如果所诉诸的怜悯与结论是不相干的，那就犯了（）。（1.0分）1.0 分
287,A、
288,诉诸公众论证
289,B、
290,诉诸威力论证
291,C、
292,不适当权威论证
293,D、
294,诉诸怜悯论证
295,正确答案： D 我的答案：D
296,
297,28如果论证的所有前提同时为真是不可能的，那么这个论证的前提就是（）的。（1.0分）1.0 分
298,A、
299,一致
300,B、
301,不一致
302,C、
303,可接受
304,D、
305,不可接受
306,正确答案： B 我的答案：B
307,
308,29在逻辑方阵中，两个命题是蕴涵关系，当且仅当，它们同时满足的条件是（）。（1.0分）1.0 分
309,A、
310,它们是从存在观点来考虑的
311,B、
312,它们具有相同主项和相同谓项
313,C、
314,它们有不同的量和相同的质
315,D、
316,以上都对
317,正确答案： D 我的答案：D
318,
319,30“一方对立场的抨击必须与另一方确实已提出的立场有关”，这是批判性讨论规则中的（）。（1.0分）1.0 分
320,A、
321,自由规则
322,B、
323,举证规则
324,C、
325,责任规则
326,D、
327,立场规则
328,正确答案： D 我的答案：D
329,
330,31语言学的维度不包括（）。（1.0分）1.0 分
331,A、
332,语义
333,B、
334,语法
335,C、
336,语气
337,D、
338,语用
339,正确答案： C 我的答案：C
340,
341,32在中国哲学教科书中，谬误通常被视为（）的对立面。（1.0分）1.0 分
342,A、
343,错误
344,B、
345,差错
346,C、
347,悖论
348,D、
349,真理
350,正确答案： D 我的答案：D
351,
352,33三段论的五条规则可以分为项规则和（）。（1.0分）1.0 分
353,A、
354,格规则
355,B、
356,式规则
357,C、
358,结论规则
359,D、
360,前提规则
361,正确答案： D 我的答案：D
362,
363,34名家的代表人物不包括（）。（1.0分）1.0 分
364,A、
365,公孙龙
366,B、
367,惠施
368,C、
369,邹衍
370,D、
371,邓析
372,正确答案： C 我的答案：C
373,
374,35对于一个好的演绎论证，所有前提均真而结论为假是（）的。（1.0分）1.0 分
375,A、
376,不知道
377,B、
378,可能
379,C、
380,不可能
381,D、
382,坏
383,正确答案： C 我的答案：C
384,
385,36前提是自我欺骗性语句，即（）。（1.0分）1.0 分
386,A、
387,前提虚假谬误
388,B、
389,预期理由谬误
390,C、
391,前提自相矛盾谬误
392,D、
393,以上都不对
394,正确答案： C 我的答案：C
395,
396,37（）是指只有一个前提和一个结论的结构。（1.0分）1.0 分
397,A、
398,序列结构
399,B、
400,收敛结构
401,C、
402,简单结构
403,D、
404,发散结构
405,正确答案： C 我的答案：C
406,
407,38收敛结构又称为（），是指由两个或两个以上前提分别独立支持同一结论的结构。（1.0分）1.0 分
408,A、
409,序列结构
410,B、
411,简单结构
412,C、
413,同一结构
414,D、
415,并行结构
416,正确答案： D 我的答案：D
417,
418,39作为过程的论证就是（）所关注的对象。（1.0分）1.0 分
419,A、
420,分析学
421,B、
422,论辩术
423,C、
424,修辞学
425,D、
426,辩证法
427,正确答案： C 我的答案：C
428,
429,40文恩是（）著名的逻辑学家。（1.0分）1.0 分
430,A、
431,美国
432,B、
433,德国
434,C、
435,瑞典
436,D、
437,英国
438,正确答案： D 我的答案：D
439,
440,41一组不一致的前提（）推导出不一致的结论。（1.0分）1.0 分
441,A、
442,可能
443,B、
444,不会
445,C、
446,必然
447,D、
448,不确定
449,正确答案： C 我的答案：C
450,
451,42乞题谬误又被称为（）。（1.0分）1.0 分
452,A、
453,前提谬误
454,B、
455,结论谬误
456,C、
457,支持谬误
458,D、
459,循环论证
460,正确答案： D 我的答案：D
461,43联结词“析取”通常用“（）”来表达。（1.0分）1.0 分
462,A、
463,如果
464,B、
465,并且
466,C、
467,或者
468,D、
469,而且
470,正确答案： C 我的答案：C
471,
472,44在汉语中，联结词“合取”又被称为（）。（1.0分）1.0 分
473,A、
474,析取
475,B、
476,条件
477,C、
478,联言
479,D、
480,联合
481,正确答案： C 我的答案：C
482,
483,45在三段论中，就其主项和谓项而言，它有且只有（）个不同的项。（1.0分）1.0 分
484,A、
485,一
486,B、
487,二
488,C、
489,三
490,D、
491,四
492,正确答案： C 我的答案：C
493,
494,46论证评价的基本标准不包括（）。（1.0分）1.0 分
495,A、
496,形式逻辑标准
497,B、
498,论辩标准
499,C、
500,修辞标准
501,D、
502,谬误标准
503,正确答案： D 我的答案：D
504,
505,47在三段论中，如果前提中有一个是否定命题，那么结论必定是（）。（1.0分）1.0 分
506,A、
507,肯定命题
508,B、
509,否定命题
510,C、
511,真命题
512,D、
513,假命题
514,正确答案： B 我的答案：B
515,
516,48
517,根据传统逻辑学标准，论证评价的逻辑标准的类型包括演绎逻辑标准和（）。
518,（1.0分）1.0 分
519,A、
520,解释逻辑标准
521,B、
522,辩证逻辑标准
523,C、
524,归纳逻辑标准
525,D、
526,以上都不对
527,正确答案： C 我的答案：C
528,
529,49（）被马克思称之为古代最伟大的思想家。（1.0分）1.0 分
530,A、
531,柏拉图
532,B、
533,奥古斯丁
534,C、
535,亚里士多德
536,D、
537,马丁·路德
538,正确答案： C 我的答案：C
539,
540,50弥尔是（）英国著名的哲学家。（1.0分）1.0 分
541,A、
542,十七世纪
543,B、
544,十八世纪
545,C、
546,十九世纪
547,D、
548,二十世纪
549,正确答案： C 我的答案：C
550,
551,二、 判断题（题数：50，共 50.0 分）
552,1
553,在三段论中，在前提中不周延的项，在结论中也不可以周延。（）
554,（1.0分）1.0 分
555,正确答案： √ 我的答案： √
556,2演绎有效论证即是指结论能够从前提中逻辑推导出来的论证。（）（1.0分）1.0 分
557,正确答案： √ 我的答案： √
558,
559,3谬误是不能被定义的。（）（1.0分）1.0 分
560,正确答案： × 我的答案： ×
561,
562,4否定命题是指通过对一个命题加上否定逻辑联结词“并非”所形成的命题。（）（1.0分）1.0 分
563,正确答案： √ 我的答案： √
564,
565,5“概率”是“可能性”的进一步精确化，是用数值来精确计算了的可能性。（）（1.0分）1.0 分
566,正确答案： √ 我的答案： √
567,
568,6“合取”的真值规则是：只有当所有合取支为真时，它才为真，否则便为假。（）（1.0分）1.0 分
569,正确答案： √ 我的答案： √
570,
571,7直言三段论是指由两个包含一个共同项的前提有效地推导出结论的论证。（）（1.0分）1.0 分
572,正确答案： √ 我的答案： √
573,
574,8一个论证是好的，其前提和结论不必构成充分支持关系。（）（1.0分）1.0 分
575,正确答案： × 我的答案： ×
576,
577,9条件命题是指一个命题为真是另一个命题为真的充分条件的命题。（）（1.0分）1.0 分
578,正确答案： √ 我的答案： √
579,
580,10逻辑学的任务之一就是发现谬误、找出谬误以及掌握这些逻辑错误的具体形式。（）（1.0分）1.0 分
581,正确答案： √ 我的答案： √
582,
583,11可能性要求我们必须基于我们所拥有的经验来接受结论。（）（1.0分）1.0 分
584,正确答案： √ 我的答案： √
585,
586,12“所有彩色蜡笔画都是蜡笔画”是特称命题。（）（1.0分）1.0 分
587,正确答案： × 我的答案： ×
588,
589,13针对“逻辑非”的电路图，不遵循逻辑算子“否定”的规则。（）（1.0分）1.0 分
590,正确答案： × 我的答案： ×
591,
592,14诉诸权威谬误是诉诸权威论证的一种滥用形式。（）（1.0分）1.0 分
593,正确答案： √ 我的答案： √
594,
595,15否定率是指把一个命题的概率与其否定的概率关联起来。（）（1.0分）1.0 分
596,正确答案： √ 我的答案： √
597,
598,16“所有的逻辑学家都是哲学家，所有美学家都是逻辑学家，因此，所有美学家都是哲学家”，这个三段论中，小项是美学家。（）（1.0分）1.0 分
599,正确答案： √ 我的答案： √
600,
601,17西塞罗的《论演说家》主要讨论的是论证写作问题。（）（1.0分）1.0 分
602,正确答案： × 我的答案： ×
603,
604,18在演绎逻辑中，所有前提真而结论假是可能的。（）（1.0分）1.0 分
605,正确答案： × 我的答案： ×
606,
607,19等值规则不允许用一个等值命题替换另一个命题。（）（1.0分）1.0 分
608,正确答案： × 我的答案： ×
609,
610,20论证必须至少有一个前提，且可以有多个前提。（）（1.0分）1.0 分
611,正确答案： √ 我的答案： √
612,
613,21英国哲学家斯特劳森认为陈述与命题是有区别的。（）（1.0分）1.0 分
614,正确答案： √ 我的答案： √
615,
616,22论证结构只能被分为序列结构和收敛结构两种。（）（1.0分）1.0 分
617,正确答案： × 我的答案： ×
618,
619,23标志词“那么”后面的命题被称为结论。（）（1.0分）1.0 分
620,正确答案： × 我的答案： ×
621,
622,24归纳论证也被称为归纳法。（）（1.0分）1.0 分
623,正确答案： √ 我的答案： √
624,
625,25要检验一个命题是否蕴涵另一个命题，只是需要看推导过程是否有矛盾。（）（1.0分）1.0 分
626,正确答案： × 我的答案： ×
627,
628,26事实命题真假的判断通过查文献、观察、实践等感知方法就可以判断。（）（1.0分）1.0 分
629,正确答案： √ 我的答案： √
630,
631,27闭合结构是指由两个或两个以上前提共同支持一个结论的结构。（）（1.0分）1.0 分
632,正确答案： √ 我的答案： √
633,
634,28如果X在Y之前发生，那么X就是原因。（）（1.0分）1.0 分
635,正确答案： × 我的答案： ×
636,
637,29在处理关系命题时，完全没有必要对一元量化理论进行扩充。（）（1.0分）1.0 分
638,正确答案： × 我的答案： ×
639,
640,30在自然语言中，所有的有效论证都与我们给定的形式是相匹配的。（）（1.0分）1.0 分
641,正确答案： × 我的答案： ×
642,
643,31“中国人是中国人”，这是一个必然真命题。（）（1.0分）1.0 分
644,正确答案： √ 我的答案： √
645,
646,32不能用量化等值和真值函项等值来决定做例示的位置。（）（1.0分）1.0 分
647,正确答案： × 我的答案： ×
648,
649,33逍遥学派的创立者是柏拉图。（）（1.0分）1.0 分
650,正确答案： × 我的答案： ×
651,
652,34不一致谬误是指违背了规则“一个好论证必须其每个前提都是可接受的”。（）（1.0分）1.0 分
653,正确答案： √ 我的答案： √
654,
655,35“等值”的真值规则是：只有当前件和后件都具有不同的真值时才为真，否则为假。（）（1.0分）1.0 分
656,正确答案： × 我的答案： ×
657,
658,36
659,属种关系是一种真包含关系。（）
660,（1.0分）1.0 分
661,正确答案： √ 我的答案： √
662,
663,37所有的三段论都可以用文恩图来分析其有效性。（）（1.0分）1.0 分
664,正确答案： × 我的答案： ×
665,
666,38发散结构不是论证结构的类型之一。（）（1.0分）1.0 分
667,正确答案： × 我的答案： ×
668,
669,39演绎有效性是指前提真结论假是可能的。（）（1.0分）1.0 分
670,正确答案： × 我的答案： ×
671,
672,40因果假设不是一种归纳论证。（）（1.0分）1.0 分
673,正确答案： × 我的答案： ×
674,
675,41故意转移到另一个结论上去的论证是指转移论题。（）（1.0分）1.0 分
676,正确答案： × 我的答案： ×
677,
678,42数值概率是归纳逻辑现代化的基础。（）（1.0分）1.0 分
679,正确答案： √ 我的答案： √
680,
681,43
682,三段论有八个格。（）
683,（1.0分）1.0 分
684,正确答案： × 我的答案： ×
685,
