,题目
0,成绩： 100.0分 
1,一、 单选题（题数：30，共60.0分） 
2,1 康德认为（）打破了他独断主义的迷梦。（2.0分）2.0分 窗体顶端
3,A、 卢梭 
4,B、 洛克 
5,C、 休谟 
6,D、 贝克莱 
7,窗体底端
8,我的答案：C 
9,2 关于柏拉图的“理念说”，下列说法错误的是？（）2.0 分窗体顶端
10,
11,A、 理念是事物的共相 
12,B、 理念是事物存在的根据 
13,C、 理念是事物追求的目的 
14,D、 理念是事物在通过模仿别的事物而得到的 
15,窗体底端
16,我的答案：D 
17,3 康德“认识论”的最高原则是？（）2.0 分窗体顶端
18,
19,A、 知性为自然立法 
20,B、 自然为认识立法 
21,C、 认识为自由立法 
22,D、 自由为认识立法 
23,窗体底端
24,我的答案：A 
25,4 给整个近代哲学奠定基础的理论是（）。（）2.0 分窗体顶端
26,
27,A、 二元论 
28,B、 本体论 
29,C、 物质论 
30,D、 一元论 
31,窗体底端
32,我的答案：A 
33,5 中世纪哲学是指哪一时期的哲学？（）2.0 分窗体顶端
34,
35,A、公元4世纪到15世纪 
36,B、 公元2世纪到16世纪 
37,C、 公元5世纪到12世纪 
38,D、 公元8世纪到12世纪 
39,窗体底端
40,我的答案：B 
41,6 莱布尼兹和（）几乎同时发明了微积分。（）2.0 分窗体顶端
42,
43,A、 笛卡尔 
44,B、 牛顿 
45,C、 高斯 
46,D、 康德 
47,窗体底端
48,我的答案：B 
49,7 中世纪的教父哲学受哪种哲学思想影响最大？（）2.0 分窗体顶端
50,
51,A、 伊壁鸠鲁主义 
52,B、 怀疑主义 
53,C、 新柏拉图主义 
54,D、 希腊自然哲学 
55,窗体底端
56,我的答案：C 
57,8 贝克莱是英国（）主义哲学家（）2.0 分窗体顶端
58,
59,A、 批判主义 
60,B、 唯心主义 
61,C、 经验主义 
62,D、 实证主义 
63,窗体底端
64,我的答案：C 
65,9 马克思所谓的“黑格尔哲学的真正诞生地”是指哪本书？（）2.0 分 
66,窗体顶端
67,
68,A、 《精神现象学》 
69,B、 《逻辑学》 
70,C、 《精神分析引论》 
71,D、 《法哲学原理》 
72,窗体底端
73,我的答案：A 
74,10 经院哲学十分关注的问题包括下列哪个选项？（）2.0 分窗体顶端
75,
76,A、 世界的组成方式 
77,B、 具体事物之间的联系 
78,C、 一般与个别的关系 
79,D、 存在与存在者的关系 
80,窗体底端
81,我的答案：C 
82,11 《俄狄浦斯王》是谁的作品（）2.0 分窗体顶端
83,
84,A、 列夫托尔斯泰 
85,B、 罗素 
86,C、 弗洛伊德 
87,D、 索福克勒斯 
88,窗体底端
89,我的答案：D 
90,12 亚里士多德讲存在有几种意义？（）2.0 分窗体顶端
91,
92,A、 1 
93,B、 2 
94,C、 3 
95,D、 4 窗体底端
96,我的答案：B 
97,13 中世纪是（）占绝对统治地位的时期。（）2.0 分窗体顶端
98,
99,A、 基督教 
100,B、 天主教 
101,C、 伊斯兰教 
102,D、 佛教 
103,窗体底端
104,我的答案：A 
105,14 洛克最重要的著作叫做（）。（）2.0 分窗体顶端
106,
107,A、 人类发展论 
108,B、 政府论 
109,C、 人类理智论 
110,D、 人类认识论 
111,窗体底端
112,我的答案：C 
113,15 康德时代把传统形而上学分为（）部分。（）2.0 分窗体顶端
114,
115,A、 1 
116,B、 2 
117,C、 3 
118,D、 4 
119,窗体底端
120,我的答案：C 
121,16 “朝霞伴随着康德而兴起，自由贯彻哲学而始终”，是谁说的？（）2.0 分窗体顶端
122,
123,A、 谢林 
124,B、 黑格尔 
125,C、 费尔巴哈 
126,D、 莱布尼茨 
127,窗体底端
128,我的答案：A 
129,17 （）说康德在形而上学思维方式上打开了第一个缺口。（）2.0 分窗体顶端
130,
131,A、 马克思 
132,B、 洛克 
133,C、 恩格斯 
134,D、 黑格尔 
135,窗体底端
136,我的答案：C 
137,18 苏格拉底的对话中，他总是不断地在追问一个事物的本质规定是什么，而他的对手经常用什么来做回答？（）2.0 分窗体顶端
138,
139,A、 不知道 
140,B、 抽象概念 
141,C、 具体事物 
142,D、 模糊定义 
143,窗体底端
144,我的答案：C 
145,19 康德把先天综合判断具体化为几个问题来讨论？（）2.0 分窗体顶端
146,
147,A、 1 
148,B、 2 
149,C、 3 
150,D、 4 
151,窗体底端
152,我的答案：C 
153,20 康德强调知识是由（）构成的。（）2.0 分窗体顶端
154,
155,A、 理性 
156,B、 判断 
157,C、 经验 
158,D、 直觉 
159,窗体底端
160,我的答案：B 
161,21 “心物两面论”是谁的观点？（）2.0 分窗体顶端
162,
163,A、 黑格尔 
164,B、 休谟 
165,C、 斯宾诺莎 
166,D、 笛卡尔 
167,窗体底端
168,我的答案：C 
169,22 亚里士多德在《形而上学》第十二卷后五章里面讲（）是实体。（）2.0 分窗体顶端
170,
171,A、 人 
172,B、 神 
173,C、 世界 
174,D、 动物 
175,窗体底端
176,我的答案：B 
177,23 “哲学问题有这样的问题-我找不到出路”，是谁说的？（）2.0 分窗体顶端
178,
179,A、 维特根斯坦 
180,B、 泰勒斯 
181,C、 威廉·詹姆斯 
182,D、 杜威 
183,窗体底端
184,我的答案：A 
185,24 《存在与时间》的作者是：（）2.0 分窗体顶端
186,
187,A、 黑格尔 
188,B、 胡塞尔 
189,C、 海德格尔 
190,D、 萨特 
191,窗体底端
192,我的答案：C 
193,25 以下选项中人生无法选择的是？（）2.0 分 
194,窗体顶端
195,
196,A、 出身家庭 
197,B、 学识水平 
198,C、 价值观念 
199,D、 人生目标 
200,窗体底端
201,我的答案：A 
202,26 对黑格尔而言，从人的角度认识宇宙，即是让人成为（）的代言人。（）2.0 分窗体顶端
203,
204,A、 形而上学 
205,B、 绝对精神 
206,C、 意识形态 
207,D、 社会形态 
208,窗体底端
209,我的答案：B 
210,27 “上帝说有光就有了光。”出自下列哪本书？（）2.0 分窗体顶端
211,
212,A、 《纯粹理性批判》 
213,B、 《圣经》 
214,C、 《判断力批判》 
215,D、 《忏悔录》 
216,窗体底端
217,我的答案：B 
218,28 笛卡尔形而上学包括几条原理？（）2.0 分窗体顶端
219,
220,A、 0 B、 1 C、 2 D、 3 窗体底端
221,我的答案：D 
222,29 《纯粹理性批判》考察（）。（）2.0 分窗体顶端
223,
224,A、 实践理性 
225,B、 判断力 
226,C、 感觉经验 
227,D、 认识能力 
228,窗体底端
229,我的答案：D 
230,30 哥白尼的日心说对哲学发展的影响不包括以下哪一个？（）2.0 分窗体顶端
231,
232,A、 否认了上帝存在 
233,B、 否认了太阳神的存在 
234,C、 肯定了人能够认识太阳的能力 
235,D、 动摇了神学统治的基础 
236,窗体底端
237,我的答案：D 
238,二、 判断题（题数：20，共40.0分） 
239,1 苏格拉底将巴门尼德本体论转向发扬光大（）2.0 分窗体顶端
240,我的答案： √ 
241,窗体底端
242,2 康德说所有的东西必须以有一个善良意志为前提。（2.0分）2.0 分 窗体顶端
243,
244,我的答案： √ 
245,窗体底端
246,3 《纯粹理性批判》要解决主体具有先天认识形式的问题。（2.0分）2.0 分 窗体顶端
247,
248,我的答案： √ 
249,窗体底端
250,4 康德认为，如果我们把认识能力扩展到一切事物之中，我们就没有自由了。所以他提出“限制知识”。（2.0分）2.0 分 窗体顶端
251,
252,我的答案： √ 
253,窗体底端
254,5 哲学诞生于希腊。（2.0分）2.0 分 窗体顶端
255,
256,我的答案： √ 
257,窗体底端
258,6 康德的伦理学是典型的动机论。（2.0分）2.0 分 窗体顶端
259,
260,我的答案： √ 
261,窗体底端
262,7 《论人类不平等的起源和基础》是洛克的作品。（2.0分）2.0 分 窗体顶端
263,
264,我的答案： × 
265,窗体底端
266,8 康德讲主题能动性是局限在人的理性讲的。（2.0分）2.0 分 窗体顶端
267,
268,我的答案： √ 
269,窗体底端
270,9 希腊哲学重视自然主义和科学精神。（2.0分）2.0 分 窗体顶端
271,
272,我的答案： √ 
273,窗体底端
274,10 在探讨“自然”的时候，我们需要区分出“能生的自然”和“被生的自然”。（2.0分）2.0 分 窗体顶端
275,
276,我的答案： √ 
277,窗体底端
278,11 黑格尔曾说不要在亚里士多德哲学里寻找体系。（2.0分）2.0 分 窗体顶端
279,
280,我的答案： √ 
281,窗体底端
282,12 柏拉图十分肯定，肮脏的东西也是有着理念的。（2.0分）2.0 分 窗体顶端
283,
284,我的答案： × 
285,窗体底端
