,题目
0,一、 单选题（题数：50，共50.0分）
1,1
2,关于公共艺术的描述，说法有误的是（）。（1.0分）
3,1.0分
4,窗体顶端
5,A、
6,处于公共环境中
7,B、
8,与所处环境相协调
9,C、
10,为公众所认可
11,D、
12,不易被破坏
13,窗体底端
14,我的答案：D
15,2
16,“小国寡民”是（）的社会理想。（1.0分）
17,1.0分
18,窗体顶端
19,A、
20,孟子
21,B、
22,墨子
23,C、
24,庄子
25,D、
26,老子
27,窗体底端
28,我的答案：D
29,3
30,下列不属于西方园林的类型是（）。（1.0分）
31,1.0分
32,窗体顶端
33,A、
34,台地式园林
35,B、
36,古典式园林
37,C、
38,英国式园林
39,D、
40,法国式园林
41,窗体底端
42,我的答案：D
43,4
44,西方园林对应的中国文化是（）。（1.0分）
45,1.0分
46,窗体顶端
47,A、
48,儒家
49,B、
50,道家
51,C、
52,佛家
53,D、
54,法家
55,窗体底端
56,我的答案：B
57,5
58,奥运会是从（）年开始举办。（1.0分）
59,1.0分
60,窗体顶端
61,A、
62,公元前774年
63,B、
64,公元前775年
65,C、
66,公元前776年
67,D、
68,公元前777年
69,窗体底端
70,我的答案：C
71,6
72,大陆法系与普通法系的基本差异主要表现在（）上。（1.0分）
73,1.0分
74,窗体顶端
75,A、
76,精神气质
77,B、
78,法律技术
79,C、
80,法律条文
81,D、
82,制定机构
83,窗体底端
84,我的答案：B
85,7
86,城邦民主的特征表现为（）。（1.0分）
87,0.0分
88,窗体顶端
89,A、
90,间接性、广泛性
91,B、
92,直接性、广泛性
93,C、
94,直接性、狭隘性
95,D、
96,间接性、狭隘性
97,窗体底端
98,我的答案：D
99,8
100,英国在宗教改革中建立的民族教会，也称为（）。（1.0分）
101,1.0分
102,窗体顶端
103,A、
104,安立甘教会
105,B、
106,英格兰教会
107,C、
108,民族圣公会
109,D、
110,安立甘圣公会
111,窗体底端
112,我的答案：A
113,9
114,美国宪法明确规定总统的任期是（）。（1.0分）
115,0.0分
116,窗体顶端
117,A、
118,最多一年
119,B、
120,最多两年
121,C、
122,最多四年
123,D、
124,最多八年
125,窗体底端
126,我的答案：B
127,10
