,题目
0,1
1,《论法的精神》的作者是（）。（1.0分）
2,1.0分
3,窗体顶端
4,A、
5,卢梭
6,
7,B、
8,洛克
9,
10,C、
11,孟德斯鸠
12,
13,D、
14,伏尔泰
15,
16,窗体底端
17,正确答案： C我的答案：C
18,2
19,威廉·乔伊斯出生于（）。（1.0分）
20,1.0分
21,窗体顶端
22,A、
23,英国
24,
25,B、
26,爱尔兰
27,
28,C、
29,德国
30,
31,D、
32,美国
33,
34,窗体底端
35,正确答案： D我的答案：D
36,3
37,“我不同意你的意见，但是我愿意用生命来捍卫你发表自己意见的权利”，这句话出自（）。（1.0分）
38,1.0分
39,窗体顶端
40,A、
41,卢梭
42,
43,B、
44,洛克
45,
46,C、
47,罗素
48,
49,D、
50,伏尔泰
51,
52,窗体底端
53,正确答案： D我的答案：D
54,4
55,马丁·路德的国籍是（）。（1.0分）
56,1.0分
57,窗体顶端
58,A、
59,英国
60,
61,B、
62,法国
63,
64,C、
65,意大利
66,
67,D、
68,德国
69,
70,窗体底端
71,正确答案： D我的答案：D
72,5
73,“万有引力定律”的发现者是（）。（1.0分）
74,1.0分
75,窗体顶端
76,A、
77,伽利略
78,
79,B、
80,莱布尼兹
81,
82,C、
83,开普勒
84,
85,D、
86,牛顿
87,
88,窗体底端
89,正确答案： D我的答案：D
90,6
91,“理智的最后一步就是要承认有无限的事物是超乎理智之外”能反映谁的观点？（）（1.0分）
92,1.0分
93,窗体顶端
94,A、
95,伽利略
96,
97,B、
98,开普勒
99,
100,C、
101,帕斯卡尔
102,
103,D、
104,笛卡尔
105,
106,窗体底端
107,正确答案： C我的答案：C
108,7
109,法国的专制王权在（）时期达到顶峰。（1.0分）
110,1.0分
111,窗体顶端
112,A、
113,查理六世
114,
115,B、
116,亨利二世
117,
118,C、
119,路易十四
120,
121,D、
122,路易十六
123,
124,窗体底端
125,正确答案： C我的答案：C
126,8
127,伽利略逝世于（）。（1.0分）
128,1.0分
129,窗体顶端
130,A、
131,1578年
132,
133,B、
134,1611年
135,
136,C、
137,1642年
138,
139,D、
140,1712年
141,
142,窗体底端
143,正确答案： C我的答案：C
144,9
145,文艺复兴运动首先发端于（）。（1.0分）
146,1.0分
147,窗体顶端
148,A、
149,法国
150,
151,B、
152,英国
153,
154,C、
155,意大利
156,
157,D、
158,荷兰
159,
160,窗体底端
161,正确答案： C我的答案：C
162,10
163,以下关于理性主义与经验主义的说法错误的是（）。（1.0分）
164,1.0分
165,窗体顶端
166,A、
167,经验主义在英国和美国影响最大
168,
169,B、
170,培根是经验主义的代表人物
171,
172,C、
173,莱布尼兹是理性主义的代表人物
174,
175,D、
176,理性主义属于唯心论
177,
178,窗体底端
179,正确答案： D我的答案：D
180,11
181,卢梭认为人因（）而区别于动物。（1.0分）
182,1.0分
183,窗体顶端
184,A、
185,思维
186,
187,B、
188,语言
189,
190,C、
191,爱
192,
193,D、
194,自由
195,
196,窗体底端
197,正确答案： D我的答案：D
198,12
199,巴黎人民攻占巴士底狱发生在（）年。（1.0分）
200,1.0分
201,窗体顶端
202,A、
203,1778
204,
205,B、
206,1779
207,
208,C、
209,1788
210,
211,D、
212,1789
213,
214,窗体底端
215,正确答案： D我的答案：D
216,13
217,《历史研究》的作者是（）。（1.0分）
218,1.0分
219,窗体顶端
220,A、
221,汤因比
222,
223,B、
224,亨廷顿
225,
226,C、
227,黑格尔
228,
229,D、
230,科林伍德
231,
232,窗体底端
233,正确答案： A我的答案：A
234,14
235,（1.0分）
236,1.0分
237,窗体顶端
238,A、
239,
240,
241,
242,
243,
244,B、
245,
246,
247,
248,
249,
250,C、
251,
252,
253,
254,
255,
256,D、
257,
258,
259,
260,
261,
262,窗体底端
263,正确答案： D我的答案：D
264,15
265,关于伽利略的说法，错误的一项是（）。（1.0分）
266,1.0分
267,窗体顶端
268,A、
269,他是近代实验科学的先驱者
270,
271,B、
272,他创制了天文望远镜
273,
274,C、
275,他被称为“近代科学之父”
276,
277,D、
278,他著有《自然哲学之数学原理》一书
279,
280,窗体底端
281,正确答案： D我的答案：D
282,16
283,《独立宣言》中认为造物主所赋予人的不可转让的权利不包括（）。（1.0分）
284,1.0分
285,窗体顶端
286,A、
287,生命权
288,
289,B、
290,自由权
291,
292,C、
293,财产权
294,
295,D、
296,追求幸福的权利
297,
298,窗体底端
299,正确答案： C我的答案：C
300,17
301,《浮士德》的作者是（）。（1.0分）
302,1.0分
303,窗体顶端
304,A、
305,康德
306,
307,B、
308,雨果
309,
310,C、
311,歌德
312,
313,D、
314,波德莱尔
315,
316,窗体底端
317,正确答案： C我的答案：C
318,18
