,题目
0,  成绩： 100分
1,一、 单选题（题数：50，共 50 分）
2,1对历史文本说法正确的是哪一项？
3,A、
4,历史文本可以是纯粹客观的。
5,B、
6,历史文本对同一事件的不同历史细节的选取可能会表达出十分不同的观点。
7,C、
8,通过历史文本历史学家可以完全重构历史。
9,D、
10,历史文本可以完全避免主观因素的影响。
11,我的答案 ：B
12,2下面哪一位不是德国人？
13,A、
14,康德
15,B、
16,歌德
17,C、
18,贝多芬
19,D、
20,卢梭
21,我的答案 ：D
22,3《雅典学园》这幅画是谁的作品？
23,A、
24,米开朗琪罗
25,B、
26,达芬奇
27,C、
28,拉斐尔
29,D、
30,提香
31,我的答案 ：C
32,4《形而上学》是谁的著作？
33,A、
34,柏拉图
35,B、
36,赫拉克利特
37,C、
38,亚里士多德
39,D、
40,黑格尔
41,我的答案 ：C
42,5精神分析学的创始人是谁？
43,A、
44,斯金纳
45,B、
46,荣格
47,C、
48,弗洛伊德
49,D、
50,马斯洛
51,我的答案 ：C
52,6《反潮流》的作者是？
53,A、
54,柏吉亚
55,B、
56,以赛亚·柏林
57,C、
58,马克思·韦伯
59,D、
60,罗尔斯
61,我的答案 ：B
62,7曾做过德国纳粹宣传部部长的是：
63,A、
64,赫尔曼·戈林
65,B、
66,戈培尔
67,C、
68,威廉·乔伊斯
69,D、
70,希姆莱
71,我的答案 ：B
72,8德国古典哲学的创始人是：
73,A、
74,费尔巴哈
75,B、
76,黑格尔
77,C、
78,费希特
79,D、
80,康德
81,我的答案 ：D
82,9英国光荣革命发生于哪一年？
83,A、
84,1620年
85,B、
86,1588年
87,C、
88,1688年
89,D、
90,1689年
91,我的答案 ：C
92,"10""关于上帝存在的本体论证明""是谁提出的？"
93,A、
94,圣·奥古斯丁
95,B、
96,托马斯·阿奎那
97,C、
98,圣·安瑟伦
99,D、
100,德尔图良
101,我的答案 ：C
102,11下列说法有误的是：
103,A、
104,通过文献和考古资料可以了解部分历史。
105,B、
106,户粟郁子是日本著名的历史学家。
107,C、
108,当代环境史的流行反映了当前环境问题的严峻。
109,D、
110,过往的历史能够留下痕迹。
111,我的答案 ：B
112,12以下关于奥古斯丁说法错误的是？
113,A、
114,他著有《忏悔录》一书。
115,B、
116,他是中世纪著名的神学家。
117,C、
118,他认为基督教与新柏拉图主义在本质上是一样的。
119,D、
120,他认为怀疑本身就具有确定性。
121,我的答案 ：C
122,13第一个全面阐述宪政民主思想的人是谁？
123,A、
124,孟德斯鸠
125,B、
126,伏尔泰
127,C、
128,洛克
129,D、
130,卢梭
131,我的答案 ：C
132,"14标志着欧洲步入""现代""的重大事件是什么？"
133,A、
134,英国光荣革命
135,B、
136,三十年战争
137,C、
138,地理大发现
139,D、
140,二战
141,我的答案 ：C
142,15卢梭在哪一派当政时期获得了最为崇高的地位？
143,A、
144,雅各宾派
145,B、
146,君主立宪派
147,C、
148,吉伦特派
149,D、
150,以上说法都不对
151,我的答案 ：A
152,16三大批判中哪一部主要探讨的是美学问题？
153,A、
154,《实践理性批判》
155,B、
156,《纯粹理性批判》
157,C、
158,《批判哲学的批判》
159,D、
160,《判断力批判》
161,我的答案 ：D
162,17《正义论》的作者是谁？
163,A、
164,哈贝马斯
165,B、
166,汉娜·阿伦特
167,C、
168,约翰·罗尔斯
169,D、
170,哈耶克
171,我的答案 ：C
172,18《君主论》是献给哪个家族的？
173,A、
174,波吉亚家族
175,B、
176,美第奇家族
177,C、
178,霍亨索伦家族
179,D、
180,吉斯家族
181,我的答案 ：B
182,19下列关于边沁的说法不正确的是？
183,A、
184,他坚持功利主义原则。
185,B、
186,他肯定了自然欲望的合理性。
187,C、
188,他认为快乐和痛苦支配着人类的行为。
189,D、
190,他提倡追求社会群体的人的幸福的最大化。
191,我的答案 ：D
192,20下面那个皇帝十分爱好木匠活？
193,A、
194,南唐后主李煜
195,B、
196,宋徽宗
197,C、
198,宋高宗
199,D、
200,明熹宗
201,我的答案 ：D
202,21下列对自然状态的说法不正确的是？
203,A、
204,它由霍布斯提出。
205,B、
206,自然状态是先于社会的一种状态。
207,C、
208,在自然状态下人们是平等自由的。
209,D、
210,它认为存在着一种公共的最高权威行使裁判之权。
211,我的答案 ：D
212,22
213,在西方现代的思想史上，第一次对文明的价值，正面的提出了怀疑的是（）。
214,A、
215,《科学革命的结构》
216,B、
217,《论科学与艺术》
218,C、
219,《论法的精神》
220,D、
221,《论人类不平等的起源和基础》
222,我的答案 ：B
223,23泰勒斯认为万物的本原是什么？
224,A、
225,空气
226,B、
227,水
228,C、
229,数
230,D、
231,原子
232,我的答案 ：B
233,24哪一位不是启蒙运动的思想家？
234,A、
235,狄德罗
236,B、
237,卢梭
238,C、
239,奥古斯丁
240,D、
241,伏尔泰
242,我的答案 ：C
243,"25以下不属于三权分立中的""三权""的是？"
244,A、
245,立法
246,B、
247,司法
248,C、
249,外交
250,D、
251,行政
252,我的答案 ：C
253,"26提出""存在就是被感知""的是？"
254,A、
255,洛克
256,B、
257,贝克莱
258,C、
259,休谟
260,D、
261,卢克莱修
262,我的答案 ：B
263,"27哪位思想家认为""一个公民的政治自由，是一种心境的平安状态""。"
264,A、
265,卢梭
266,B、
267,孟德斯鸠
268,C、
269,伏尔泰
270,D、
271,霍布斯
272,我的答案 ：B
273,28下面哪一项不符合卢梭的自由观念？
274,A、
275,人生而自由
276,B、
277,自由是人的最根本的规定性
278,C、
279,放弃了自由就是放弃自己做人的资格
280,D、
281,为了保证个人的自由，个人必须脱离共同体
282,我的答案 ：D
283,29以下不属于卢梭的著作的是？
284,A、
285,《新爱洛伊丝》
286,B、
287,《一个孤独漫步者的遐想》
288,C、
289,《忏悔录》
290,D、
291,《老实人》
292,我的答案 ：D
293,"30""人天然是政治动物""出自："
294,A、
295,苏格拉底
296,B、
297,色诺芬
298,C、
299,柏拉图
300,D、
301,亚里士多德
302,我的答案 ：D
303,31威廉·乔伊斯出生于：
304,A、
305,英国
306,B、
307,爱尔兰
308,C、
309,美国
310,D、
311,德国
312,我的答案 ：C
313,"32关于""百科全书派""下列说法错误的是？"
314,A、
315,它产生在法国启蒙运动时期。
316,B、
317,它的核心是以狄德罗为中心的唯物论者。
318,C、
319,它反对天主教会和封建等级制度。
320,D、
321,它仅仅是一个文学流派。
322,我的答案 ：D
323,33《希腊罗马名人传》的作者是？
324,A、
325,卢克莱修
326,B、
327,普鲁塔克
328,C、
329,罗曼·罗兰
330,D、
331,普拉提诺
332,我的答案 ：B
333,34以下不属于四大文明的是？
334,A、
335,中国的文明
336,B、
337,希腊的文明
338,C、
339,埃及的文明
340,D、
341,巴比伦的文明
342,我的答案 ：B
343,35马丁·路德宗教改革的核心思想是？
344,A、
345,因信称义
346,B、
347,爱人如己
348,C、
349,因信得福
350,D、
351,当爱上帝
352,我的答案 ：A
353,36下列哪一个哲人没有认为自由和自律有关？
354,A、
355,康德
356,B、
357,卢梭
358,C、
359,笛卡尔
360,D、
361,托尔斯泰
362,我的答案 ：C
363,37新教流派中由马丁·路德创立的是？
364,A、
365,公理宗
366,B、
367,加尔文宗
368,C、
369,路德教
370,D、
371,安立甘宗
372,我的答案 ：C
373,38以下对法国大革命的说法错误的是？
374,A、
375,法国大革命不仅是一场政治革命，也是经济革命社会革命。
376,B、
377,法国大革命影响了欧洲其他国家。
378,C、
379,法国大革命具有极大的残酷性。
380,D、
381,君主立宪制是法国大革命的成果。
382,我的答案 ：D
383,"39""权力的制约和平衡""最早是由谁提出的？"
384,A、
385,孟德斯鸠
386,B、
387,狄德罗
388,C、
389,伏尔泰
390,D、
391,卢梭
392,我的答案 ：A
393,40《新学伪经考》是谁写的？
394,A、
395,康有为
396,B、
397,梁启超
398,C、
399,严复
400,D、
401,谭嗣同
402,我的答案 ：A
403,"41""现有的世界是逻辑上所可能有的世界当中最美好的一个""是谁的观点？"
404,A、
405,莱布尼茨
406,B、
407,黑格尔
408,C、
409,笛卡尔
410,D、
411,休谟
412,我的答案 ：A
413,42中世纪天主教所收的税叫什么？
414,A、
415,印花税
416,B、
417,消费税
418,C、
419,十一税
420,D、
421,人头税
422,我的答案 ：C
423,43法国的专制王权在哪个国王时达到顶峰？
424,A、
425,查理六世
426,B、
427,亨利二世
428,C、
429,路易十四
430,D、
431,路易十六
432,我的答案 ：C
433,44以下说法中错误的是？
434,A、
435,哲学指的是对智慧的热爱、追求。
436,B、
437,古希腊哲学奠定了西方哲学的基础。
438,C、
439,"亚里士多德认为""哲学王""才能治理国家。"
440,D、
441,雅典全盛时期产生了很多伟大的哲学家。
442,我的答案 ：C
443,"45""恶就是善的状态不存了在或不够完满的一种状态""是谁的观点？"
444,A、
445,斯宾诺莎
446,B、
447,安瑟伦
448,C、
449,奥古斯丁
450,D、
451,托马斯·阿奎那
452,我的答案 ：C
453,46下面哪本书是波德莱尔的著作？
454,A、
455,《灵光集》
456,B、
457,《恶之花》
458,C、
459,《美好之歌》
460,D、
461,《牧神的午后》
