,题目
0,一、 单选题（题数：50，共50.0分） 
1,1
2,影响我们倾向于帮助谁的因素有性别因素、相似性、相貌因素和（）（1.0分）
3,1.0分
4,A、
5,人格因素 
6,B、
7,环境因素 
8,C、
9,熟悉程度 
10,D、
11,关系远近 
12,
13,正确答案： D 我的答案：D 
14,2
15,斯金纳强调用（）做研究（1.0分）
16,1.0分
17,A、
18,经典的条件反射 
19,B、
20,固定条件反射 
21,C、
22,生物条件反射 
23,D、
24,操作性条件反射 
25,
26,正确答案： D 我的答案：D 
27,3
28,预防群体思维的方法有领导者显示公平、鼓励批评性的评价、（）、欢迎局外的专家和伙伴提出批评（1.0分）
29,1.0分
30,A、
31,集思广益 
32,B、
33,团队合作 
34,C、
35,寻找差异 
36,D、
37,将群体划分小组 
38,
39,正确答案： D 我的答案：D 
40,4
41,班长在通知你一件事情的时候他一个一个来通知属于（）沟通（1.0分）
42,1.0分
43,A、
44,星型 
45,B、
46,链型 
47,C、
48,轮型 
49,D、
50,Y型 
51,
52,正确答案： C 我的答案：C 
53,5
54,（）与责任扩散的结合有可能使人放弃道德约束而丧失个性（1.0分）
55,1.0分
56,A、
57,个人出于群体之中 
58,B、
59,群体潜意识影响下 
60,C、
61,群体行为影响下 
62,D、
63,高水平的社会唤起 
64,
65,正确答案： D 我的答案：D 
66,6
67,自我评价是通过社会比较和（）两种途径来实现的（1.0分）
68,1.0分
69,A、
70,自我选择 
71,B、
72,自我估价 
73,C、
74,自我重组 
75,D、
76,自我认知 
77,
78,正确答案： B 我的答案：B 
79,7
80,对案情进行裁定，专家的证言()（1.0分）
81,1.0分
82,A、
83,肯定是对的 
84,B、
85,必须遵从 
86,C、
87,具有参考价值 
88,D、
89,可以忽视 
90,
91,正确答案： C 我的答案：C 
92,8
93,以下哪个不是照片辨认的优势（）（1.0分）
94,1.0分
95,A、
96,简单易行 
97,B、
98,成本低 
99,C、
100,缓解情绪的紧张度 
101,D、
102,静止的平面 
103,
104,正确答案： D 我的答案：D 
105,9
106,我们形成的某种态度可以满足我们的某种需要这就是态度的（）理论。（1.0分）
107,1.0分
108,A、
109,平衡 
110,B、
111,功能 
112,C、
113,判断 
114,D、
